time,open,high,low,close,Volume,volume
1999-11-01,12.2,12.27,12.12,12.25,,2137800.0
1999-11-02,12.2,12.62,12.16,12.47,,2655800.0
1999-11-03,12.54,12.54,11.99,12.02,,1854100.0
1999-11-04,12.2,12.41,12.06,12.12,,1821200.0
1999-11-05,12.2,12.54,12.2,12.29,,2307200.0
1999-11-08,12.31,12.49,12.25,12.43,,2129300.0
1999-11-09,12.47,12.47,12.12,12.22,,1525300.0
1999-11-10,12.14,12.18,11.89,11.97,,1495100.0
1999-11-11,11.97,12.08,11.81,12.08,,1412600.0
1999-11-12,12.16,12.37,12.08,12.29,,1547400.0
1999-11-15,12.35,12.58,12.16,12.56,,1408000.0
1999-11-16,12.58,12.68,12.2,12.58,,2333200.0
1999-11-17,12.49,12.54,12.04,12.08,,1959700.0
1999-11-18,11.95,12.16,11.79,11.87,,1542900.0
1999-11-19,11.93,11.93,11.7,11.72,,3054200.0
1999-11-22,11.77,11.85,11.49,11.81,,2004500.0
1999-11-23,11.81,11.93,11.7,11.79,,2724900.0
1999-11-24,11.87,11.87,11.66,11.68,,1674100.0
1999-11-26,11.66,11.81,11.66,11.77,,530900.0
1999-11-29,11.42,11.71,11.33,11.44,,2569300.0
1999-11-30,11.54,11.75,11.48,11.48,,3282400.0
1999-12-01,11.38,11.69,11.31,11.52,,2111500.0
1999-12-02,11.59,11.61,11.33,11.46,,1138200.0
1999-12-03,11.63,11.92,11.63,11.8,,3459500.0
1999-12-06,8.48,8.5,7.81,7.87,,2276400.0
1999-12-07,8.48,8.56,8.12,8.14,,13267900.0
1999-12-08,8.21,8.33,7.91,8.06,,7857400.0
1999-12-09,7.91,8.14,7.76,7.85,,7509600.0
1999-12-10,7.85,8.04,7.66,7.7,,6796500.0
1999-12-13,7.72,7.98,7.7,7.83,,5384300.0
1999-12-14,7.89,7.98,7.68,7.7,,2811200.0
1999-12-15,7.64,7.85,7.49,7.76,,4241500.0
1999-12-16,7.68,7.79,7.35,7.35,,7077100.0
1999-12-17,7.43,7.98,7.41,7.72,,5890300.0
1999-12-20,7.72,7.98,7.56,7.68,,2542200.0
1999-12-21,7.58,7.81,7.49,7.72,,5001800.0
1999-12-22,7.81,7.83,7.64,7.72,,2445600.0
1999-12-23,7.81,7.96,7.79,7.91,,2361200.0
1999-12-27,7.96,8.12,7.89,8.06,,1897500.0
1999-12-28,7.89,7.91,7.74,7.85,,1952200.0
1999-12-29,7.06,7.15,7.02,7.13,,1471700.0
1999-12-30,7.15,7.19,7.02,7.11,,2345200.0
1999-12-31,8.02,8.12,8.02,8.06,,847900.0
2000-01-03,7.93,7.99,7.45,7.53,,3457700.0
2000-01-04,7.43,7.45,7.17,7.28,,3548100.0
2000-01-05,7.19,7.38,7.19,7.26,,2739800.0
2000-01-06,7.28,7.59,7.19,7.49,,2451000.0
2000-01-07,7.49,7.68,7.47,7.66,,2678000.0
2000-01-10,7.72,7.76,7.45,7.45,,1875800.0
2000-01-11,7.45,7.61,7.45,7.49,,2145900.0
2000-01-12,7.47,7.72,7.47,7.55,,1786500.0
2000-01-13,7.66,7.85,7.66,7.76,,2169600.0
2000-01-14,8.12,8.12,7.72,7.8,,3185900.0
2000-01-18,7.66,7.74,7.4,7.49,,2529300.0
2000-01-19,7.47,7.76,7.32,7.38,,4464000.0
2000-01-20,7.4,7.4,7.11,7.23,,3345400.0
2000-01-21,7.23,7.23,6.94,7.06,,7066900.0
2000-01-24,7.06,7.15,6.94,6.98,,2732400.0
2000-01-25,6.85,7.15,6.83,7.04,,2321400.0
2000-01-26,7.09,7.36,7.06,7.3,,1641400.0
2000-01-27,7.38,7.64,7.38,7.49,,2945600.0
2000-01-28,7.49,7.49,7.11,7.11,,2103000.0
2000-01-31,7.11,7.53,7.09,7.51,,3286500.0
2000-02-01,7.51,7.68,7.4,7.53,,2368900.0
2000-02-02,7.45,7.64,7.36,7.45,,1557000.0
2000-02-03,7.51,7.59,7.36,7.43,,1863700.0
2000-02-04,7.47,7.57,7.17,7.21,,1811400.0
2000-02-07,7.19,7.26,7.06,7.21,,1581200.0
2000-02-08,7.23,7.53,7.23,7.34,,2272100.0
2000-02-09,7.26,7.28,6.94,7.13,,2094200.0
2000-02-10,7.02,7.11,6.79,6.83,,2128300.0
2000-02-11,6.94,7.02,6.72,6.75,,3388400.0
2000-02-14,6.81,6.81,6.45,6.51,,2796700.0
2000-02-15,6.49,6.62,6.41,6.54,,6960000.0
2000-02-16,6.62,6.77,6.41,6.77,,2288700.0
2000-02-17,6.72,6.75,6.43,6.45,,4150000.0
2000-02-18,6.41,6.47,6.09,6.22,,5318600.0
2000-02-22,6.26,6.41,6.16,6.16,,4713300.0
2000-02-23,6.26,6.26,6.01,6.03,,4387700.0
2000-02-24,6.09,6.11,5.96,6.01,,3454800.0
2000-02-25,6.07,6.35,6.03,6.2,,3634500.0
2000-02-28,6.23,6.34,6.19,6.27,,6795300.0
2000-02-29,6.27,6.36,6.25,6.25,,4866700.0
2000-03-01,6.25,6.25,6.02,6.02,,3941800.0
2000-03-02,6.04,6.06,5.76,5.85,,8742700.0
2000-03-03,5.81,6.04,5.81,5.96,,3270100.0
2000-03-06,6.04,6.17,6.02,6.06,,3873000.0
2000-03-07,6.1,6.15,6.0,6.02,,3077200.0
2000-03-08,5.98,6.08,5.89,6.02,,2977900.0
2000-03-09,6.0,6.0,5.83,5.96,,2159400.0
2000-03-10,5.96,6.15,5.91,6.15,,2430000.0
