time,open,high,low,close,Volume,volume
2008-03-19,13.2,15.31,12.2,12.53,,177121500.0
2008-03-20,12.97,14.42,12.76,14.28,,49746300.0
2008-03-24,14.92,15.02,13.09,13.25,,37391600.0
2008-03-25,13.45,14.25,13.27,14.03,,21773000.0
2008-03-26,13.86,14.3,13.66,14.19,,10777900.0
2008-03-27,14.21,14.36,13.9,13.96,,9957400.0
2008-03-28,14.0,14.07,13.79,13.92,,6168800.0
2008-03-31,13.91,14.08,13.76,13.83,,5539300.0
2008-04-01,13.98,14.13,13.38,13.67,,15102700.0
2008-04-02,13.71,13.82,13.42,13.82,,10959100.0
2008-04-03,13.74,14.71,13.71,14.53,,25217000.0
2008-04-04,14.39,14.49,14.14,14.3,,9098600.0
2008-04-07,14.42,14.6,14.2,14.43,,7075400.0
2008-04-08,14.46,15.14,14.38,15.1,,13481400.0
2008-04-09,15.16,15.24,14.55,14.59,,12081100.0
2008-04-10,14.79,14.8,14.44,14.67,,5593000.0
2008-04-11,14.47,14.81,14.47,14.67,,6605400.0
2008-04-14,14.86,14.92,14.54,14.57,,7110900.0
2008-04-15,14.76,14.76,14.2,14.28,,5972000.0
2008-04-16,14.42,14.85,14.32,14.67,,6284200.0
2008-04-17,14.75,15.03,14.64,14.87,,5614900.0
2008-04-18,15.11,15.63,14.91,15.31,,26024900.0
2008-04-21,15.46,16.08,15.27,15.74,,14712000.0
2008-04-22,15.99,16.06,15.53,15.59,,11839400.0
2008-04-23,15.78,15.91,15.46,15.55,,9329900.0
2008-04-24,15.79,16.19,15.54,16.04,,9521700.0
2008-04-25,16.86,16.88,16.4,16.66,,25365000.0
2008-04-28,16.91,17.15,16.62,16.78,,33129300.0
2008-04-29,16.26,17.94,15.75,17.94,,49327100.0
2008-04-30,18.02,18.81,17.98,18.51,,36885900.0
2008-05-01,18.78,19.44,18.61,18.94,,29098900.0
2008-05-02,19.36,19.41,17.97,18.36,,34162200.0
2008-05-05,18.38,18.97,17.93,18.87,,17594300.0
2008-05-06,18.94,19.55,18.8,19.42,,18978300.0
2008-05-07,19.74,19.93,19.45,19.63,,25116200.0
2008-05-08,19.85,19.91,19.06,19.37,,23209100.0
