time,open,high,low,close,Volume,volume
2023-10-04,76.38,80.31,76.06,77.5,,8358286.0
2023-10-05,76.01,76.69,72.37,74.16,,15351915.0
2023-10-06,72.76,78.17,72.76,77.68,,7781111.0
2023-10-09,76.46,77.7,73.45,74.32,,7000973.0
2023-10-10,73.68,75.22,72.22,74.71,,5385623.0
2023-10-11,74.15,76.27,73.33,74.18,,4602585.0
2023-10-12,73.47,75.01,72.47,73.95,,4668757.0
2023-10-13,73.35,73.71,70.2,71.57,,5286581.0
2023-10-16,71.35,74.55,71.35,73.93,,4555029.0
2023-10-17,72.85,74.84,72.73,74.19,,2584906.0
2023-10-18,73.22,73.65,71.99,72.17,,2959766.0
2023-10-19,71.54,72.46,69.68,70.02,,2867355.0
2023-10-20,70.13,70.51,68.64,69.66,,3151456.0
2023-10-23,69.03,72.19,67.39,71.62,,4089800.0
2023-10-24,72.01,73.43,71.51,71.73,,3432182.0
2023-10-25,71.03,72.06,69.51,70.52,,3298234.0
2023-10-26,66.08,71.95,65.26,69.73,,3537099.0
2023-10-27,68.38,69.17,67.49,67.73,,3411996.0
2023-10-30,68.22,69.06,67.16,68.1,,3393797.0
2023-10-31,68.66,69.46,67.39,68.74,,3370678.0
2023-11-01,67.9,68.92,67.21,67.25,,2503527.0
2023-11-02,67.74,70.27,66.43,70.01,,2848740.0
2023-11-03,70.2,70.82,68.8,70.53,,2225964.0
2023-11-06,69.78,69.8,67.82,68.0,,2854957.0
2023-11-07,67.49,69.98,67.1,69.8,,2133633.0
2023-11-08,69.53,70.05,69.28,69.53,,2053773.0
2023-11-09,68.82,70.05,68.82,69.36,,2020509.0
2023-11-10,69.04,70.51,68.87,70.28,,1645264.0
2023-11-13,70.01,72.92,69.91,72.7,,2964323.0
2023-11-14,73.57,73.82,72.73,73.35,,2814594.0
2023-11-15,73.19,74.35,72.73,73.63,,3437210.0
2023-11-16,72.46,72.78,70.31,70.61,,2446603.0
2023-11-17,70.63,71.1,69.79,70.72,,1500407.0
2023-11-20,70.73,71.08,70.31,70.49,,1814335.0
2023-11-21,70.53,72.52,70.2,72.03,,1767834.0
2023-11-22,72.52,73.55,72.06,72.66,,1906288.0
2023-11-24,72.38,73.85,71.95,73.73,,823414.0
2023-11-27,73.54,73.71,72.72,73.22,,1649887.0
2023-11-28,72.65,74.25,72.57,73.04,,2062140.0
2023-11-29,73.12,74.96,72.96,73.94,,2519236.0
2023-11-30,74.41,77.32,74.41,76.95,,8454137.0
2023-12-01,76.87,76.87,75.68,76.22,,2039378.0
2023-12-04,75.68,76.62,75.2,75.49,,1625807.0
2023-12-05,75.11,75.85,74.93,75.26,,1411618.0
2023-12-06,75.26,76.2,74.73,75.54,,2000895.0
2023-12-07,75.51,76.0,74.33,74.34,,1295954.0
2023-12-08,74.31,75.35,73.99,75.14,,1131349.0
2023-12-11,74.71,77.06,74.36,76.53,,1649031.0
2023-12-12,76.08,77.58,75.49,77.15,,2329324.0
2023-12-13,76.87,78.4,76.01,77.44,,3854108.0
2023-12-14,78.21,79.41,77.33,79.03,,3230981.0
2023-12-15,78.57,79.62,77.73,78.55,,6727619.0
2023-12-18,78.89,80.61,78.13,80.53,,1954959.0
2023-12-19,81.29,83.3,80.68,83.12,,2886761.0
2023-12-20,83.23,83.56,80.31,80.33,,1704062.0
2023-12-21,81.01,81.67,79.5,80.81,,919333.0
2023-12-22,80.33,81.48,79.72,81.33,,712712.0
2023-12-26,81.39,82.02,81.08,81.81,,700231.0
2023-12-27,81.82,83.18,81.67,82.9,,1016858.0
2023-12-28,82.77,83.21,82.04,82.81,,799382.0
2023-12-29,82.61,83.13,81.63,82.03,,675034.0
2024-01-02,80.88,81.77,79.73,80.8,,1129572.0
2024-01-03,80.38,80.68,77.54,77.83,,1198293.0
2024-01-04,77.24,78.06,76.36,76.4,,1388580.0
2024-01-05,76.4,77.43,76.04,76.69,,1891777.0
2024-01-08,76.26,77.63,76.26,77.3,,1555832.0
2024-01-09,77.29,77.36,76.51,76.53,,2100342.0
2024-01-10,76.19,76.52,74.79,76.22,,1624996.0
2024-01-11,76.19,76.38,74.75,75.87,,1020115.0
2024-01-12,76.0,76.21,74.79,75.55,,1066082.0
2024-01-16,74.16,75.07,73.71,74.34,,1342697.0
2024-01-17,74.26,75.77,74.07,75.67,,1469107.0
2024-01-18,75.63,76.37,74.82,75.8,,1253369.0
2024-01-19,75.66,77.47,75.66,77.34,,1280970.0
2024-01-22,77.45,79.54,77.29,79.47,,1496056.0
2024-01-23,80.28,80.28,78.64,78.67,,1202811.0
2024-01-24,79.28,79.28,76.01,76.05,,1338554.0
2024-01-25,76.24,76.73,75.78,76.49,,1081051.0
2024-01-26,76.86,77.88,76.23,76.78,,997632.0
2024-01-29,76.42,77.75,75.85,77.69,,1044183.0
2024-01-30,77.53,78.15,76.61,78.11,,1199127.0
2024-01-31,78.11,78.38,76.4,76.48,,2405758.0
2024-02-01,76.54,76.92,74.96,76.58,,1508019.0
2024-02-02,76.48,76.92,75.13,76.63,,1069247.0
2024-02-05,75.86,76.4,75.28,75.56,,1323430.0
2024-02-06,75.0,77.51,74.84,77.41,,1552898.0
2024-02-07,80.02,82.73,79.21,80.94,,2520341.0
2024-02-08,81.5,83.66,81.28,82.33,,2085564.0
2024-02-09,82.34,83.32,81.76,81.9,,1319529.0
2024-02-12,82.3,83.56,81.81,83.27,,1681787.0
2024-02-13,81.69,83.55,81.0,81.96,,1068944.0
2024-02-14,82.81,84.22,82.67,83.99,,1413997.0
2024-02-15,84.47,86.79,84.08,86.35,,1767697.0
2024-02-16,86.18,86.46,85.56,85.85,,1486355.0
2024-02-20,84.92,85.9,84.78,85.53,,1534591.0
2024-02-21,83.93,85.3,83.11,85.12,,869074.0
2024-02-22,85.8,86.35,85.46,85.7,,1006638.0
2024-02-23,86.17,87.16,86.12,86.47,,1152707.0
2024-02-26,86.54,87.2,85.92,86.07,,893903.0
2024-02-27,87.34,87.63,86.55,87.55,,1836644.0
2024-02-28,87.35,88.57,86.61,87.33,,1064607.0
2024-02-29,87.66,87.66,85.77,86.18,,2953361.0
2024-03-01,85.46,86.8,85.46,86.52,,816792.0
2024-03-04,86.99,88.2,86.65,87.5,,1522779.0
2024-03-05,87.13,88.55,86.59,88.26,,1683550.0
2024-03-06,88.58,89.37,87.84,88.63,,1298436.0
2024-03-07,89.02,90.3,88.94,89.07,,934545.0
2024-03-08,89.2,90.26,88.64,89.01,,698859.0
2024-03-11,88.63,88.92,87.09,88.52,,1071838.0
2024-03-12,89.09,89.32,88.16,88.19,,1283525.0
2024-03-13,88.16,89.36,87.65,88.85,,1281081.0
2024-03-14,88.68,88.89,87.42,87.99,,1124650.0
2024-03-15,86.77,88.03,85.66,86.26,,5058450.0
2024-03-18,87.22,87.44,86.48,86.79,,2674847.0
2024-03-19,87.08,87.49,86.76,87.2,,1697454.0
2024-03-20,87.14,88.38,87.06,87.88,,1736101.0
2024-03-21,88.9,90.1,88.19,89.65,,1733501.0
2024-03-22,90.44,90.44,88.71,89.21,,1495417.0
2024-03-25,89.05,89.75,88.65,89.15,,1350801.0
2024-03-26,89.3,89.94,88.9,89.01,,1518791.0
2024-03-27,89.39,90.47,88.58,89.58,,1395731.0
2024-03-28,89.6,89.69,88.47,88.5,,1546473.0
2024-04-01,88.43,88.5,87.16,87.39,,1172593.0
2024-04-02,87.16,87.16,86.4,86.43,,1164369.0
2024-04-03,86.3,87.64,85.76,87.1,,2704338.0
2024-04-04,87.97,87.97,86.45,86.54,,1396962.0
2024-04-05,86.81,87.43,86.44,86.94,,1993783.0
2024-04-08,87.3,87.99,86.9,87.52,,923768.0
2024-04-09,87.86,89.52,87.43,89.04,,1214097.0
2024-04-10,87.58,88.43,87.18,88.05,,1142464.0
2024-04-11,88.13,88.78,86.1,87.26,,1241028.0
2024-04-12,86.49,87.61,85.89,87.22,,1299009.0
2024-04-15,88.31,90.61,88.31,89.7,,2158363.0
2024-04-16,89.51,91.21,89.31,90.73,,2097883.0
2024-04-17,91.42,91.99,89.94,90.39,,2265107.0
2024-04-18,90.39,90.49,88.26,88.64,,2378132.0
2024-04-19,88.67,89.49,88.25,88.73,,5196762.0
2024-04-22,88.98,91.31,87.98,91.07,,1995456.0
2024-04-23,91.62,93.68,91.24,93.56,,2554696.0
2024-04-24,93.28,95.23,88.58,92.24,,3370052.0
2024-04-25,92.48,93.94,90.7,93.63,,1921351.0
2024-04-26,93.4,94.17,92.44,93.95,,1151386.0
2024-04-29,93.98,95.39,93.85,94.72,,1869188.0
2024-04-30,94.36,95.27,93.44,93.52,,1287858.0
2024-05-01,93.48,95.04,93.29,94.21,,1091863.0
2024-05-02,94.23,94.83,92.95,93.69,,1265870.0
2024-05-03,94.64,95.96,94.35,95.72,,940032.0
2024-05-06,96.73,97.07,95.85,96.82,,632566.0
2024-05-07,96.87,97.22,95.97,97.1,,1240873.0
2024-05-08,96.52,96.73,96.11,96.56,,1038983.0
2024-05-09,96.52,97.29,95.71,95.77,,1860593.0
2024-05-10,96.2,96.65,95.3,96.33,,1521602.0
2024-05-13,96.54,96.54,95.54,95.7,,1273820.0
