time,open,high,low,close,Volume,volume
2009-10-07,25.98,27.87,25.41,26.19,,63739500.0
2009-10-08,26.29,26.4,25.5,25.59,,6906700.0
2009-10-09,25.81,26.45,25.38,25.4,,3361300.0
2009-10-12,26.26,26.84,25.11,25.26,,7177000.0
2009-10-13,25.66,26.23,25.53,26.16,,3296000.0
2009-10-14,26.22,27.17,25.98,26.93,,3222400.0
2009-10-15,27.21,27.71,26.7,27.24,,3181300.0
2009-10-16,27.37,27.52,26.51,27.49,,3974100.0
2009-10-19,27.44,27.8,26.46,26.46,,1892100.0
2009-10-20,26.46,27.04,26.31,27.0,,3387000.0
2009-10-21,26.94,27.28,26.8,26.94,,1079000.0
2009-10-22,26.71,27.4,26.28,26.83,,1172500.0
2009-10-23,26.94,27.31,26.47,27.3,,2385700.0
2009-10-26,26.78,27.52,26.71,27.37,,834400.0
2009-10-27,27.46,28.14,26.87,27.48,,1578700.0
2009-10-28,27.14,27.47,26.52,26.64,,1153500.0
2009-10-29,26.82,26.94,26.7,26.83,,563500.0
2009-10-30,26.94,27.01,26.27,26.39,,819600.0
2009-11-02,26.34,26.6,25.59,26.33,,978000.0
2009-11-03,26.39,26.45,25.83,26.32,,696500.0
2009-11-04,26.29,26.44,25.93,25.94,,461200.0
2009-11-05,26.0,26.55,25.95,26.27,,470400.0
2009-11-06,26.12,26.3,25.93,26.07,,310800.0
2009-11-09,26.22,26.64,26.03,26.53,,615600.0
2009-11-10,26.22,27.19,26.22,26.62,,287300.0
2009-11-11,26.87,28.02,26.58,27.88,,1174600.0
2009-11-12,27.69,28.86,27.35,27.8,,1211600.0
2009-11-13,27.69,27.98,27.43,27.8,,414900.0
2009-11-16,27.66,27.91,27.18,27.76,,1424300.0
2009-11-17,27.47,27.86,26.36,26.79,,2496000.0
2009-11-18,27.31,27.9,27.09,27.42,,730900.0
2009-11-19,27.72,27.8,26.88,27.46,,1223600.0
2009-11-20,27.42,27.55,27.34,27.47,,875700.0
2009-11-23,27.59,27.59,26.62,27.32,,447600.0
2009-11-24,27.11,27.11,26.6,26.73,,685400.0
2009-11-25,26.67,26.76,26.14,26.27,,892800.0
2009-11-27,25.94,26.15,25.65,25.97,,264600.0
2009-11-30,26.3,26.36,25.72,25.89,,888700.0
2009-12-01,25.89,26.99,25.89,26.73,,617200.0
2009-12-02,26.71,26.76,26.31,26.47,,820900.0
2009-12-03,26.76,26.88,26.46,26.67,,491800.0
2009-12-04,26.79,27.36,26.79,27.35,,535500.0
2009-12-07,27.13,27.88,26.88,27.65,,361500.0
2009-12-08,27.33,27.82,26.84,27.53,,398200.0
