time,open,high,low,close,Volume,volume
1999-11-01,53.01,57.05,52.8,56.03,,1518500.0
1999-11-02,56.76,70.34,54.2,66.0,,5770500.0
1999-11-03,67.95,70.04,62.8,68.51,,3950300.0
1999-11-04,69.57,69.83,65.27,66.97,,1109800.0
1999-11-05,67.44,71.28,65.83,68.76,,1063700.0
1999-11-08,68.12,77.32,67.57,73.66,,1234300.0
1999-11-09,74.38,74.51,66.0,67.06,,2703800.0
1999-11-10,66.76,69.96,63.53,64.85,,1310600.0
1999-11-11,68.81,68.98,65.61,66.0,,2059900.0
1999-11-12,68.34,72.51,66.38,71.53,,1139900.0
1999-11-15,71.83,77.92,71.32,73.4,,1218700.0
1999-11-16,75.96,76.0,71.74,72.89,,877500.0
1999-11-17,73.36,74.94,69.49,71.23,,1021100.0
1999-11-18,71.96,76.43,71.1,73.66,,962500.0
1999-11-19,75.28,75.7,72.08,72.42,,654800.0
1999-11-22,72.55,78.68,71.53,78.68,,1094200.0
1999-11-23,79.66,82.94,74.51,79.62,,1494800.0
1999-11-24,81.54,83.88,77.92,81.32,,645000.0
1999-11-26,83.45,86.22,83.03,84.3,,418400.0
1999-11-29,85.58,85.58,82.73,83.71,,1241900.0
1999-11-30,83.37,83.37,76.64,79.11,,1433200.0
1999-12-01,79.62,82.47,75.45,77.92,,1547200.0
1999-12-02,79.19,84.3,78.98,82.94,,882200.0
1999-12-03,84.73,91.8,84.69,87.67,,1122400.0
1999-12-06,90.26,101.34,89.03,100.78,,1774600.0
1999-12-07,102.61,111.89,102.53,111.04,,1521300.0
1999-12-08,120.07,121.86,104.74,106.44,,2518000.0
1999-12-09,110.96,112.41,98.35,107.21,,2016500.0
1999-12-10,110.79,110.79,100.31,106.02,,1741200.0
1999-12-13,106.53,106.61,101.25,101.68,,1588300.0
1999-12-14,104.15,104.15,97.08,98.35,,2254600.0
1999-12-15,94.1,97.42,93.67,95.71,,2121800.0
1999-12-16,97.16,110.7,97.08,110.62,,2754000.0
1999-12-17,111.13,114.96,106.27,111.47,,2548900.0
1999-12-20,113.51,129.69,113.51,127.82,,2649300.0
1999-12-21,136.25,161.8,136.16,157.88,,4127300.0
1999-12-22,158.05,158.05,145.62,149.36,,2885100.0
1999-12-23,152.0,156.6,145.62,148.43,,1728000.0
1999-12-27,150.38,150.73,139.66,142.89,,1205500.0
1999-12-28,146.3,180.53,143.91,151.83,,3252000.0
1999-12-29,162.48,167.59,156.77,162.22,,1772600.0
1999-12-30,169.29,177.12,153.79,155.32,,1322500.0
1999-12-31,157.62,163.5,153.11,162.56,,452100.0
2000-01-03,172.87,175.42,158.22,161.88,,2270100.0
2000-01-04,154.98,170.14,153.28,160.43,,3002200.0
2000-01-05,156.69,157.54,130.63,148.68,,6886600.0
2000-01-06,150.21,154.13,130.29,132.08,,4003200.0
2000-01-07,130.71,148.94,125.95,144.59,,3803200.0
2000-01-10,160.09,161.8,152.09,154.81,,2829000.0
