time,open,high,low,close,Volume,volume
2016-10-04,11.53,11.82,11.53,11.82,,353338.0
2016-10-05,11.82,12.19,11.45,11.45,,569726.0
2016-10-06,11.45,11.75,11.45,11.64,,264911.0
2016-10-07,11.75,11.75,11.6,11.75,,110902.0
2016-10-10,11.79,18.65,11.75,11.82,,6253.0
2016-10-11,11.9,12.19,11.82,12.08,,158436.0
2016-10-12,12.08,12.56,11.82,12.08,,160545.0
2016-10-13,12.19,12.19,11.82,11.9,,265820.0
2016-10-14,11.86,11.9,11.86,11.9,,45516.0
2016-10-17,11.93,11.93,11.9,11.9,,20563.0
2016-10-18,11.93,11.93,11.79,11.82,,464291.0
2016-10-19,11.64,11.82,11.64,11.82,,140446.0
2016-10-20,11.75,11.82,11.64,11.75,,653858.0
2016-10-21,11.56,11.68,11.45,11.6,,27538.0
2016-10-24,11.64,11.64,11.45,11.59,,130314.0
2016-10-25,11.46,11.51,11.27,11.51,,6159.0
2016-10-26,11.45,11.45,11.34,11.42,,52294.0
2016-10-27,11.34,11.34,11.2,11.23,,271128.0
2016-10-28,11.23,11.42,11.08,11.23,,2185191.0
2016-10-31,11.27,11.27,11.08,11.23,,25864.0
2016-11-01,11.08,11.08,11.01,11.08,,11800.0
2016-11-02,10.94,10.94,9.98,10.05,,509897.0
2016-11-03,10.16,10.2,10.05,10.05,,122275.0
2016-11-04,10.05,10.35,10.05,10.35,,603640.0
2016-11-07,10.42,10.53,10.42,10.42,,2250.0
2016-11-08,10.35,10.53,10.27,10.49,,335116.0
2016-11-09,10.27,10.46,10.27,10.38,,106276.0
2016-11-10,10.42,10.52,10.42,10.52,,2629003.0
2016-11-11,10.64,11.01,10.64,10.87,,13372.0
2016-11-14,10.86,11.05,10.64,10.64,,121500.0
2016-11-15,10.64,10.68,10.58,10.58,,798608.0
2016-11-16,10.6,10.6,10.42,10.42,,65584.0
2016-11-17,10.42,10.42,10.35,10.38,,60400.0
2016-11-18,10.42,10.46,10.27,10.42,,728650.0
2016-11-21,10.35,10.37,10.35,10.35,,28025.0
2016-11-22,10.38,10.38,10.38,10.38,,100008.0
2016-11-23,10.35,10.35,10.35,10.35,,50000.0
2016-11-28,10.38,10.46,10.38,10.46,,542.0
2016-11-29,10.46,10.46,10.16,10.16,,124579.0
2016-11-30,10.23,10.31,10.2,10.31,,291546.0
2016-12-01,10.35,10.35,10.32,10.32,,127275.0
2016-12-02,10.27,10.27,10.09,10.23,,18375.0
2016-12-05,10.46,10.71,10.35,10.68,,530574.0
2016-12-06,11.31,11.56,11.08,11.53,,925616.0
2016-12-07,11.51,11.53,11.42,11.45,,523662.0
2016-12-08,11.49,11.82,11.45,11.75,,625842.0
2016-12-09,11.82,12.23,11.75,12.12,,588429.0
2016-12-12,12.19,12.19,12.01,12.01,,982710.0
2016-12-13,12.05,12.05,11.93,11.99,,2901063.0
2016-12-14,11.97,12.05,11.82,12.03,,2399409.0
2016-12-15,12.04,12.28,12.04,12.2,,1151722.0
2016-12-16,12.2,12.21,12.09,12.09,,70784.0
2016-12-19,12.12,12.23,12.0,12.23,,1242469.0
2016-12-20,12.23,12.38,12.21,12.34,,1128698.0
2016-12-21,12.36,12.42,12.29,12.34,,607359.0
2016-12-22,12.34,12.42,12.24,12.29,,526064.0
2016-12-23,12.25,12.38,12.23,12.37,,35055.0
2016-12-27,12.42,12.92,12.42,12.9,,149163.0
2016-12-28,12.91,13.11,12.85,12.9,,121411.0
2016-12-29,12.9,13.41,12.9,13.33,,414776.0
2016-12-30,13.33,13.58,13.29,13.33,,72627.0
2017-01-03,13.33,13.33,13.03,13.21,,3188039.0
2017-01-04,13.21,13.84,13.21,13.84,,869123.0
2017-01-05,13.88,14.1,13.76,13.92,,743202.0
2017-01-06,13.92,14.0,13.86,13.93,,1496132.0
2017-01-09,13.92,14.01,13.67,13.67,,655322.0
2017-01-10,13.68,13.71,13.62,13.63,,169407.0
2017-01-11,13.63,13.97,13.4,13.47,,660727.0
2017-01-12,13.53,13.76,13.49,13.76,,278663.0
2017-01-13,13.79,14.32,13.79,14.14,,191344.0
2017-01-17,14.26,14.52,14.1,14.49,,903127.0
2017-01-18,14.49,14.7,14.42,14.66,,1593415.0
2017-01-19,14.62,14.62,14.38,14.51,,924984.0
2017-01-20,14.52,14.63,14.52,14.56,,1252438.0
2017-01-23,14.57,14.66,14.42,14.57,,1843229.0
2017-01-24,14.58,14.6,14.36,14.44,,659405.0
2017-01-25,14.42,14.52,14.19,14.4,,510493.0
2017-01-26,14.44,14.57,14.44,14.49,,618234.0
2017-01-27,14.53,14.53,14.33,14.38,,479515.0
2017-01-30,14.48,14.48,14.01,14.01,,87863.0
2017-01-31,14.1,14.19,13.8,13.94,,266358.0
2017-02-01,14.1,14.11,14.01,14.06,,751106.0
2017-02-02,14.09,14.09,13.95,14.01,,49890.0
2017-02-03,14.01,14.36,13.93,14.36,,526618.0
2017-02-06,14.75,15.31,14.68,14.75,,521118.0
2017-02-07,14.87,14.87,14.69,14.72,,787733.0
2017-02-08,14.7,14.96,14.68,14.83,,727805.0
2017-02-09,14.83,14.87,14.76,14.83,,120888.0
2017-02-10,14.87,15.43,14.62,15.43,,1072189.0
2017-02-13,15.35,15.39,15.05,15.26,,506174.0
2017-02-14,15.26,15.28,15.19,15.22,,543470.0
2017-02-15,15.24,15.26,15.18,15.18,,284094.0
2017-02-16,15.22,15.22,14.96,14.96,,267083.0
2017-02-17,14.96,14.96,14.75,14.92,,180577.0
2017-02-21,14.92,14.92,14.7,14.73,,1330908.0
2017-02-22,14.75,14.83,14.27,14.43,,626760.0
2017-02-23,14.38,14.39,13.84,14.01,,906874.0
2017-02-24,14.01,14.29,13.91,14.29,,555502.0
2017-02-27,14.26,14.27,13.8,13.9,,1063030.0
2017-02-28,13.96,13.96,13.86,13.89,,82742.0
2017-03-01,13.89,14.27,13.89,14.01,,151043.0
2017-03-02,14.06,14.24,13.93,13.93,,201560.0
2017-03-03,13.91,14.01,13.91,13.98,,550908.0
2017-03-06,14.01,14.01,13.76,13.9,,1062976.0
2017-03-07,13.9,13.96,13.81,13.84,,90820.0
2017-03-08,13.84,13.84,13.58,13.63,,481736.0
2017-03-09,13.59,13.59,13.19,13.25,,542739.0
2017-03-10,13.2,13.58,13.2,13.49,,830883.0
2017-03-13,13.54,14.1,13.54,13.95,,300587.0
2017-03-14,13.93,13.95,13.8,13.9,,331256.0
2017-03-15,13.94,13.97,13.8,13.88,,490268.0
2017-03-16,13.89,13.97,13.89,13.89,,248016.0
2017-03-17,13.9,13.93,13.76,13.83,,1420319.0
2017-03-20,13.83,13.95,13.83,13.93,,167084.0
2017-03-21,13.96,13.96,13.71,13.76,,921809.0
2017-03-22,13.76,13.76,13.58,13.63,,506790.0
2017-03-23,13.73,13.76,13.52,13.52,,514098.0
2017-03-24,13.54,13.76,13.53,13.58,,548786.0
2017-03-27,13.57,13.64,13.56,13.63,,859641.0
2017-03-28,13.62,13.72,13.62,13.67,,2530935.0
2017-03-29,13.68,13.98,13.68,13.97,,2384190.0
2017-03-30,14.23,14.27,13.75,14.0,,3010911.0
2017-03-31,14.0,14.17,13.76,14.01,,14580.0
2017-04-03,14.18,14.19,13.76,14.06,,719977.0
2017-04-04,14.02,14.18,14.02,14.18,,924207.0
2017-04-05,14.15,14.21,14.12,14.17,,120515.0
2017-04-06,14.19,14.19,14.08,14.11,,65957.0
2017-04-07,14.1,14.15,13.82,13.97,,134953.0
2017-04-10,14.01,14.01,13.95,13.97,,154572.0
