time,open,high,low,close,Volume,volume
1999-11-01,1.08,1.17,1.07,1.12,,299700.0
1999-11-02,1.11,1.12,1.08,1.11,,64300.0
1999-11-03,1.1,1.11,1.08,1.11,,61600.0
1999-11-04,1.1,1.11,1.1,1.1,,54000.0
1999-11-05,1.1,1.11,1.1,1.1,,41600.0
1999-11-08,1.1,1.11,1.1,1.11,,79800.0
1999-11-09,1.1,1.11,1.08,1.1,,153900.0
1999-11-10,1.08,1.1,1.08,1.1,,96700.0
1999-11-11,1.07,1.1,1.06,1.06,,50100.0
1999-11-12,1.06,1.06,1.03,1.04,,28500.0
1999-11-15,1.06,1.08,1.06,1.07,,43400.0
1999-11-16,1.06,1.07,1.0,1.0,,149200.0
1999-11-17,1.02,1.02,0.98,0.98,,53400.0
1999-11-18,0.95,0.99,0.95,0.98,,42100.0
1999-11-19,0.96,0.98,0.92,0.93,,125900.0
1999-11-22,0.93,0.93,0.89,0.91,,40600.0
1999-11-23,0.85,0.89,0.85,0.89,,45900.0
1999-11-24,0.87,0.92,0.87,0.89,,59300.0
1999-11-26,0.89,0.93,0.89,0.92,,18900.0
1999-11-29,0.92,0.98,0.92,0.98,,53100.0
1999-11-30,0.95,1.07,0.92,1.07,,102500.0
1999-12-01,1.06,1.06,0.98,1.03,,122200.0
1999-12-02,1.02,1.03,0.98,0.98,,144600.0
1999-12-03,0.99,1.0,0.91,0.91,,69900.0
1999-12-06,0.92,0.96,0.91,0.95,,68600.0
1999-12-07,0.92,0.93,0.91,0.92,,44000.0
1999-12-08,0.92,0.95,0.91,0.92,,73700.0
1999-12-09,0.92,0.93,0.91,0.93,,66800.0
1999-12-10,0.92,0.93,0.91,0.92,,51300.0
1999-12-13,0.92,0.93,0.91,0.92,,31000.0
1999-12-14,0.92,0.95,0.91,0.91,,65800.0
1999-12-15,0.91,0.91,0.87,0.87,,222700.0
1999-12-16,0.87,0.89,0.83,0.84,,69700.0
1999-12-17,0.85,0.85,0.85,0.85,,235500.0
1999-12-20,0.84,0.85,0.81,0.85,,94600.0
1999-12-21,0.83,0.84,0.8,0.81,,139400.0
1999-12-22,0.81,0.84,0.81,0.81,,67300.0
1999-12-23,0.83,0.84,0.81,0.81,,47200.0
1999-12-27,0.81,0.85,0.81,0.83,,589200.0
1999-12-28,0.81,0.84,0.81,0.81,,155400.0
1999-12-29,0.81,0.84,0.81,0.84,,362700.0
1999-12-30,0.83,0.85,0.8,0.81,,193400.0
1999-12-31,0.81,0.93,0.81,0.91,,916700.0
2000-01-03,0.92,0.92,0.87,0.87,,17100.0
2000-01-04,0.87,0.87,0.85,0.87,,39800.0
2000-01-05,0.85,0.88,0.85,0.87,,30400.0
2000-01-06,0.85,0.89,0.85,0.87,,27500.0
2000-01-07,0.85,0.87,0.84,0.85,,84500.0
2000-01-10,0.85,0.89,0.85,0.87,,54100.0
2000-01-11,0.84,0.85,0.84,0.85,,52300.0
2000-01-12,0.84,0.85,0.84,0.84,,15600.0
2000-01-13,0.84,0.88,0.84,0.85,,31000.0
2000-01-14,0.85,0.87,0.85,0.87,,36200.0
2000-01-18,0.87,0.88,0.85,0.88,,20600.0
2000-01-19,0.87,0.88,0.85,0.88,,28300.0
2000-01-20,0.88,0.88,0.87,0.87,,32100.0
2000-01-21,0.87,0.87,0.85,0.85,,40600.0
2000-01-24,0.85,0.87,0.8,0.8,,104500.0
2000-01-25,0.81,0.81,0.75,0.76,,357600.0
2000-01-26,0.75,0.79,0.73,0.76,,74100.0
2000-01-27,0.76,0.79,0.73,0.76,,108200.0
2000-01-28,0.75,0.76,0.73,0.75,,126200.0
2000-01-31,0.76,0.81,0.73,0.79,,226600.0
2000-02-01,0.79,0.81,0.77,0.8,,91500.0
2000-02-02,0.79,0.83,0.79,0.81,,39100.0
2000-02-03,0.8,0.84,0.79,0.8,,175400.0
2000-02-04,0.79,0.79,0.76,0.76,,125700.0
2000-02-07,0.81,0.83,0.77,0.8,,40900.0
