time,open,high,low,close,Volume,volume
2020-11-16,13.43,13.87,13.18,13.62,,26574200.0
2020-11-17,13.22,15.4,13.14,14.04,,60532936.0
2020-11-18,14.14,14.59,13.7,13.91,,31517441.0
2020-11-19,13.74,15.63,13.73,15.56,,35794059.0
2020-11-20,15.81,15.82,14.6,14.71,,38015407.0
2020-11-23,14.8,14.82,14.17,14.4,,20717971.0
2020-11-24,14.37,14.6,13.99,14.52,,22966745.0
2020-11-25,14.33,14.87,14.22,14.66,,15353777.0
2020-11-27,14.69,14.92,14.52,14.65,,11024657.0
2020-11-30,14.63,14.74,14.43,14.45,,21166326.0
2020-12-01,14.5,14.73,14.38,14.61,,15032761.0
2020-12-02,14.55,14.83,14.47,14.71,,22173216.0
2020-12-03,14.72,15.01,14.55,14.92,,16848384.0
2020-12-04,14.89,15.2,14.82,15.12,,15946922.0
2020-12-07,15.13,15.46,15.05,15.09,,10008659.0
2020-12-08,14.95,15.4,14.95,15.32,,9303086.0
2020-12-09,15.33,15.44,15.03,15.05,,12701883.0
2020-12-10,14.88,15.33,14.86,15.2,,9422490.0
2020-12-11,15.03,15.25,14.67,14.89,,15842674.0
2020-12-14,14.89,15.06,14.67,14.89,,16694055.0
2020-12-15,14.95,15.35,14.77,15.23,,13189112.0
2020-12-16,15.14,15.69,15.08,15.34,,17203789.0
2020-12-17,15.25,15.37,15.07,15.22,,14484983.0
2020-12-18,15.2,15.29,15.04,15.25,,18226276.0
2020-12-21,14.95,15.07,14.82,14.94,,14799820.0
2020-12-22,14.97,15.32,14.83,15.24,,11415468.0
2020-12-23,15.24,15.5,15.17,15.36,,6303385.0
2020-12-24,15.29,15.39,15.18,15.26,,1946680.0
2020-12-28,15.34,15.36,15.14,15.24,,4929334.0
2020-12-29,15.17,15.29,15.05,15.25,,4811911.0
2020-12-30,15.13,15.62,15.1,15.57,,10332307.0
2020-12-31,15.65,16.2,15.49,16.1,,14375983.0
2021-01-04,16.03,16.12,15.64,15.93,,12215605.0
2021-01-05,15.88,15.98,15.3,15.55,,12217787.0
2021-01-06,15.61,16.04,15.55,15.88,,8625061.0
2021-01-07,15.91,16.05,15.77,15.91,,7195092.0
2021-01-08,15.82,15.98,15.49,15.72,,6893458.0
2021-01-11,15.63,16.03,15.56,15.87,,6961189.0
2021-01-12,15.85,16.04,15.63,15.67,,7677583.0
2021-01-13,15.69,16.07,15.63,15.81,,9185867.0
2021-01-14,15.75,15.77,14.39,14.87,,44993158.0
2021-01-15,14.7,14.77,14.37,14.65,,19765045.0
2021-01-19,14.83,15.08,14.67,14.98,,10847169.0
2021-01-20,14.99,15.21,14.87,15.2,,9953076.0
2021-01-21,14.91,15.14,14.43,14.87,,13895074.0
2021-01-22,14.81,15.05,14.69,14.97,,5726564.0
2021-01-25,14.83,14.95,14.71,14.8,,9460056.0
2021-01-26,14.77,14.91,14.67,14.68,,5968669.0
2021-01-27,14.6,14.75,14.27,14.48,,14517707.0
2021-01-28,14.52,14.98,14.47,14.77,,9215227.0
2021-01-29,14.82,15.1,14.52,14.59,,8256088.0
2021-02-01,14.73,15.1,14.63,14.98,,8954928.0
2021-02-02,15.09,15.25,14.91,14.93,,9185721.0
2021-02-03,14.86,15.79,14.86,15.54,,15935468.0
2021-02-04,15.56,15.7,15.21,15.46,,7266619.0
