time,open,high,low,close,Volume,volume
2005-07-08,7.07,7.19,6.73,6.98,,4067600.0
2005-07-11,6.98,7.05,6.89,7.0,,1382400.0
2005-07-12,7.16,7.44,7.12,7.37,,1230200.0
2005-07-13,7.41,7.41,7.25,7.25,,1233900.0
2005-07-14,7.3,7.3,7.21,7.25,,2311600.0
2005-07-15,7.21,7.23,7.07,7.16,,1099600.0
2005-07-18,7.09,7.09,6.78,6.8,,3226300.0
2005-07-19,6.82,6.84,6.8,6.82,,4084800.0
2005-07-20,6.82,6.82,6.78,6.78,,3596000.0
2005-07-21,6.62,6.89,6.48,6.88,,35754800.0
2005-07-22,6.87,6.96,6.8,6.84,,30231100.0
2005-07-25,6.84,6.84,6.38,6.41,,21772800.0
2005-07-26,6.41,6.43,6.27,6.39,,20022300.0
2005-07-27,6.36,6.53,6.33,6.39,,22497700.0
2005-07-28,6.39,6.56,6.37,6.5,,18940200.0
2005-07-29,6.5,6.53,6.38,6.51,,4637900.0
2005-08-01,6.46,6.57,6.38,6.41,,5177400.0
2005-08-02,6.35,6.4,6.16,6.38,,13416000.0
2005-08-03,6.3,6.49,6.25,6.49,,5212900.0
2005-08-04,6.35,6.5,6.34,6.46,,7530700.0
2005-08-05,6.41,6.46,6.34,6.43,,6118800.0
2005-08-08,6.34,6.48,6.32,6.41,,3862300.0
2005-08-09,6.41,6.42,6.32,6.37,,6048500.0
2005-08-10,6.36,6.47,6.36,6.44,,18739600.0
2005-08-11,6.52,6.85,6.52,6.66,,20197200.0
2005-08-12,6.69,6.74,6.62,6.7,,10717900.0
2005-08-15,6.69,6.98,6.66,6.91,,9547000.0
2005-08-16,6.98,7.19,6.85,6.93,,10397300.0
2005-08-17,6.96,7.0,6.87,6.89,,5430100.0
2005-08-18,6.86,6.9,6.83,6.85,,2128800.0
2005-08-19,6.84,7.0,6.84,6.94,,3334300.0
2005-08-22,6.92,7.14,6.92,7.07,,2465800.0
2005-08-23,7.14,7.25,7.02,7.15,,3480500.0
2005-08-24,7.08,7.32,7.08,7.22,,3172100.0
2005-08-25,7.25,7.25,7.0,7.19,,1850000.0
2005-08-26,7.2,7.25,6.91,7.11,,2740600.0
2005-08-29,7.07,7.13,6.95,7.02,,1647400.0
2005-08-30,6.89,7.07,6.84,6.99,,4993100.0
2005-08-31,7.02,7.02,6.87,6.91,,3908900.0
2005-09-01,6.87,6.92,6.84,6.92,,3671100.0
2005-09-02,6.85,6.91,6.81,6.91,,2594600.0
2005-09-06,6.87,6.96,6.87,6.94,,3185200.0
2005-09-07,6.92,6.95,6.89,6.94,,2635900.0
2005-09-08,6.98,7.05,6.88,6.89,,4694100.0
2005-09-09,6.89,6.89,6.83,6.84,,4586800.0
2005-09-12,6.82,6.89,6.81,6.83,,1582000.0
2005-09-13,6.9,6.93,6.7,6.77,,3541200.0
2005-09-14,6.7,6.84,6.7,6.81,,1935100.0
2005-09-15,6.78,6.9,6.78,6.84,,2120800.0
2005-09-16,6.83,6.88,6.81,6.84,,1846600.0
2005-09-19,6.88,6.96,6.84,6.87,,1469100.0
2005-09-20,6.87,6.99,6.83,6.86,,2708900.0
2005-09-21,6.9,6.91,6.73,6.75,,1879100.0
2005-09-22,6.73,6.78,6.68,6.71,,4361000.0
2005-09-23,6.71,6.72,6.59,6.67,,1635900.0
2005-09-26,6.68,6.7,6.64,6.65,,1940600.0
2005-09-27,6.63,6.69,6.59,6.65,,2011200.0
2005-09-28,6.68,6.69,6.55,6.57,,3413800.0
2005-09-29,6.56,6.59,6.48,6.5,,5842000.0
2005-09-30,6.48,6.68,6.46,6.58,,5600300.0
2005-10-03,6.58,6.64,6.57,6.63,,2488100.0
2005-10-04,6.62,6.64,6.37,6.4,,3947700.0
2005-10-05,6.39,6.43,6.3,6.34,,7917800.0
2005-10-06,6.32,6.39,6.27,6.3,,2722800.0
2005-10-07,6.28,6.39,6.28,6.38,,1999100.0
2005-10-10,6.35,6.46,6.34,6.37,,2586600.0
2005-10-11,6.36,6.46,6.34,6.41,,6034800.0
2005-10-12,6.37,6.42,6.36,6.4,,2211600.0
2005-10-13,6.39,6.55,6.38,6.5,,4118900.0
2005-10-14,6.48,6.67,6.48,6.61,,6107600.0
2005-10-17,6.59,6.62,6.39,6.49,,4428700.0
2005-10-18,6.48,6.53,6.43,6.46,,1647800.0
2005-10-19,6.42,6.45,6.32,6.39,,3595000.0
2005-10-20,6.38,6.4,6.31,6.33,,4582700.0
2005-10-21,6.32,6.58,6.32,6.42,,7583000.0
2005-10-24,6.41,6.52,6.41,6.5,,1481400.0
2005-10-25,6.46,6.51,6.38,6.41,,2449800.0
2005-10-26,6.35,6.4,6.35,6.38,,4059800.0
2005-10-27,6.35,6.46,6.25,6.27,,6880600.0
2005-10-28,6.3,6.51,6.25,6.47,,4094000.0
2005-10-31,6.47,6.52,6.37,6.43,,2894000.0
2005-11-01,6.39,6.6,6.39,6.49,,2646300.0
2005-11-02,6.52,6.58,6.46,6.56,,1660500.0
2005-11-03,6.56,6.64,6.4,6.48,,1930800.0
2005-11-04,6.47,6.48,6.37,6.44,,1462100.0
2005-11-07,6.44,6.53,6.38,6.46,,1046600.0
2005-11-08,6.41,6.57,6.41,6.55,,1198100.0
2005-11-09,6.5,6.56,6.29,6.54,,4621800.0
2005-11-10,6.48,6.77,6.47,6.75,,2188700.0
2005-11-11,6.75,6.98,6.67,6.96,,4716200.0
2005-11-14,7.0,7.0,6.86,6.99,,2459600.0
2005-11-15,7.03,7.04,6.93,6.99,,2704600.0
2005-11-16,7.02,7.02,6.8,6.84,,2409800.0
2005-11-17,6.84,6.88,6.69,6.79,,1340300.0
2005-11-18,6.78,7.0,6.78,6.95,,6269100.0
2005-11-21,7.03,7.18,6.91,7.12,,3017700.0
2005-11-22,7.14,7.19,7.03,7.19,,3117500.0
2005-11-23,7.15,7.25,7.07,7.21,,1682400.0
2005-11-25,7.19,7.28,7.17,7.23,,511400.0
2005-11-28,7.23,7.23,7.14,7.19,,3811500.0
2005-11-29,7.12,7.21,7.05,7.19,,3856300.0
2005-11-30,7.17,7.18,7.09,7.12,,2658000.0
2005-12-01,7.15,7.19,7.07,7.14,,1751900.0
2005-12-02,7.19,7.19,7.07,7.12,,1087300.0
2005-12-05,7.16,7.19,6.99,7.07,,2376000.0
2005-12-06,7.05,7.07,6.88,6.89,,2424900.0
2005-12-07,6.88,7.17,6.88,6.98,,1890700.0
2005-12-08,7.0,7.12,6.95,7.07,,837600.0
2005-12-09,7.07,7.12,6.98,7.06,,1036000.0
2005-12-12,7.19,7.4,7.15,7.21,,7388300.0
2005-12-13,7.25,7.3,7.22,7.29,,3618900.0
2005-12-14,7.25,7.35,7.25,7.3,,3021600.0
2005-12-15,7.29,7.32,7.04,7.09,,4391700.0
2005-12-16,7.16,7.35,7.08,7.32,,21100200.0
2005-12-19,7.28,7.28,7.05,7.13,,4158600.0
2005-12-20,7.11,7.3,7.04,7.07,,3369000.0
2005-12-21,7.07,7.19,6.98,7.0,,1557800.0
2005-12-22,6.97,7.1,6.96,6.97,,1340200.0
2005-12-23,6.96,7.12,6.93,7.04,,1257800.0
2005-12-27,7.03,7.14,6.92,6.99,,1605900.0
2005-12-28,6.95,7.0,6.93,6.94,,1186900.0
2005-12-29,6.99,7.06,6.94,6.96,,1961100.0
2005-12-30,6.93,7.02,6.9,6.91,,3111200.0
2006-01-03,6.9,6.98,6.87,6.89,,4513200.0
2006-01-04,6.89,6.99,6.87,6.98,,4394800.0
2006-01-05,7.0,7.0,6.96,6.98,,2186000.0
2006-01-06,7.05,7.07,6.94,7.0,,1792800.0
2006-01-09,6.98,7.0,6.91,6.98,,2336300.0
2006-01-10,6.93,6.99,6.93,6.99,,3887400.0
2006-01-11,6.95,6.99,6.93,6.97,,2184000.0
2006-01-12,6.95,6.99,6.94,6.96,,2153100.0
2006-01-13,6.99,6.99,6.92,6.94,,2422600.0
2006-01-17,6.93,7.06,6.93,7.05,,3049000.0
2006-01-18,7.05,7.08,6.96,7.05,,1442300.0
2006-01-19,7.04,7.09,6.95,7.08,,3354100.0
2006-01-20,7.03,7.12,6.95,6.99,,1867000.0
2006-01-23,6.98,7.05,6.93,7.03,,1275600.0
2006-01-24,7.02,7.04,7.01,7.03,,1255200.0
2006-01-25,7.01,7.02,6.94,6.99,,1783800.0
2006-01-26,7.07,7.07,6.99,7.03,,1444300.0
2006-01-27,7.02,7.11,7.02,7.08,,1253700.0
2006-01-30,7.12,7.14,6.97,7.0,,1028200.0
2006-01-31,7.03,7.03,6.88,6.92,,3007300.0
2006-02-01,6.87,6.93,6.81,6.84,,2234300.0
2006-02-02,6.83,6.86,6.62,6.65,,1970300.0
2006-02-03,6.6,6.66,6.56,6.65,,2440200.0
2006-02-06,6.62,6.65,6.57,6.64,,947800.0
2006-02-07,6.61,6.65,6.57,6.59,,1429600.0
2006-02-08,6.65,6.83,6.59,6.82,,2285800.0
2006-02-09,6.81,6.85,6.67,6.75,,2121400.0
2006-02-10,6.73,6.75,6.59,6.62,,1904600.0
2006-02-13,6.59,6.67,6.58,6.61,,1118000.0
2006-02-14,6.61,6.63,6.57,6.59,,1943300.0
2006-02-15,6.58,6.66,6.53,6.61,,1777700.0
2006-02-16,6.6,6.73,6.6,6.69,,1674000.0
2006-02-17,6.67,6.7,6.6,6.62,,1348000.0
2006-02-21,6.62,6.68,6.56,6.6,,1456200.0
2006-02-22,6.6,6.72,6.6,6.63,,2750000.0
2006-02-23,6.6,6.66,6.53,6.62,,1505100.0
2006-02-24,6.62,6.63,6.54,6.58,,2006300.0
2006-02-27,6.58,6.78,6.58,6.77,,2056200.0
2006-02-28,6.72,6.76,6.62,6.66,,2485800.0
2006-03-01,6.7,6.79,6.65,6.72,,1687100.0
2006-03-02,6.69,6.69,6.59,6.62,,1124700.0
2006-03-03,6.62,6.69,6.56,6.6,,1250300.0
2006-03-06,6.59,6.65,6.55,6.6,,1285700.0
2006-03-07,6.62,6.67,6.55,6.56,,696100.0
2006-03-08,6.55,6.58,6.42,6.49,,2395000.0
2006-03-09,6.48,6.52,6.39,6.5,,2036800.0
2006-03-10,6.48,6.7,6.46,6.55,,1679900.0
2006-03-13,6.54,6.67,6.49,6.62,,1315300.0
2006-03-14,6.62,6.79,6.62,6.73,,1319200.0
2006-03-15,6.72,6.83,6.64,6.82,,1287100.0
2006-03-16,6.81,6.83,6.66,6.7,,1049100.0
2006-03-17,6.73,6.76,6.59,6.66,,1941700.0
2006-03-20,6.64,6.66,6.57,6.61,,1273200.0
2006-03-21,6.62,6.68,6.57,6.6,,2441900.0
2006-03-22,6.58,6.61,6.47,6.56,,1455600.0
2006-03-23,6.52,6.7,6.44,6.69,,1518400.0
2006-03-24,6.41,6.68,6.33,6.6,,11071300.0
2006-03-27,6.58,6.66,6.54,6.64,,3934500.0
2006-03-28,6.65,6.66,6.61,6.64,,2888500.0
2006-03-29,6.62,6.82,6.61,6.79,,4552000.0
2006-03-30,6.77,6.86,6.74,6.82,,3010500.0
2006-03-31,6.85,6.89,6.78,6.84,,6562000.0
2006-04-03,6.92,6.92,6.8,6.83,,5485700.0
2006-04-04,6.88,6.92,6.8,6.9,,3711500.0
2006-04-05,6.88,6.91,6.82,6.86,,3850400.0
2006-04-06,6.83,6.93,6.78,6.86,,1596300.0
2006-04-07,6.88,6.92,6.75,6.84,,1712400.0
2006-04-10,6.83,6.87,6.7,6.77,,1799300.0
2006-04-11,6.82,6.84,6.66,6.72,,2190700.0
2006-04-12,6.71,6.76,6.69,6.74,,1281400.0
2006-04-13,6.75,6.75,6.62,6.65,,2239200.0
2006-04-17,6.63,6.67,6.56,6.59,,1382000.0
2006-04-18,6.59,6.67,6.59,6.65,,3268400.0
2006-04-19,6.63,6.67,6.61,6.66,,2943100.0
2006-04-20,6.63,6.74,6.62,6.7,,3265500.0
2006-04-21,6.72,6.74,6.65,6.71,,5846700.0
2006-04-24,6.72,6.73,6.65,6.67,,2073800.0
2006-04-25,6.67,6.69,6.6,6.66,,1370100.0
2006-04-26,6.65,6.69,6.57,6.63,,2363300.0
2006-04-27,6.59,6.87,6.54,6.78,,2407100.0
2006-04-28,6.83,6.86,6.76,6.8,,1163200.0
2006-05-01,6.8,6.87,6.77,6.85,,2517700.0
2006-05-02,6.85,6.87,6.68,6.72,,3990300.0
2006-05-03,6.68,6.68,6.47,6.59,,11358000.0
2006-05-04,6.59,6.72,6.58,6.61,,1777200.0
2006-05-05,6.61,6.62,6.51,6.57,,1462700.0
2006-05-08,6.55,6.6,6.51,6.58,,1783600.0
2006-05-09,6.55,6.63,6.55,6.57,,1868700.0
2006-05-10,6.55,6.59,6.49,6.51,,1601800.0
2006-05-11,6.49,6.56,6.49,6.51,,2843300.0
2006-05-12,6.5,6.58,6.38,6.39,,2942900.0
2006-05-15,6.35,6.58,6.35,6.53,,2548000.0
2006-05-16,6.49,6.59,6.46,6.57,,1894800.0
2006-05-17,6.49,6.56,6.4,6.41,,1492400.0
2006-05-18,6.41,6.46,6.29,6.31,,2306100.0
2006-05-19,6.32,6.4,6.23,6.31,,2888900.0
2006-05-22,6.26,6.32,6.21,6.24,,1377300.0
2006-05-23,6.24,6.36,6.24,6.27,,3810500.0
2006-05-24,6.23,6.35,6.23,6.31,,2569700.0
2006-05-25,6.32,6.34,6.24,6.31,,2251500.0
2006-05-26,6.32,6.38,6.26,6.33,,2769000.0
2006-05-30,6.29,6.36,6.24,6.32,,2506700.0
2006-05-31,6.29,6.41,6.26,6.33,,2599100.0
2006-06-01,6.31,6.49,6.27,6.48,,2626500.0
2006-06-02,6.52,6.58,6.39,6.56,,1847400.0
2006-06-05,6.51,6.55,6.35,6.39,,1508500.0
2006-06-06,6.37,6.42,6.33,6.39,,1147000.0
2006-06-07,6.38,6.41,6.31,6.31,,1369900.0
2006-06-08,6.28,6.39,6.21,6.3,,2587200.0
2006-06-09,6.31,6.39,6.24,6.28,,1801600.0
2006-06-12,6.32,6.39,6.26,6.29,,1959200.0
2006-06-13,6.28,6.37,6.23,6.34,,1970100.0
2006-06-14,6.31,6.38,6.24,6.33,,2417700.0
2006-06-15,6.34,6.72,6.34,6.65,,2692400.0
2006-06-16,6.62,6.62,6.46,6.51,,3060900.0
2006-06-19,6.48,6.59,6.43,6.55,,2620800.0
2006-06-20,6.54,6.67,6.47,6.58,,1312400.0
2006-06-21,6.64,6.72,6.58,6.67,,2183800.0
2006-06-22,6.61,6.66,6.49,6.52,,2051300.0
2006-06-23,6.56,6.62,6.5,6.51,,1382800.0
2006-06-26,6.5,6.62,6.5,6.56,,2307700.0
2006-06-27,6.58,6.63,6.48,6.49,,1682400.0
2006-06-28,6.48,6.63,6.47,6.56,,1576800.0
2006-06-29,6.55,6.78,6.51,6.78,,2283400.0
2006-06-30,6.78,6.82,6.62,6.67,,7574400.0
2006-07-03,6.66,6.76,6.66,6.72,,1187500.0
2006-07-05,6.68,6.71,6.6,6.63,,2126900.0
2006-07-06,6.61,6.62,6.47,6.57,,3442800.0
2006-07-07,6.52,6.56,6.46,6.51,,3018700.0
2006-07-10,6.51,6.51,6.39,6.45,,2792100.0
2006-07-11,6.43,6.5,6.41,6.44,,2157800.0
2006-07-12,6.41,6.42,6.32,6.41,,2907500.0
2006-07-13,6.39,6.5,6.36,6.4,,2111600.0
2006-07-14,6.39,6.39,6.27,6.33,,1630800.0
2006-07-17,6.35,6.35,6.25,6.27,,1758000.0
2006-07-18,6.27,6.3,6.2,6.25,,1403000.0
2006-07-19,6.23,6.31,6.2,6.24,,1961300.0
2006-07-20,6.19,6.26,6.15,6.19,,1379100.0
2006-07-21,6.14,6.26,6.13,6.16,,2364400.0
2006-07-24,6.16,6.23,6.12,6.16,,1262300.0
2006-07-25,6.17,6.29,6.14,6.22,,957200.0
2006-07-26,6.22,6.28,6.16,6.18,,1485000.0
2006-07-27,6.18,6.23,6.05,6.16,,3673900.0
2006-07-28,6.16,6.25,6.12,6.15,,1463400.0
2006-07-31,6.15,6.15,6.07,6.08,,1638800.0
2006-08-01,6.07,6.1,6.01,6.05,,1995900.0
2006-08-02,6.01,6.26,6.01,6.17,,2624700.0
2006-08-03,6.15,6.29,6.15,6.19,,1493600.0
2006-08-04,6.31,6.39,6.19,6.21,,1664200.0
2006-08-07,6.25,6.39,6.19,6.32,,1686700.0
2006-08-08,6.37,6.37,6.09,6.2,,1638800.0
2006-08-09,6.22,6.26,5.84,6.05,,3861900.0
2006-08-10,6.05,6.23,6.05,6.17,,1690700.0
2006-08-11,6.08,6.55,6.05,6.41,,2722400.0
2006-08-14,6.43,6.48,6.31,6.31,,2153100.0
2006-08-15,6.3,6.49,6.3,6.47,,1756600.0
2006-08-16,6.52,6.52,6.35,6.46,,1704400.0
2006-08-17,6.46,6.6,6.38,6.57,,2237800.0
2006-08-18,6.58,6.59,6.47,6.5,,1791000.0
2006-08-21,6.48,6.54,6.38,6.52,,1329400.0
2006-08-22,6.49,6.57,6.44,6.49,,1491000.0
2006-08-23,6.51,6.53,6.39,6.43,,836600.0
2006-08-24,6.46,6.49,6.36,6.39,,818400.0
2006-08-25,6.35,6.53,6.35,6.4,,1052500.0
2006-08-28,6.36,6.41,6.34,6.4,,1231700.0
