time,open,high,low,close,Volume,volume
1999-11-01,2.61,2.66,2.4,2.5,,1632500.0
1999-11-02,2.5,2.61,2.4,2.5,,1453000.0
1999-11-03,2.5,2.5,2.36,2.36,,1850500.0
1999-11-04,2.5,2.5,2.25,2.25,,3088400.0
1999-11-05,2.3,2.36,2.2,2.25,,3408700.0
1999-11-08,2.3,2.56,2.3,2.36,,3718500.0
1999-11-09,2.4,2.61,2.36,2.61,,2215500.0
1999-11-10,2.61,3.61,2.61,3.41,,17818300.0
1999-11-11,3.41,3.66,3.01,3.11,,6015200.0
1999-11-12,3.11,3.16,2.76,3.01,,3723400.0
1999-11-15,3.06,3.11,2.81,3.01,,2263000.0
1999-11-16,3.01,3.11,2.91,2.96,,1956400.0
1999-11-17,2.96,3.46,2.91,3.16,,3526100.0
1999-11-18,3.21,3.31,3.11,3.16,,2390800.0
1999-11-19,3.21,3.26,2.96,3.11,,2440600.0
1999-11-22,3.16,3.21,3.06,3.11,,1622000.0
1999-11-23,3.16,3.16,2.91,2.96,,2106900.0
1999-11-24,3.01,3.01,2.81,2.96,,2135600.0
1999-11-26,3.01,3.01,2.91,2.96,,553400.0
1999-11-29,3.01,3.36,2.96,3.36,,4073900.0
1999-11-30,3.26,3.61,3.11,3.11,,4469600.0
1999-12-01,3.01,3.36,3.01,3.06,,2318100.0
1999-12-02,3.16,3.16,3.01,3.06,,1541400.0
1999-12-03,3.16,3.16,3.01,3.01,,1681900.0
1999-12-06,3.06,3.06,2.91,3.01,,1670700.0
1999-12-07,3.01,3.01,2.81,2.96,,1458700.0
1999-12-08,2.91,2.91,2.81,2.86,,1966800.0
1999-12-09,2.86,3.01,2.81,2.81,,2215000.0
1999-12-10,2.96,3.01,2.81,2.91,,2629000.0
1999-12-13,2.91,2.96,2.76,2.76,,1934800.0
1999-12-14,2.86,2.96,2.86,2.91,,1771600.0
1999-12-15,2.96,3.01,2.81,2.81,,1637800.0
1999-12-16,2.91,3.31,2.86,3.21,,1158700.0
1999-12-17,3.25,3.61,3.16,3.36,,7914200.0
1999-12-20,3.41,3.51,3.11,3.16,,2345600.0
1999-12-21,3.11,3.26,3.06,3.11,,1485600.0
1999-12-22,3.11,3.16,3.01,3.11,,1448000.0
1999-12-23,3.06,3.16,2.91,3.01,,2078700.0
1999-12-27,3.11,3.11,2.91,2.96,,2146500.0
1999-12-28,3.01,3.16,2.81,2.86,,2855400.0
1999-12-29,2.86,2.96,2.81,2.96,,2321900.0
1999-12-30,2.91,3.06,2.91,3.06,,3317300.0
1999-12-31,3.11,3.36,3.06,3.36,,4214300.0
2000-01-03,3.41,3.41,3.16,3.16,,2461900.0
2000-01-04,3.16,4.01,3.11,3.76,,7660300.0
2000-01-05,3.81,3.81,3.31,3.71,,3944600.0
2000-01-06,3.61,3.76,3.46,3.66,,2468400.0
2000-01-07,3.71,4.51,3.71,4.51,,9783000.0
2000-01-10,4.41,4.46,4.01,4.01,,4961300.0
2000-01-11,3.91,4.11,3.61,3.71,,4393600.0
2000-01-12,3.96,4.01,3.21,3.66,,3791800.0
2000-01-13,3.81,3.91,3.41,3.46,,2919000.0
2000-01-14,3.51,3.81,3.46,3.61,,2952200.0
2000-01-18,3.91,4.21,3.66,4.11,,4523500.0
2000-01-19,4.06,5.36,4.01,5.36,,7651500.0
2000-01-20,5.11,5.11,4.26,4.46,,8872700.0
2000-01-21,4.41,4.46,4.01,4.11,,3447300.0
2000-01-24,4.26,4.31,3.81,3.81,,3333300.0
2000-01-25,3.91,4.41,3.81,4.41,,3379800.0
2000-01-26,4.21,4.61,3.96,4.61,,2750500.0
2000-01-27,4.11,4.31,3.71,3.71,,3692800.0
2000-01-28,3.81,4.11,3.76,4.01,,2153600.0
2000-01-31,3.96,3.96,3.71,3.81,,1273400.0
2000-02-01,3.81,3.86,3.66,3.76,,1669000.0
2000-02-02,3.71,3.81,3.66,3.81,,1297000.0
2000-02-03,3.76,4.16,3.71,4.06,,3049900.0
2000-02-04,4.16,4.21,3.91,4.06,,2031000.0
2000-02-07,4.06,4.41,4.01,4.21,,2992100.0
2000-02-08,4.21,4.46,4.01,4.11,,3046000.0
2000-02-09,4.11,4.16,3.91,4.01,,1744700.0
2000-02-10,4.01,4.01,3.81,3.86,,2456600.0
2000-02-11,3.86,3.96,3.41,3.96,,2678600.0
2000-02-14,3.76,3.81,3.71,3.76,,1473100.0
2000-02-15,3.71,3.76,3.61,3.61,,1696700.0
2000-02-16,3.71,3.71,3.61,3.61,,1352600.0
2000-02-17,3.66,3.76,3.61,3.61,,1742400.0
2000-02-18,3.66,3.66,3.46,3.46,,1762300.0
2000-02-22,3.46,3.61,3.41,3.41,,1633300.0
2000-02-23,3.46,3.46,3.31,3.46,,1791000.0
2000-02-24,3.36,3.51,3.36,3.41,,1769100.0
2000-02-25,3.31,3.41,3.16,3.16,,2750700.0
2000-02-28,3.21,3.31,3.16,3.16,,1907300.0
2000-02-29,3.26,3.81,3.26,3.61,,3057800.0
2000-03-01,3.61,3.76,3.46,3.76,,2455600.0
2000-03-02,3.66,3.81,3.61,3.81,,2013300.0
2000-03-03,3.91,3.91,3.51,3.61,,1960600.0
2000-03-06,3.71,4.11,3.61,3.86,,4475000.0
2000-03-07,3.81,3.91,3.56,3.66,,2089500.0
2000-03-08,3.66,3.76,3.56,3.66,,1306300.0
2000-03-09,3.66,4.81,3.61,4.81,,8568400.0
2000-03-10,4.51,4.61,4.16,4.16,,4687500.0
2000-03-13,4.41,5.81,4.31,5.81,,18814600.0
2000-03-14,5.81,6.21,5.21,5.21,,10510000.0
2000-03-15,5.56,5.56,5.11,5.21,,4792900.0
2000-03-16,5.96,6.16,5.61,6.11,,8804600.0
2000-03-17,6.01,6.36,4.81,6.01,,3706000.0
2000-03-20,6.01,6.06,5.41,5.56,,2666400.0
2000-03-21,5.46,5.71,5.26,5.71,,2091000.0
2000-03-22,5.81,6.81,5.71,6.41,,6757900.0
2000-03-23,6.41,7.06,6.41,7.01,,6106000.0
2000-03-24,6.61,7.06,6.61,6.91,,3399800.0
2000-03-27,6.91,6.96,6.51,6.61,,1644400.0
2000-03-28,6.51,6.56,6.06,6.16,,2174100.0
2000-03-29,6.16,6.21,5.61,6.21,,2756300.0
2000-03-30,5.96,6.11,5.31,5.51,,3406700.0
2000-03-31,5.66,6.01,5.21,5.96,,4411600.0
2000-04-03,5.96,6.01,5.56,5.71,,1868800.0
2000-04-04,5.66,5.81,4.66,5.16,,3779900.0
2000-04-05,5.56,6.31,5.21,6.16,,5536500.0
2000-04-06,6.26,6.26,5.66,6.21,,3408200.0
2000-04-07,6.31,6.31,6.01,6.06,,1469100.0
2000-04-10,6.01,6.11,5.61,5.66,,1543400.0
2000-04-11,5.61,5.61,5.31,5.36,,1620900.0
2000-04-12,5.36,5.46,5.01,5.01,,1718600.0
2000-04-13,5.21,5.56,5.06,5.41,,2214200.0
2000-04-14,5.26,5.31,4.66,4.81,,2838000.0
2000-04-17,4.41,4.81,4.41,4.51,,2171100.0
2000-04-18,4.56,5.06,4.56,4.96,,1591500.0
2000-04-19,5.01,5.61,4.91,5.61,,1288400.0
2000-04-20,5.11,5.16,4.96,4.96,,1139700.0
2000-04-24,4.81,4.96,4.66,4.86,,1413700.0
2000-04-25,5.06,5.81,5.01,5.61,,3555500.0
2000-04-26,5.71,5.71,5.41,5.46,,1548700.0
2000-04-27,5.36,6.21,5.31,6.21,,1934500.0
2000-04-28,5.96,6.01,5.41,5.51,,3017000.0
2000-05-01,5.56,5.76,5.46,5.76,,1402300.0
2000-05-02,5.56,5.61,5.31,5.36,,1155500.0
2000-05-03,5.31,5.41,5.16,5.36,,1407400.0
2000-05-04,5.36,5.41,5.21,5.26,,611400.0
2000-05-05,5.21,5.36,5.21,5.26,,481700.0
2000-05-08,5.16,5.31,5.16,5.21,,709300.0
2000-05-09,5.21,5.26,4.71,4.71,,1446500.0
2000-05-10,4.71,5.51,4.31,5.51,,1406600.0
2000-05-11,4.76,4.91,4.66,4.71,,598500.0
2000-05-12,4.81,4.86,4.51,4.61,,1080000.0
2000-05-15,4.51,4.76,4.51,4.76,,1213900.0
2000-05-16,4.71,4.91,4.36,4.51,,1297900.0
2000-05-17,4.41,4.46,4.13,4.16,,2086800.0
2000-05-18,4.26,4.31,4.11,4.21,,1271700.0
2000-05-19,4.11,4.36,4.06,4.16,,710400.0
2000-05-22,4.16,4.16,3.66,4.01,,1550800.0
2000-05-23,4.01,4.06,3.71,4.01,,1358200.0
2000-05-24,4.01,4.06,3.66,3.76,,1173800.0
2000-05-25,3.86,3.91,3.46,3.46,,996000.0
2000-05-26,3.56,3.71,3.46,3.71,,940500.0
2000-05-30,3.81,3.91,3.66,3.81,,964100.0
2000-05-31,3.76,3.86,3.76,3.76,,605800.0
2000-06-01,3.71,3.76,3.41,3.46,,1900800.0
2000-06-02,3.56,3.81,3.56,3.61,,2041500.0
2000-06-05,3.66,3.76,3.61,3.66,,1513400.0
2000-06-06,3.66,3.76,3.46,3.61,,1682400.0
2000-06-07,3.56,3.61,3.36,3.51,,1771600.0
2000-06-08,3.56,3.56,3.41,3.46,,959100.0
2000-06-09,3.51,3.61,3.41,3.46,,1279600.0
2000-06-12,3.46,3.71,3.41,3.46,,1486300.0
2000-06-13,3.56,3.56,3.41,3.46,,888500.0
2000-06-14,3.51,3.56,3.41,3.41,,1303700.0
2000-06-15,3.41,3.46,3.26,3.26,,1185400.0
2000-06-16,3.36,3.41,3.16,3.31,,2057500.0
2000-06-19,3.41,3.91,3.41,3.81,,3493700.0
2000-06-20,3.86,4.21,3.81,3.91,,3179000.0
2000-06-21,3.86,4.31,3.81,4.16,,2273700.0
2000-06-22,4.16,4.31,4.01,4.06,,1351800.0
2000-06-23,4.01,4.16,3.81,3.81,,783300.0
2000-06-26,4.01,4.06,3.76,3.86,,855400.0
2000-06-27,3.81,4.06,3.81,3.96,,1024000.0
2000-06-28,3.96,3.96,3.81,3.86,,472200.0
2000-06-29,3.86,3.86,3.71,3.81,,500400.0
2000-06-30,3.81,4.01,3.71,4.01,,906800.0
2000-07-03,4.01,4.01,3.86,3.96,,219700.0
2000-07-05,3.96,3.96,3.66,3.76,,606800.0
2000-07-06,3.76,3.81,3.61,3.66,,492000.0
2000-07-07,3.66,3.76,3.51,3.61,,691100.0
2000-07-10,3.66,3.71,3.51,3.51,,423900.0
2000-07-11,3.76,4.16,3.66,3.91,,2006900.0
2000-07-12,4.01,4.56,3.96,4.31,,3238900.0
2000-07-13,4.41,4.61,4.26,4.51,,1831600.0
2000-07-14,4.56,4.56,4.11,4.21,,1334600.0
2000-07-17,4.16,4.21,3.91,4.06,,1867700.0
2000-07-18,4.01,4.06,3.91,4.01,,785600.0
2000-07-19,3.91,3.96,3.86,3.86,,484300.0
2000-07-20,3.81,4.16,3.76,3.76,,3141400.0
2000-07-21,3.76,3.86,3.66,3.81,,1427700.0
2000-07-24,3.96,4.16,3.71,3.76,,1102100.0
2000-07-25,3.76,3.81,3.51,3.61,,1483800.0
2000-07-26,3.56,3.56,3.21,3.46,,2655800.0
2000-07-27,3.36,3.41,3.21,3.21,,1323200.0
2000-07-28,3.21,3.31,2.86,3.16,,3199200.0
2000-07-31,3.31,3.31,3.01,3.31,,1122500.0
2000-08-01,3.31,3.31,3.11,3.26,,1016200.0
2000-08-02,3.16,3.21,3.06,3.21,,907700.0
2000-08-03,3.01,3.06,2.91,3.01,,1512100.0
2000-08-04,3.01,3.16,3.01,3.06,,1090300.0
2000-08-07,3.06,3.31,3.06,3.16,,1092100.0
2000-08-08,3.11,3.21,2.96,3.01,,1383000.0
2000-08-09,3.06,3.06,2.86,2.86,,1156300.0
2000-08-10,2.86,3.01,2.86,2.91,,625800.0
2000-08-11,2.96,3.01,2.86,2.96,,717300.0
2000-08-14,2.96,3.06,2.96,3.01,,525500.0
2000-08-15,3.06,3.46,3.01,3.31,,1922500.0
2000-08-16,3.21,3.41,3.21,3.31,,878000.0
2000-08-17,3.41,3.56,3.41,3.51,,2397200.0
2000-08-18,3.51,4.61,3.51,4.51,,7048800.0
2000-08-21,4.41,4.51,4.16,4.36,,3138400.0
2000-08-22,4.21,4.31,4.21,4.21,,1449100.0
2000-08-23,4.11,4.16,3.76,3.96,,1279000.0
2000-08-24,3.96,4.51,3.91,4.41,,3001400.0
2000-08-25,4.31,4.46,4.26,4.36,,1003600.0
2000-08-28,4.11,4.91,4.11,4.86,,3990900.0
2000-08-29,4.76,5.16,4.66,4.81,,3430000.0
2000-08-30,4.81,4.91,4.61,4.66,,2685100.0
2000-08-31,4.71,5.01,4.61,4.71,,4304400.0
2000-09-01,4.66,4.76,4.46,4.61,,1609900.0
2000-09-05,4.66,5.01,4.51,4.81,,2011300.0
2000-09-06,4.76,4.81,4.51,4.71,,1258800.0
2000-09-07,4.71,4.96,4.61,4.66,,2136600.0
2000-09-08,4.66,4.81,4.51,4.66,,1842700.0
2000-09-11,4.61,4.76,4.51,4.56,,2053300.0
2000-09-12,4.61,4.61,4.21,4.26,,1226300.0
2000-09-13,4.01,4.36,3.96,4.06,,2987900.0
2000-09-14,4.06,4.41,4.06,4.21,,1475400.0
2000-09-15,4.21,4.51,4.06,4.31,,2319500.0
2000-09-18,4.31,4.66,4.26,4.41,,2586900.0
2000-09-19,4.36,4.51,4.31,4.46,,1381400.0
2000-09-20,4.51,4.81,4.46,4.81,,3815000.0
2000-09-21,4.71,5.06,4.56,4.81,,7698300.0
2000-09-22,4.46,4.76,4.41,4.51,,2057900.0
2000-09-25,4.51,4.66,4.31,4.46,,2613200.0
2000-09-26,4.46,4.46,4.11,4.11,,1829800.0
2000-09-27,4.21,4.36,3.96,4.06,,1583700.0
2000-09-28,4.01,4.51,3.91,4.36,,1615600.0
2000-09-29,4.51,4.71,4.36,4.71,,2653800.0
2000-10-02,4.71,4.96,4.56,4.66,,3966900.0
2000-10-03,4.66,4.71,4.41,4.46,,1524200.0
2000-10-04,4.51,5.01,4.21,4.91,,5329700.0
2000-10-05,4.91,5.46,4.76,5.31,,7820900.0
2000-10-06,5.31,5.46,4.86,4.91,,4017200.0
2000-10-09,4.96,5.11,4.81,4.96,,1773000.0
2000-10-10,5.16,5.31,4.71,4.81,,4037400.0
2000-10-11,4.61,4.71,4.21,4.41,,2594300.0
2000-10-12,4.41,4.61,4.11,4.21,,2137400.0
2000-10-13,4.21,4.56,4.21,4.46,,1706100.0
2000-10-16,4.46,4.66,4.36,4.51,,1275000.0
2000-10-17,4.51,4.61,4.16,4.26,,1005600.0
2000-10-18,4.16,4.36,3.81,4.01,,1999000.0
2000-10-19,4.11,4.31,4.01,4.16,,1950000.0
2000-10-20,4.11,4.21,3.96,4.21,,2790800.0
2000-10-23,4.31,4.51,4.26,4.46,,2968100.0
2000-10-24,4.46,4.76,4.41,4.56,,2537800.0
2000-10-25,4.46,4.96,4.46,4.91,,3979000.0
2000-10-26,4.86,4.91,4.46,4.81,,2899600.0
2000-10-27,4.81,5.11,4.66,4.81,,2949700.0
2000-10-30,4.71,4.71,4.56,4.71,,1066800.0
2000-10-31,4.71,4.86,4.51,4.81,,1336800.0
2000-11-01,4.66,4.71,4.56,4.61,,972300.0
2000-11-02,4.81,5.01,4.71,4.86,,3255900.0
2000-11-03,4.81,4.86,4.66,4.76,,1122900.0
2000-11-06,4.71,4.96,4.66,4.76,,1765100.0
2000-11-07,4.71,4.76,4.51,4.66,,1183100.0
2000-11-08,4.76,4.81,4.56,4.81,,1234800.0
2000-11-09,4.71,4.81,4.46,4.61,,2070900.0
2000-11-10,4.51,4.61,4.41,4.46,,917800.0
2000-11-13,4.36,4.36,4.06,4.16,,1664400.0
2000-11-14,4.26,4.41,4.21,4.31,,1183600.0
2000-11-15,4.36,4.51,4.31,4.51,,1901200.0
2000-11-16,4.41,4.46,4.31,4.46,,857000.0
2000-11-17,4.41,4.46,4.26,4.46,,1231200.0
2000-11-20,4.41,4.66,4.36,4.56,,2040300.0
2000-11-21,4.46,4.56,4.36,4.46,,2009900.0
2000-11-22,4.41,4.41,4.06,4.31,,1252600.0
2000-11-24,4.31,4.31,4.21,4.31,,241800.0
