time,open,high,low,close,Volume,volume
2002-10-25,7.1,7.15,6.99,7.08,,13965800.0
2002-10-28,7.08,7.1,7.05,7.08,,5505900.0
2002-10-29,7.07,7.08,6.55,6.88,,2235800.0
2002-10-30,6.86,6.86,6.6,6.8,,905800.0
2002-10-31,6.83,7.08,6.8,6.86,,298900.0
2002-11-01,6.85,6.91,6.84,6.86,,268800.0
2002-11-04,6.89,7.04,6.88,7.02,,1307600.0
2002-11-05,7.03,7.2,7.01,7.08,,2384700.0
2002-11-06,7.09,7.18,7.07,7.07,,204300.0
2002-11-07,7.11,7.16,6.72,7.1,,724200.0
2002-11-08,7.08,7.09,6.98,7.03,,106400.0
2002-11-11,7.07,7.07,6.88,6.91,,110500.0
2002-11-12,6.92,6.93,6.45,6.51,,540700.0
2002-11-13,6.55,6.58,5.85,6.04,,685600.0
2002-11-14,6.05,6.12,5.92,6.03,,462800.0
2002-11-15,6.04,6.29,6.03,6.28,,460700.0
2002-11-18,6.3,7.1,6.29,6.63,,325400.0
2002-11-19,6.72,6.96,6.54,6.85,,211400.0
2002-11-20,6.83,6.85,6.65,6.75,,92700.0
2002-11-21,6.82,6.99,6.82,6.99,,91300.0
2002-11-22,6.99,7.0,6.8,6.88,,55300.0
2002-11-25,6.96,7.07,6.89,7.03,,111000.0
2002-11-26,7.04,7.04,6.93,6.93,,59300.0
2002-11-27,7.02,7.02,6.8,6.8,,94300.0
2002-11-29,6.95,7.01,6.85,6.97,,35400.0
2002-12-02,7.04,7.04,6.72,6.75,,93600.0
2002-12-03,6.8,6.8,6.7,6.73,,31100.0
2002-12-04,6.77,6.85,6.7,6.85,,42300.0
2002-12-05,6.99,7.23,6.94,7.22,,366100.0
2002-12-06,7.15,7.28,7.07,7.17,,129300.0
2002-12-09,7.23,7.23,7.0,7.07,,106900.0
2002-12-10,7.07,7.17,7.03,7.07,,48300.0
2002-12-11,7.13,7.26,7.08,7.21,,189700.0
2002-12-12,7.28,7.51,7.22,7.47,,361400.0
2002-12-13,7.47,7.83,7.36,7.4,,615500.0
2002-12-16,7.48,7.65,7.43,7.44,,170900.0
2002-12-17,7.57,7.57,7.24,7.34,,95100.0
2002-12-18,7.34,7.39,7.1,7.25,,110800.0
2002-12-19,7.34,7.34,6.8,6.94,,233700.0
2002-12-20,6.96,7.29,6.9,7.12,,134900.0
2002-12-23,7.12,7.39,7.08,7.32,,65300.0
2002-12-24,7.4,7.57,7.25,7.35,,52300.0
2002-12-26,7.43,7.43,7.05,7.21,,16300.0
2002-12-27,7.23,7.23,7.04,7.07,,42500.0
