time,open,high,low,close,Volume,volume
2011-10-13,19.68,20.32,19.26,20.3,,396800.0
2011-10-14,20.4,21.34,20.4,21.23,,402600.0
2011-10-17,21.35,21.6,21.07,21.07,,583400.0
2011-10-18,20.98,21.23,20.85,21.13,,423500.0
2011-10-19,21.14,21.23,20.72,20.72,,722200.0
2011-10-20,20.76,20.96,20.37,20.72,,549700.0
2011-10-21,20.93,21.56,20.89,21.38,,1764500.0
2011-10-24,21.35,21.64,21.35,21.58,,371300.0
2011-10-25,21.67,21.84,20.93,21.56,,546800.0
2011-10-26,21.84,21.84,20.81,20.95,,657300.0
2011-10-27,21.14,21.73,21.14,21.45,,405400.0
2011-10-28,21.35,21.62,21.14,21.62,,584700.0
2011-10-31,21.98,22.39,21.14,22.39,,15106000.0
2011-11-01,21.43,23.68,21.06,22.87,,6095200.0
2011-11-02,22.94,22.94,21.59,22.29,,2476700.0
2011-11-03,22.56,22.67,22.09,22.1,,1615000.0
2011-11-04,21.91,22.26,20.83,21.09,,1923300.0
2011-11-07,20.86,21.33,20.4,20.6,,2703500.0
2011-11-08,21.02,21.22,20.73,20.88,,2024100.0
2011-11-09,20.39,20.93,19.96,20.0,,1570900.0
2011-11-10,20.5,20.69,19.69,19.8,,1166000.0
2011-11-11,19.99,20.17,19.79,19.92,,1266200.0
2011-11-14,19.83,20.26,19.75,20.12,,1339000.0
2011-11-15,20.13,20.49,20.03,20.17,,1657700.0
2011-11-16,20.14,20.68,19.99,20.28,,1804600.0
2011-11-17,20.18,20.34,19.89,20.05,,1279200.0
2011-11-18,20.08,20.3,19.94,20.12,,1426200.0
2011-11-21,19.93,20.02,19.62,19.86,,1282100.0
2011-11-22,21.04,21.98,19.06,19.87,,2126400.0
2011-11-23,19.57,19.97,19.24,19.91,,1009700.0
2011-11-25,19.72,19.72,19.24,19.34,,991100.0
2011-11-28,19.89,20.33,19.46,19.75,,1567300.0
2011-11-29,19.77,19.84,19.48,19.57,,1222400.0
2011-11-30,20.23,20.34,19.62,20.1,,2320800.0
2011-12-01,20.02,20.48,19.89,20.41,,1046700.0
2011-12-02,21.42,21.42,20.36,20.39,,1208900.0
2011-12-05,20.66,21.15,20.52,21.1,,930900.0
2011-12-06,21.04,21.08,20.61,20.88,,662800.0
2011-12-07,20.79,20.88,20.06,20.66,,951200.0
2011-12-08,20.56,20.64,20.01,20.08,,938700.0
2011-12-09,20.24,20.57,20.15,20.47,,549800.0
2011-12-12,20.14,20.34,19.54,20.11,,1213400.0
2011-12-13,20.2,20.56,19.94,20.05,,1652500.0
2011-12-14,19.84,19.84,19.28,19.68,,1736000.0
2011-12-15,19.8,20.23,19.71,20.11,,1074900.0
2011-12-16,20.3,20.97,20.19,20.74,,2925700.0
2011-12-19,20.74,20.9,20.3,20.39,,1107200.0
2011-12-20,20.68,20.79,20.15,20.44,,1190000.0
2011-12-21,20.56,21.05,20.2,20.95,,2177400.0
2011-12-22,21.08,21.57,20.85,20.88,,971100.0
2011-12-23,20.88,21.16,20.77,20.94,,575000.0
2011-12-27,20.89,21.06,20.57,21.06,,664400.0
2011-12-28,21.11,21.66,21.11,21.49,,917700.0
2011-12-29,21.58,22.25,21.44,21.82,,3975200.0
2011-12-30,21.85,21.85,21.13,21.6,,1169700.0
2012-01-03,21.88,22.22,21.08,21.14,,1059100.0
2012-01-04,21.08,21.92,20.89,21.84,,1391900.0
2012-01-05,21.68,21.7,20.91,21.53,,2270700.0
2012-01-06,21.47,21.54,21.12,21.16,,524400.0
2012-01-09,21.16,21.37,20.87,21.25,,558700.0
2012-01-10,21.41,21.61,21.23,21.51,,1048300.0
2012-01-11,21.41,22.08,21.35,21.91,,1066300.0
2012-01-12,21.93,21.98,21.59,21.61,,709300.0
2012-01-13,21.4,21.59,21.31,21.55,,886200.0
2012-01-17,21.78,22.1,21.52,21.55,,465400.0
2012-01-18,21.45,22.74,21.38,22.69,,1453700.0
2012-01-19,22.7,22.95,22.23,22.38,,838000.0
2012-01-20,22.38,22.43,22.11,22.16,,1014900.0
2012-01-23,22.24,22.37,21.49,21.65,,842800.0
2012-01-24,21.6,22.04,21.53,21.98,,761400.0
2012-01-25,21.9,22.39,21.71,22.37,,881800.0
2012-01-26,22.43,22.58,21.66,21.81,,850000.0
2012-01-27,21.53,21.84,21.53,21.7,,685900.0
2012-01-30,21.57,21.83,21.44,21.79,,475300.0
2012-01-31,21.95,22.07,21.57,21.79,,792700.0
2012-02-01,21.88,22.58,21.79,22.55,,816600.0
2012-02-02,22.58,22.69,22.38,22.41,,715200.0
2012-02-03,22.67,22.77,22.34,22.73,,719800.0
2012-02-06,22.62,22.8,22.4,22.52,,655100.0
2012-02-07,22.45,23.0,22.31,22.89,,963800.0
2012-02-08,22.84,23.03,22.53,23.03,,737900.0
2012-02-09,23.0,23.04,22.63,22.81,,721500.0
2012-02-10,22.67,22.81,22.56,22.76,,527300.0
2012-02-13,23.0,23.0,22.56,22.73,,638900.0
2012-02-14,22.62,22.88,22.55,22.63,,926400.0
2012-02-15,22.68,22.79,22.59,22.7,,1071300.0
2012-02-16,22.72,22.97,22.67,22.83,,639700.0
2012-02-17,22.92,23.23,22.85,23.2,,583500.0
2012-02-21,23.26,23.64,23.13,23.39,,753500.0
2012-02-22,23.26,23.59,23.11,23.15,,467500.0
2012-02-23,23.14,23.4,22.95,23.36,,335900.0
2012-02-24,23.45,23.49,22.9,22.92,,827900.0
2012-02-27,22.79,23.04,22.59,23.0,,1429000.0
2012-02-28,22.9,22.9,21.96,22.57,,3443900.0
2012-02-29,22.5,22.66,21.79,21.84,,4339600.0
2012-03-01,21.94,23.06,21.75,22.53,,1801400.0
2012-03-02,22.26,22.75,22.26,22.45,,1594900.0
2012-03-05,22.45,22.54,21.98,22.13,,1339800.0
2012-03-06,21.9,21.96,21.43,21.82,,1334200.0
2012-03-07,22.02,22.2,21.72,22.12,,933200.0
2012-03-08,22.2,22.54,21.91,22.47,,894800.0
2012-03-09,22.43,23.09,22.39,23.0,,719500.0
2012-03-12,23.11,23.32,23.01,23.24,,879800.0
2012-03-13,23.33,24.0,23.33,23.99,,861600.0
2012-03-14,23.98,24.04,23.8,23.94,,1183100.0
2012-03-15,23.96,24.34,23.68,24.25,,689200.0
2012-03-16,24.26,24.37,23.78,23.79,,903100.0
2012-03-19,23.81,24.05,23.53,23.58,,796500.0
2012-03-20,23.51,23.56,22.86,23.05,,993200.0
2012-03-21,23.04,23.26,23.0,23.07,,872000.0
2012-03-22,22.89,23.1,22.77,22.97,,665800.0
2012-03-23,23.1,23.1,22.84,22.96,,519500.0
2012-03-26,23.1,23.51,23.1,23.51,,642100.0
2012-03-27,23.56,23.65,23.3,23.62,,601000.0
2012-03-28,23.6,23.73,23.24,23.6,,918000.0
2012-03-29,23.47,23.47,23.0,23.35,,855500.0
2012-03-30,23.49,23.51,23.13,23.42,,1310900.0
2012-04-02,23.39,23.93,23.38,23.9,,817100.0
2012-04-03,23.91,24.09,23.57,23.84,,1034300.0
2012-04-04,23.56,23.58,23.28,23.46,,1070400.0
2012-04-05,23.42,23.83,23.42,23.61,,477500.0
2012-04-09,23.19,23.25,22.96,23.09,,495500.0
2012-04-10,22.99,23.08,22.43,22.74,,909900.0
2012-04-11,22.95,23.04,22.64,22.79,,810200.0
2012-04-12,22.71,23.12,22.68,23.06,,646500.0
2012-04-13,22.87,22.97,22.61,22.64,,492700.0
2012-04-16,22.88,23.04,22.37,22.7,,850400.0
2012-04-17,23.03,23.05,22.66,22.96,,540600.0
2012-04-18,22.89,23.4,22.82,23.34,,1118700.0
2012-04-19,23.3,23.61,22.7,22.87,,1061300.0
2012-04-20,22.94,23.33,22.85,23.09,,807500.0
2012-04-23,22.84,22.84,22.38,22.7,,556500.0
2012-04-24,22.75,23.21,22.71,22.87,,518100.0
2012-04-25,23.08,23.47,23.08,23.38,,569600.0
2012-04-26,23.33,23.72,23.32,23.72,,459100.0
2012-04-27,23.75,24.07,23.75,23.95,,642700.0
2012-04-30,23.9,23.9,23.47,23.53,,364000.0
2012-05-01,23.56,23.9,23.28,23.35,,638900.0
2012-05-02,23.17,23.59,23.13,23.43,,835000.0
2012-05-03,23.37,23.4,22.83,23.04,,990000.0
2012-05-04,23.04,23.04,22.32,22.32,,870000.0
2012-05-07,22.27,22.48,22.05,22.12,,995000.0
2012-05-08,22.03,22.32,21.65,22.25,,925900.0
2012-05-09,21.87,22.27,21.62,22.05,,923400.0
2012-05-10,22.2,22.42,21.99,22.06,,701500.0
2012-05-11,21.94,22.34,21.88,21.97,,625800.0
2012-05-14,21.8,21.99,21.46,21.46,,567200.0
2012-05-15,21.42,21.58,21.24,21.28,,565500.0
2012-05-16,21.46,21.74,21.35,21.41,,1045000.0
2012-05-17,21.48,21.49,20.7,20.7,,1455900.0
2012-05-18,20.7,21.08,20.7,20.91,,994800.0
2012-05-21,21.0,21.62,20.93,21.48,,1096700.0
2012-05-22,21.59,21.91,21.5,21.69,,957900.0
2012-05-23,21.49,21.86,21.04,21.86,,1252500.0
2012-05-24,21.98,22.15,21.84,22.15,,528800.0
2012-05-25,22.2,22.3,21.7,21.74,,677719.0
2012-05-29,21.86,22.32,21.81,21.94,,800997.0
2012-05-30,21.58,21.9,21.42,21.57,,591900.0
2012-05-31,21.65,21.65,21.16,21.47,,1021600.0
2012-06-01,20.94,21.21,20.72,20.75,,1379300.0
2012-06-04,20.75,20.81,20.37,20.77,,643400.0
2012-06-05,20.66,20.9,20.29,20.83,,499600.0
2012-06-06,21.09,21.6,21.09,21.6,,553800.0
2012-06-07,22.57,22.57,21.69,21.81,,802100.0
2012-06-08,21.79,22.11,21.46,21.97,,862300.0
2012-06-11,22.28,22.31,21.57,21.62,,816100.0
2012-06-12,21.61,21.76,21.48,21.68,,1222700.0
2012-06-13,21.48,21.61,21.25,21.33,,891300.0
2012-06-14,21.37,21.4,21.12,21.19,,1478400.0
2012-06-15,21.31,21.55,21.12,21.46,,3023700.0
2012-06-18,21.37,21.43,21.14,21.3,,860500.0
2012-06-19,21.4,21.7,21.23,21.26,,1441400.0
2012-06-20,21.21,21.23,20.76,20.95,,1123100.0
2012-06-21,21.33,21.57,20.57,20.58,,1418600.0
2012-06-22,20.67,20.67,20.25,20.36,,1268800.0
2012-06-25,20.09,20.16,19.67,20.01,,1097600.0
2012-06-26,20.02,20.4,19.9,20.27,,1163900.0
2012-06-27,20.36,20.64,20.21,20.59,,1045100.0
2012-06-28,20.0,20.86,19.51,20.84,,1942900.0
