index,time,open,high,low,close,Volume,volume,rsi,ema20,ma50,ma100,ma200,trendline,duration_from_date1,duration_from_date2,distance,breakthrough
236,2021-11-17,207.0,212.58,198.4,199.11,,6383375.0,63.1356,188.702,174.9836,161.3782,166.3956,212.58,194,0,6.77,False
237,2021-11-18,199.34,205.0,196.0,204.33,,4601086.0,66.3922,190.1904,175.7502,161.9607,166.4382,212.54,195,1,4.02,False
238,2021-11-19,196.6,199.36,190.5,196.42,,8185488.0,58.0271,190.7837,176.3746,162.3935,166.4438,212.51,196,2,8.19,False
239,2021-11-22,190.44,190.76,176.72,181.73,,12626362.0,46.3479,189.9214,176.8028,162.68,166.3503,212.47,197,3,16.92,False
240,2021-11-23,181.14,183.73,175.25,178.27,,6456729.0,44.0967,188.8118,177.1022,162.9604,166.2422,212.43,198,4,19.16,False
241,2021-11-24,175.63,182.78,175.0,179.89,,4763328.0,45.4331,187.9621,177.3726,163.2756,166.0834,212.39,199,5,18.07,False
242,2021-11-26,167.76,174.64,167.04,173.86,,6044126.0,41.46,186.619,177.4868,163.577,165.8685,212.36,200,6,22.14,False
243,2021-11-29,176.88,180.7,175.9,180.08,,5317368.0,46.6433,185.9963,177.7566,163.9525,165.7055,212.32,201,7,17.9,False
244,2021-11-30,176.41,180.64,170.92,172.54,,10682739.0,41.8105,184.7147,177.9746,164.1815,165.5189,212.28,202,8,23.03,False
245,2021-12-01,174.01,180.13,162.03,163.08,,7657589.0,36.676,182.6543,177.8504,164.3454,165.3245,212.24,203,9,30.14,False
246,2021-12-02,161.36,170.29,160.49,169.6,,5687601.0,41.9657,181.411,177.8432,164.6073,165.1823,212.21,204,10,25.12,False
247,2021-12-03,168.98,170.73,162.14,166.75,,6460855.0,40.378,180.0147,177.6756,164.8839,165.0107,212.17,205,11,27.24,False
248,2021-12-06,167.28,181.93,162.85,180.85,,9813848.0,50.3805,180.0943,177.775,165.3174,164.9382,212.13,206,12,17.3,False
249,2021-12-07,185.61,187.5,182.02,183.14,,6264558.0,51.795,180.3843,177.9526,165.8057,164.916,212.1,207,13,15.81,False
250,2021-12-08,186.0,187.5,182.14,186.49,,4218671.0,53.8668,180.9658,178.3108,166.3518,164.8474,212.06,208,14,13.71,False
251,2021-12-09,182.09,185.3,179.28,181.46,,3518025.0,50.3665,181.0129,178.5786,166.8055,164.8444,212.02,209,15,16.84,False
252,2021-12-10,178.15,181.1,175.85,180.42,,3980441.0,49.6481,180.9564,178.832,167.2172,164.7148,211.98,210,16,17.49,False
253,2021-12-13,178.25,180.0,168.89,171.04,,7263664.0,43.6071,180.012,178.7926,167.5329,164.5879,211.95,211,17,23.92,False
254,2021-12-14,168.3,169.91,164.5,167.96,,5660417.0,41.8082,178.8642,178.8618,167.8252,164.4782,211.91,212,18,26.17,False
255,2021-12-15,167.64,168.96,160.18,168.14,,6678543.0,41.9589,177.8428,178.9298,168.0866,164.4169,211.87,213,19,26.01,False
256,2021-12-16,166.25,167.73,153.6,156.38,,9415120.0,35.4923,175.7988,178.7124,168.2346,164.2976,211.84,214,20,35.46,False
257,2021-12-17,154.62,158.31,149.44,157.91,,24062440.0,36.8558,174.0951,178.4786,168.3807,164.1881,211.8,215,21,34.13,False
258,2021-12-20,151.16,158.48,151.0,157.23,,4639263.0,36.4866,172.4889,178.2238,168.5183,164.0702,211.76,216,22,34.68,False
259,2021-12-21,159.5,167.28,158.37,165.66,,6293459.0,43.9776,171.8385,178.2036,168.7348,163.983,211.72,217,23,27.8,False
260,2021-12-22,165.68,170.68,162.8,169.29,,4802483.0,46.8828,171.5958,178.1344,168.9728,163.9105,211.69,218,24,25.05,False
261,2021-12-23,170.5,171.99,166.89,171.31,,4017435.0,48.4838,171.5686,178.089,169.2294,163.7777,211.65,219,25,23.55,False
262,2021-12-27,169.81,172.43,168.78,171.68,,2726288.0,48.7883,171.5792,178.1126,169.4722,163.6024,211.61,220,26,23.26,False
263,2021-12-28,171.32,172.73,167.73,169.71,,2297204.0,47.1891,171.4012,178.1232,169.6661,163.401,211.58,221,27,24.67,False
264,2021-12-29,169.52,170.48,165.02,167.44,,1995405.0,45.3447,171.0239,178.0256,169.8406,163.2381,211.54,222,28,26.34,False
265,2021-12-30,167.06,170.85,165.71,168.78,,2181120.0,46.6698,170.8102,177.9864,170.034,163.0752,211.5,223,29,25.31,False
266,2021-12-31,168.78,170.87,166.08,166.49,,2591090.0,44.6763,170.3988,177.921,170.2194,162.9504,211.46,224,30,27.01,False
267,2022-01-03,165.3,172.84,165.22,172.68,,4241965.0,50.7946,170.616,177.9646,170.4646,162.8419,211.43,225,31,22.44,False
268,2022-01-04,174.15,175.9,167.2,170.8,,4079976.0,49.0214,170.6335,178.0478,170.6611,162.7209,211.39,226,32,23.76,False
269,2022-01-05,169.88,175.11,162.24,162.25,,4804571.0,41.8638,169.8351,177.908,170.756,162.5964,211.35,227,33,30.26,False
270,2022-01-06,160.29,163.73,156.34,159.75,,5049594.0,40.0236,168.8746,177.6802,170.8678,162.5009,211.32,228,34,32.28,False
271,2022-01-07,159.18,166.88,158.46,166.05,,5624579.0,46.4157,168.6056,177.6192,171.0893,162.4504,211.28,229,35,27.24,False
272,2022-01-10,159.76,161.7,152.1,160.71,,6973588.0,42.3005,167.8536,177.3994,171.229,162.3819,211.24,230,36,31.44,False
273,2022-01-11,160.71,169.39,159.08,168.61,,5321334.0,49.442,167.9257,177.3584,171.4886,162.3125,211.2,231,37,25.26,False
274,2022-01-12,170.24,171.04,165.11,169.54,,3534275.0,50.223,168.0794,177.2572,171.747,162.2447,211.17,232,38,24.55,False
275,2022-01-13,170.23,171.99,165.76,166.0,,4893757.0,47.2319,167.8814,177.1198,171.9391,162.135,211.13,233,39,27.19,False
276,2022-01-14,165.75,167.63,160.24,163.99,,4144039.0,45.5723,167.5108,176.9422,171.9648,162.0137,211.09,234,40,28.72,False
277,2022-01-18,156.91,160.79,153.87,154.69,,5768963.0,38.7821,166.2898,176.467,171.9082,161.8537,211.06,235,41,36.44,False
278,2022-01-19,157.0,160.23,154.44,154.58,,5078626.0,38.7086,165.1745,175.5262,171.9267,161.6765,211.02,236,42,36.51,False
279,2022-01-20,157.81,165.2,157.35,158.0,,4941879.0,42.3643,164.4912,174.6798,171.9649,161.5668,210.98,237,43,33.53,False
280,2022-01-21,156.81,160.2,152.41,156.73,,7242250.0,41.3773,163.7521,173.9208,171.972,161.4495,210.95,238,44,34.59,False
281,2022-01-24,150.0,151.16,135.76,147.9,,14627354.0,35.2318,162.2424,173.0344,171.9011,161.2915,210.91,239,45,42.6,False
282,2022-01-25,143.9,147.38,140.13,144.56,,5704888.0,33.2218,160.5583,172.0934,171.7808,161.1319,210.87,240,46,45.87,False
283,2022-01-26,149.28,152.4,140.04,142.14,,6990314.0,31.8059,158.8042,170.8054,171.6302,160.9528,210.83,241,47,48.33,False
284,2022-01-27,143.48,145.55,137.92,138.41,,4493776.0,29.7046,156.8619,169.4294,171.4343,160.7627,210.8,242,48,52.3,False
285,2022-01-28,138.54,143.11,134.37,142.77,,5604415.0,35.102,155.5198,168.144,171.212,160.5998,210.76,243,49,47.62,False
286,2022-01-31,144.8,153.97,143.81,153.97,,5463016.0,46.4718,155.3722,167.2412,171.1124,160.4762,210.72,244,50,36.86,False
287,2022-02-01,155.35,157.39,152.5,156.94,,3799303.0,49.0224,155.5215,166.2934,171.0218,160.388,210.69,245,51,34.25,False
288,2022-02-02,156.31,156.51,150.71,151.76,,3678315.0,44.9954,155.1633,165.4002,170.8874,160.299,210.65,246,52,38.8,False
289,2022-02-03,147.97,152.18,146.68,149.57,,4577057.0,43.3733,154.6306,164.757,170.7799,160.2115,210.61,247,53,40.81,False
