index,time,open,high,low,close,Volume,volume,rsi,ema20,ma50,ma100,ma200,trendline,duration_from_date1,duration_from_date2,distance,breakthrough
6294,2024-11-06,121.0,121.0,115.5,116.8,,5256141.0,54.2186,115.8723,114.84,110.34,109.6404,121.0,720,0,3.6,False
6295,2024-11-07,117.49,117.49,114.54,115.3,,5518982.0,49.2747,115.8178,114.8987,110.4689,109.6714,120.98,721,1,4.93,False
6296,2024-11-08,115.33,117.25,114.69,116.59,,5685893.0,53.2249,115.8913,114.9859,110.6053,109.7005,120.96,722,2,3.75,False
6297,2024-11-11,116.94,117.84,116.33,116.8,,5301202.0,53.8549,115.9779,115.0672,110.7183,109.7328,120.95,723,3,3.55,False
6298,2024-11-12,116.68,117.3,116.42,116.44,,4598917.0,52.5483,116.0219,115.1136,110.836,109.7563,120.93,724,4,3.86,False
6299,2024-11-13,116.08,116.81,115.55,115.74,,4760798.0,50.0077,115.9951,115.1512,110.951,109.776,120.91,725,5,4.47,False
6300,2024-11-14,115.98,116.09,114.93,115.03,,3812280.0,47.4992,115.9031,115.2005,111.0569,109.7939,120.89,726,6,5.09,False
6301,2024-11-15,114.87,116.35,114.43,115.9,,6898605.0,50.7587,115.9028,115.252,111.1776,109.8095,120.87,727,7,4.29,False
6302,2024-11-18,115.58,117.94,115.51,117.36,,6086577.0,55.7263,116.0416,115.2816,111.3152,109.8442,120.85,728,8,2.97,False
6303,2024-11-19,116.54,117.55,115.45,117.13,,4542921.0,54.7886,116.1453,115.2931,111.4578,109.8799,120.84,729,9,3.17,False
6304,2024-11-20,116.69,116.77,115.53,115.93,,5624453.0,50.056,116.1248,115.2907,111.5954,109.8981,120.82,730,10,4.22,False
6305,2024-11-21,115.68,117.64,115.14,117.26,,5562006.0,54.724,116.2329,115.3103,111.7463,109.9264,120.8,731,11,3.02,False
6306,2024-11-22,117.22,118.0,116.38,117.76,,5349775.0,56.3748,116.3783,115.3485,111.9109,109.9614,120.78,732,12,2.56,False
6307,2024-11-25,118.28,118.65,117.58,118.13,,6879339.0,57.6066,116.5452,115.3696,112.0624,110.0014,120.76,733,13,2.23,False
6308,2024-11-26,118.64,119.0,117.01,117.96,,4056817.0,56.8129,116.6799,115.3773,112.231,110.037,120.75,734,14,2.37,False
6309,2024-11-27,118.35,120.53,118.1,118.95,,3510309.0,60.2479,116.8961,115.4695,112.4143,110.0833,120.73,735,15,1.5,False
6310,2024-11-29,118.71,119.19,117.86,118.77,,2523194.0,59.324,117.0746,115.5727,112.5818,110.1253,120.71,736,16,1.63,False
6311,2024-12-02,118.75,118.81,116.59,116.81,,5339311.0,50.2818,117.0494,115.6456,112.7185,110.1496,120.69,737,17,3.32,False
6312,2024-12-03,117.1,117.44,116.07,116.29,,4794886.0,48.1835,116.977,115.6861,112.8496,110.1696,120.67,738,18,3.77,False
6313,2024-12-04,117.01,117.01,115.29,115.97,,3557185.0,46.8868,116.8811,115.7494,112.9846,110.175,120.66,739,19,4.04,False
6314,2024-12-05,115.26,116.29,114.89,115.59,,3269799.0,45.3268,116.7582,115.8196,113.1181,110.1724,120.64,740,20,4.37,False
6315,2024-12-06,115.13,116.2,115.1,115.6,,5300680.0,45.3783,116.6479,115.8876,113.2323,110.1642,120.62,741,21,4.34,False
6316,2024-12-09,115.67,115.87,113.85,114.9,,4868047.0,42.3695,116.4814,115.9476,113.3853,110.1503,120.6,742,22,4.96,False
6317,2024-12-10,115.08,116.39,114.27,115.5,,4072098.0,45.6933,116.3879,115.9882,113.5248,110.1433,120.58,743,23,4.4,False
6318,2024-12-11,115.31,115.58,114.01,114.14,,4748085.0,40.0543,116.1739,116.0105,113.6339,110.1259,120.57,744,24,5.63,False
6319,2024-12-12,114.4,114.78,113.3,113.86,,3764687.0,38.9875,115.9535,116.0256,113.7382,110.1039,120.55,745,25,5.88,False
6320,2024-12-13,113.85,114.29,112.14,113.38,,4550900.0,37.1603,115.7084,116.0592,113.8045,110.0865,120.53,746,26,6.31,False
6321,2024-12-16,112.7,113.65,112.39,112.62,,5047226.0,34.4105,115.4143,116.0694,113.8761,110.0654,120.51,747,27,7.01,False
6322,2024-12-17,112.21,113.84,112.2,113.29,,5805786.0,38.7159,115.2119,116.0787,113.9615,110.0406,120.49,748,28,6.36,False
6323,2024-12-18,113.03,114.15,111.85,111.93,,6454872.0,33.8576,114.8994,116.0355,114.0381,110.0167,120.48,749,29,7.64,False
6324,2024-12-19,111.54,113.3,111.28,112.42,,7738661.0,36.9285,114.6632,115.9759,114.114,109.9911,120.46,750,30,7.15,False
6325,2024-12-20,112.64,115.11,112.52,114.23,,12311927.0,46.7615,114.622,115.959,114.2019,109.9667,120.44,751,31,5.44,False
6326,2024-12-23,114.0,114.51,112.96,114.31,,4028231.0,47.1537,114.5923,115.9337,114.2487,109.9425,120.42,752,32,5.35,False
6327,2024-12-24,114.14,114.83,113.59,114.76,,1479984.0,49.4111,114.6082,115.895,114.2885,109.9243,120.4,753,33,4.91,False
6328,2024-12-26,114.2,115.81,113.82,115.27,,2960675.0,51.9178,114.6713,115.8794,114.36,109.9059,120.38,754,34,4.43,False
6329,2024-12-27,115.01,115.95,114.51,114.99,,2829920.0,50.4401,114.7016,115.8228,114.4201,109.8891,120.37,755,35,4.68,False
6330,2024-12-30,114.13,114.64,112.52,112.8,,3476031.0,40.6856,114.5205,115.721,114.4539,109.8677,120.35,756,36,6.69,False
