index,time,open,high,low,close,Volume,volume,rsi,ema20,ma50,ma100,ma200,trendline,duration_from_date1,duration_from_date2,distance,breakthrough
6309,2024-11-27,99.6,100.72,99.6,99.89,,1558665.0,60.497,97.3079,98.1269,97.4751,90.7599,100.72,52,0,0.83,False
6310,2024-11-29,99.93,100.28,99.3,99.86,,1260574.0,60.3472,97.551,98.1087,97.6075,90.8761,100.65,53,1,0.79,False
6311,2024-12-02,99.96,100.0,97.73,98.22,,2188262.0,52.6678,97.6147,98.0496,97.698,90.9717,100.59,54,2,2.41,False
6312,2024-12-03,98.9,98.9,97.01,97.02,,1917910.0,47.8679,97.5581,97.959,97.7754,91.0614,100.52,55,3,3.61,False
6313,2024-12-04,97.24,97.34,95.88,96.25,,2832293.0,45.0319,97.4335,97.8752,97.8452,91.1495,100.46,56,4,4.37,False
6314,2024-12-05,96.35,97.98,96.21,97.45,,2234706.0,50.0033,97.4351,97.8205,97.9181,91.2354,100.39,57,5,3.02,False
6315,2024-12-06,97.18,97.43,95.66,95.85,,2677482.0,44.256,97.2841,97.742,97.9586,91.3161,100.33,58,6,4.67,False
6316,2024-12-09,95.85,96.86,95.3,95.58,,2651122.0,43.3505,97.1218,97.6362,97.9967,91.3932,100.26,59,7,4.9,False
6317,2024-12-10,95.58,95.58,93.59,95.1,,2045457.0,41.7164,96.9293,97.5059,98.0335,91.4761,100.2,60,8,5.36,False
6318,2024-12-11,95.21,95.21,93.23,93.63,,2925563.0,37.1036,96.615,97.3536,98.0437,91.5356,100.13,61,9,6.94,False
6319,2024-12-12,93.3,94.2,92.8,92.85,,1983938.0,34.8985,96.2565,97.1938,98.053,91.5948,100.07,62,10,7.78,False
6320,2024-12-13,92.56,93.38,92.17,92.71,,1810496.0,34.5022,95.9187,97.04,98.0474,91.6443,100.0,63,11,7.86,False
6321,2024-12-16,92.71,92.86,91.7,91.77,,2410693.0,31.8838,95.5236,96.889,98.0243,91.69,99.94,64,12,8.9,False
6322,2024-12-17,91.47,93.04,91.29,91.92,,2749285.0,32.7607,95.1804,96.7849,97.9968,91.7367,99.88,65,13,8.66,False
6323,2024-12-18,91.83,92.25,90.86,90.91,,3451294.0,29.9636,94.7737,96.6579,97.9531,91.7827,99.81,66,14,9.79,False
6324,2024-12-19,90.55,92.03,90.42,91.24,,3148135.0,32.0063,94.4371,96.547,97.9021,91.8309,99.75,67,15,9.33,False
6325,2024-12-20,91.84,93.07,91.22,92.75,,6781854.0,40.5505,94.2765,96.4761,97.8665,91.8859,99.68,68,16,7.47,False
6326,2024-12-23,92.47,92.98,91.59,92.86,,2282491.0,41.1309,94.1416,96.3871,97.8013,91.9426,99.62,69,17,7.28,False
6327,2024-12-24,92.55,93.11,92.25,92.37,,1404390.0,39.2909,93.9728,96.2776,97.7259,91.9975,99.55,70,18,7.77,False
6328,2024-12-26,92.05,92.56,91.8,92.06,,2066494.0,38.1287,93.7907,96.1446,97.6839,92.0524,99.49,71,19,8.07,False
6329,2024-12-27,91.62,92.66,91.31,92.51,,1722698.0,40.8631,93.6687,95.9878,97.6442,92.1115,99.42,72,20,7.47,False
6330,2024-12-30,92.59,92.64,91.23,92.06,,1661240.0,39.0066,93.5155,95.8301,97.5875,92.1739,99.36,73,21,7.93,False
