index,time,open,high,low,close,Volume,volume,rsi,ema20,ma50,ma100,ma200,trendline,duration_from_date1,duration_from_date2,distance,breakthrough
6310,2024-11-29,207.88,208.72,207.03,207.39,,698700.0,69.7991,198.3941,191.8509,184.3935,173.3822,208.72,1,0,0.64,False
6311,2024-12-02,207.81,208.31,204.26,204.39,,1283012.0,62.8724,198.9651,192.1356,184.832,173.6113,208.49,2,1,2.01,False
6312,2024-12-03,205.28,205.51,202.59,203.4,,1277300.0,60.7305,199.3875,192.3628,185.2442,173.8359,208.26,3,2,2.39,False
6313,2024-12-04,203.18,205.83,202.04,204.95,,1360949.0,62.8636,199.9173,192.6424,185.64,174.0784,208.03,4,3,1.5,False
6314,2024-12-05,205.75,206.89,204.11,204.23,,1165058.0,61.2006,200.328,192.9438,186.0197,174.32,207.8,5,4,1.75,False
6315,2024-12-06,203.28,204.89,201.53,203.64,,1050717.0,59.8045,200.6434,193.2594,186.3649,174.5536,207.57,6,5,1.93,False
6316,2024-12-09,202.71,204.42,198.9,199.04,,2307275.0,50.1908,200.4907,193.4897,186.6047,174.7695,207.35,7,6,4.18,False
6317,2024-12-10,199.45,199.69,194.8,195.06,,1667322.0,43.6523,199.9735,193.6146,186.8277,174.9621,207.12,8,7,6.18,False
6318,2024-12-11,195.11,196.07,191.14,193.3,,1541718.0,41.1024,199.3379,193.6998,187.0285,175.1472,206.89,9,8,7.03,False
6319,2024-12-12,194.52,195.13,191.94,192.3,,1113020.0,39.684,198.6677,193.7582,187.2316,175.3222,206.66,10,9,7.47,False
6320,2024-12-13,193.82,197.69,193.63,196.26,,1802975.0,47.4219,198.4384,193.9432,187.4867,175.5222,206.43,11,10,5.18,False
6321,2024-12-16,197.01,198.6,194.88,195.02,,1409105.0,45.4555,198.1128,194.049,187.7982,175.7329,206.21,12,11,5.74,False
6322,2024-12-17,194.16,194.51,191.63,193.4,,1324362.0,42.9496,197.664,194.308,188.0561,175.9295,205.98,13,12,6.5,False
6323,2024-12-18,192.49,193.69,189.09,189.25,,1378417.0,37.28,196.8626,194.4518,188.2719,176.1034,205.75,14,13,8.72,False
6324,2024-12-19,189.66,192.13,188.38,189.79,,1478508.0,38.4191,196.189,194.5657,188.45,176.2786,205.53,15,14,8.29,False
6325,2024-12-20,188.43,194.92,187.41,193.56,,2351782.0,45.8178,195.9387,194.7375,188.6902,176.4747,205.3,16,15,6.07,False
6326,2024-12-23,192.55,193.84,191.7,193.63,,1336149.0,45.9477,195.7188,194.8612,188.8691,176.6698,205.07,17,16,5.91,False
6327,2024-12-24,193.87,195.82,192.92,195.52,,453220.0,49.4691,195.6999,194.9778,189.0724,176.8594,204.85,18,17,4.77,False
6328,2024-12-26,195.46,195.92,194.52,195.62,,563305.0,49.656,195.6923,195.047,189.354,177.0512,204.62,19,18,4.6,False
6329,2024-12-27,194.16,195.79,192.59,193.8,,1094410.0,46.2998,195.512,195.0273,189.6098,177.2315,204.4,20,19,5.47,False
6330,2024-12-30,192.85,193.13,189.76,192.55,,1041705.0,44.0953,195.2299,194.9854,189.8444,177.409,204.17,21,20,6.03,False
