index,time,open,high,low,close,Volume,volume,rsi,ema20,ma50,ma100,ma200,trendline,duration_from_date1,duration_from_date2,distance,breakthrough
6274,2024-10-09,174.05,174.05,169.55,171.02,,33890735.0,65.6003,161.4332,149.9182,156.0953,162.0799,174.05,148,0,1.77,False
6275,2024-10-10,169.76,172.01,162.0,164.18,,75113590.0,55.6057,161.6948,150.3122,156.0924,162.2028,173.74,149,1,5.82,False
6276,2024-10-11,164.19,169.35,163.01,167.89,,42136175.0,59.2337,162.2849,151.0192,156.108,162.3252,173.42,150,2,3.29,False
6277,2024-10-14,167.77,168.9,165.15,165.27,,31757205.0,55.7676,162.5692,151.6746,156.1141,162.4212,173.11,151,3,4.74,False
6278,2024-10-15,163.21,164.13,155.74,156.64,,50768024.0,46.1818,162.0045,152.111,156.0253,162.4606,172.8,152,4,10.32,False
6279,2024-10-16,158.07,158.28,154.92,156.13,,30575773.0,45.6821,161.445,152.63,155.9823,162.5042,172.49,153,5,10.48,False
6280,2024-10-17,160.0,160.44,156.2,156.25,,29491853.0,45.8306,160.9502,153.1816,155.8812,162.5926,172.18,154,6,10.2,False
6281,2024-10-18,157.41,158.01,155.56,155.97,,23822985.0,45.5178,160.4759,153.5746,155.7248,162.6958,171.87,155,7,10.19,False
6282,2024-10-21,155.76,158.0,154.15,157.9,,25781212.0,48.1447,160.2306,154.0472,155.6524,162.8053,171.56,156,8,8.65,False
6283,2024-10-22,156.6,156.74,151.91,154.09,,34997352.0,43.6686,159.6458,154.3936,155.5258,162.8828,171.25,157,9,11.14,False
6284,2024-10-23,153.0,153.44,150.52,152.91,,26095933.0,42.3551,159.0043,154.6292,155.3859,162.9165,170.94,158,10,11.79,False
6285,2024-10-24,154.74,155.19,152.35,153.44,,22877016.0,43.1817,158.4743,154.883,155.2848,162.9374,170.63,159,11,11.2,False
6286,2024-10-25,155.4,158.91,155.05,156.23,,29758489.0,47.4534,158.2606,155.0604,155.2472,162.9758,170.32,160,12,9.02,False
6287,2024-10-28,158.5,160.28,157.04,159.92,,36010134.0,52.536,158.4186,155.2876,155.1847,163.0353,170.02,161,13,6.32,False
6288,2024-10-29,161.1,167.51,158.94,166.25,,71896038.0,59.7315,159.1645,155.507,155.1794,163.1338,169.71,162,14,2.08,False
