index,time,open,high,low,close,Volume,volume,rsi,ema20,ma50,ma100,ma200,trendline,duration_from_date1,duration_from_date2,distance,breakthrough
6314,2024-12-05,194.72,195.86,193.45,193.68,,1390822.0,61.9557,191.6539,180.2036,173.0864,173.3354,195.86,7,0,1.13,False
6315,2024-12-06,193.72,195.38,191.14,191.54,,995677.0,55.3226,191.643,180.6,173.257,173.4077,195.55,8,1,2.09,False
6316,2024-12-09,191.4,192.61,189.51,189.89,,1027948.0,50.8,191.4761,180.9614,173.4439,173.4718,195.24,9,2,2.82,False
6317,2024-12-10,190.01,190.83,187.63,188.6,,1044260.0,47.5287,191.2021,181.3042,173.6436,173.526,194.93,10,3,3.36,False
6318,2024-12-11,190.42,190.97,188.25,188.66,,662572.0,47.6974,190.96,181.7004,173.8059,173.5861,194.63,11,4,3.16,False
6319,2024-12-12,189.02,189.92,188.25,188.45,,774316.0,47.1262,190.721,182.1103,173.9771,173.6404,194.32,12,5,3.11,False
6320,2024-12-13,188.8,189.6,187.2,187.38,,827104.0,44.2208,190.4028,182.4808,174.1866,173.682,194.01,13,6,3.54,False
6321,2024-12-16,190.46,191.06,189.07,189.38,,1122445.0,50.3789,190.3054,182.8712,174.4004,173.7313,193.7,14,7,2.28,False
6322,2024-12-17,189.78,190.44,186.32,186.71,,1217235.0,43.4779,189.963,183.2794,174.5502,173.765,193.4,15,8,3.58,False
6323,2024-12-18,187.28,187.76,180.63,180.76,,962569.0,32.7212,189.0865,183.5611,174.6441,173.7772,193.09,16,9,6.82,False
6324,2024-12-19,182.36,183.05,181.04,182.11,,1423396.0,36.5565,188.4221,183.8318,174.7471,173.7917,192.79,17,10,5.86,False
6325,2024-12-20,182.12,184.44,181.39,183.36,,2334762.0,39.9689,187.94,184.126,174.8513,173.8049,192.48,18,11,4.97,False
6326,2024-12-23,182.58,183.13,181.77,182.07,,915466.0,37.7144,187.3809,184.3645,175.0857,173.8124,192.18,19,12,5.55,False
6327,2024-12-24,181.77,184.05,181.15,184.05,,348917.0,43.0264,187.0637,184.6192,175.4035,173.8327,191.87,20,13,4.25,False
6328,2024-12-26,183.51,184.32,182.8,183.72,,594611.0,42.3777,186.7452,184.9109,175.6987,173.8465,191.57,21,14,4.27,False
6329,2024-12-27,182.48,183.84,181.44,182.45,,523956.0,39.8855,186.3362,185.1707,175.9583,173.8555,191.27,22,15,4.83,False
6330,2024-12-30,180.8,181.5,179.26,180.74,,601752.0,36.7514,185.8032,185.3968,176.2023,173.8554,190.97,23,16,5.66,False
