index,time,open,high,low,close,Volume,volume,rsi,ema20,ma50,ma100,ma200,trendline,duration_from_date1,duration_from_date2,distance,breakthrough
6266,2024-09-27,89.56,91.65,89.42,90.18,,1631341.0,74.3363,83.2987,81.7073,82.4943,82.2842,91.65,50,0,1.63,False
6267,2024-09-30,90.19,90.43,89.08,89.43,,1065824.0,70.8193,83.8822,81.7505,82.5434,82.3402,91.65,51,1,2.48,False
6268,2024-10-01,89.55,89.74,87.83,88.54,,847551.0,66.8317,84.3257,81.7597,82.58,82.3916,91.65,52,2,3.51,False
6269,2024-10-02,88.02,88.14,86.74,87.63,,981910.0,62.93,84.6407,81.9162,82.5996,82.4333,91.65,53,3,4.59,False
6270,2024-10-03,87.25,87.62,86.17,87.12,,886082.0,60.7475,84.8764,82.0567,82.6141,82.4792,91.65,54,4,5.2,False
6271,2024-10-04,87.68,87.74,86.35,87.01,,653661.0,60.2713,85.0792,82.1667,82.6306,82.5236,91.65,55,5,5.33,False
6272,2024-10-07,86.49,88.01,85.9,87.75,,629945.0,62.4335,85.3338,82.2457,82.6513,82.5643,91.65,56,6,4.44,False
6273,2024-10-08,87.35,87.47,85.54,86.06,,1536752.0,55.1118,85.403,82.2908,82.6513,82.5998,91.65,57,7,6.5,False
6274,2024-10-09,86.59,87.48,86.46,87.28,,635455.0,58.8701,85.5823,82.3416,82.6776,82.6349,91.65,58,8,5.01,False
6275,2024-10-10,86.61,86.99,85.77,85.87,,808410.0,53.3198,85.6098,82.3659,82.6866,82.6622,91.64,59,9,6.72,False
6276,2024-10-11,79.98,82.83,79.14,80.51,,2379229.0,38.487,85.1237,82.3327,82.6406,82.662,91.64,60,10,13.82,False
6277,2024-10-14,80.66,82.34,80.29,82.25,,1345450.0,43.9398,84.8498,82.337,82.6127,82.669,91.64,61,11,11.42,False
6278,2024-10-15,82.13,82.63,80.54,80.59,,1379175.0,40.2711,84.4436,82.3231,82.5749,82.6672,91.64,62,12,13.71,False
6279,2024-10-16,80.99,81.55,79.84,79.87,,1158070.0,38.7682,84.0079,82.2946,82.5398,82.6609,91.64,63,13,14.74,False
6280,2024-10-17,79.51,79.87,77.87,78.4,,1772852.0,35.8098,83.4733,82.2644,82.4829,82.6522,91.64,64,14,16.89,False
6281,2024-10-18,78.64,78.81,77.93,78.4,,1032245.0,35.8098,82.9897,82.2297,82.4483,82.6569,91.64,65,15,16.89,False
6282,2024-10-21,78.47,79.24,77.76,78.25,,1196640.0,35.4915,82.5379,82.1965,82.4263,82.6576,91.64,66,16,17.11,False
6283,2024-10-22,79.3,79.9,77.65,77.86,,1549884.0,34.6295,82.0921,82.1833,82.3911,82.6579,91.64,67,17,17.7,False
6284,2024-10-23,77.64,79.88,76.88,76.95,,1396354.0,32.6376,81.6026,82.1381,82.3311,82.6527,91.64,68,18,19.09,False
6285,2024-10-24,76.85,77.65,76.19,76.99,,851448.0,32.8206,81.1634,82.09,82.2858,82.6448,91.64,69,19,19.03,False
6286,2024-10-25,77.02,77.76,76.31,76.52,,822041.0,31.7303,80.7215,82.0227,82.2452,82.6314,91.64,70,20,19.76,False
6287,2024-10-28,76.98,77.9,76.59,76.65,,710278.0,32.3992,80.334,81.9699,82.1977,82.6178,91.64,71,21,19.56,False
6288,2024-10-29,75.72,76.69,75.17,76.01,,877567.0,30.7755,79.9218,81.8833,82.1556,82.5988,91.64,72,22,20.56,False
6289,2024-10-30,75.73,76.56,75.37,75.57,,917526.0,29.6908,79.5072,81.7859,82.1072,82.5782,91.64,73,23,21.27,False
6290,2024-10-31,75.41,75.83,74.81,75.1,,1977483.0,28.5339,79.0874,81.6577,82.0501,82.5594,91.64,74,24,22.02,False
6291,2024-11-01,75.41,76.31,75.03,75.4,,811313.0,30.4064,78.7363,81.5504,81.9949,82.54,91.64,75,25,21.54,False
6292,2024-11-04,75.4,76.28,74.8,75.14,,716366.0,29.6806,78.3938,81.4099,81.9173,82.5161,91.63,76,26,21.95,False
6293,2024-11-05,75.0,75.99,74.8,75.92,,709103.0,34.7153,78.1582,81.2885,81.8467,82.4916,91.63,77,27,20.69,False
6294,2024-11-06,77.0,77.92,75.47,76.21,,1422227.0,36.5347,77.9726,81.1849,81.791,82.47,91.63,78,28,20.23,False
6295,2024-11-07,76.26,76.66,75.66,76.03,,1299029.0,35.8666,77.7876,81.076,81.7214,82.4549,91.63,79,29,20.52,False
6296,2024-11-08,76.01,76.28,74.81,74.86,,1289404.0,31.7962,77.5088,80.9386,81.6347,82.4293,91.63,80,30,22.4,False
6297,2024-11-11,75.08,75.7,74.69,75.1,,1215098.0,33.4643,77.2794,80.7738,81.5534,82.4066,91.63,81,31,22.01,False
