index,time,open,high,low,close,Volume,volume,rsi,ema20,ma50,ma100,ma200,trendline,duration_from_date1,duration_from_date2,distance,breakthrough
6310,2024-11-29,307.25,307.79,304.67,304.68,,1326646.0,69.8122,291.7418,279.173,263.3216,245.1785,307.79,1,0,1.02,False
6311,2024-12-02,306.21,306.85,299.91,302.26,,2167054.0,65.9222,292.7435,279.852,263.9627,245.6363,307.76,2,1,1.82,False
6312,2024-12-03,303.84,304.99,301.14,302.11,,2128671.0,65.6779,293.6355,280.5618,264.6035,246.0933,307.73,3,2,1.86,False
6313,2024-12-04,302.0,303.53,300.71,302.6,,1561228.0,66.1196,294.4893,281.303,265.1957,246.553,307.7,4,3,1.69,False
6314,2024-12-05,302.28,303.43,300.32,300.53,,2793669.0,62.4627,295.0646,282.0037,265.711,247.0103,307.67,5,4,2.38,False
6315,2024-12-06,301.64,304.74,300.62,303.99,,1797667.0,65.8614,295.9146,282.7341,266.2576,247.4696,307.64,6,5,1.2,False
6316,2024-12-09,304.07,305.07,296.16,296.72,,2377947.0,54.6623,295.9913,283.261,266.7392,247.8896,307.61,7,6,3.67,False
6317,2024-12-10,297.43,304.98,296.51,302.11,,2968061.0,60.0818,296.5741,283.8929,267.3426,248.3248,307.58,8,7,1.81,False
6318,2024-12-11,303.37,304.13,299.54,302.34,,2071545.0,60.2999,297.1232,284.5813,267.9247,248.756,307.55,9,8,1.72,False
6319,2024-12-12,303.63,304.45,300.26,300.3,,1668441.0,57.3093,297.4258,285.1826,268.4649,249.1768,307.52,10,9,2.4,False
6320,2024-12-13,302.46,304.32,301.25,302.14,,1661963.0,59.2714,297.8747,285.8672,269.0825,249.5999,307.49,11,10,1.77,False
6321,2024-12-16,303.7,304.2,300.83,303.57,,1813997.0,60.78,298.4171,286.4192,269.7225,250.0289,307.46,12,11,1.28,False
6322,2024-12-17,302.33,303.03,299.7,301.34,,3611578.0,57.2205,298.6955,286.9702,270.2832,250.4505,307.43,13,12,2.02,False
6323,2024-12-18,302.6,303.59,286.43,287.78,,3541224.0,41.3589,297.6559,287.3436,270.6884,250.8128,307.4,14,13,6.82,False
6324,2024-12-19,293.02,296.86,291.2,293.08,,3541351.0,47.4862,297.2201,287.7768,271.1008,251.1954,307.37,15,14,4.88,False
6325,2024-12-20,292.35,302.72,292.0,298.65,,6232414.0,53.0396,297.3563,288.3404,271.5633,251.5812,307.34,16,15,2.91,False
6326,2024-12-23,296.48,299.76,295.19,298.8,,1902436.0,53.1832,297.4938,288.7932,272.0708,251.968,307.31,17,16,2.85,False
6327,2024-12-24,299.29,303.62,298.0,303.46,,862881.0,57.528,298.062,289.332,272.7885,252.3939,307.28,18,17,1.26,False
6328,2024-12-26,301.48,304.89,301.01,303.99,,1228978.0,58.0053,298.6266,289.8656,273.5749,252.8102,307.25,19,18,1.07,False
6329,2024-12-27,300.85,305.09,298.71,301.05,,1676011.0,54.3558,298.8574,290.253,274.28,253.211,307.22,20,19,2.05,False
6330,2024-12-30,297.35,299.7,294.13,297.33,,2393051.0,50.0638,298.7119,290.484,274.9711,253.6049,307.19,21,20,3.32,False
