index,time,open,high,low,close,Volume,volume,rsi,ema20,ma50,ma100,ma200,trendline,duration_from_date1,duration_from_date2,distance,breakthrough
6321,2024-12-16,3369.0,3392.47,3335.97,3350.13,,136066.0,67.7093,3245.6356,3157.2318,3143.9821,3053.4061,3392.47,4,0,1.26,False
6322,2024-12-17,3350.0,3352.16,3314.37,3319.11,,136111.0,62.3621,3252.6332,3162.545,3146.2701,3054.6019,3386.44,5,1,2.03,False
6323,2024-12-18,3318.3,3324.36,3236.7,3238.52,,136698.0,51.0766,3251.289,3165.2736,3147.9287,3055.2802,3380.41,6,2,4.38,False
6324,2024-12-19,3266.08,3266.08,3209.24,3215.29,,129595.0,48.3599,3247.8606,3166.658,3148.9976,3055.8357,3374.4,7,3,4.95,False
6325,2024-12-20,3221.13,3274.26,3206.16,3253.47,,268808.0,52.8032,3248.3948,3169.5964,3150.1954,3056.483,3368.4,8,4,3.53,False
6326,2024-12-23,3225.23,3251.84,3198.92,3242.23,,175042.0,51.401,3247.8077,3171.8454,3151.1341,3057.2967,3362.41,9,5,3.71,False
6327,2024-12-24,3269.0,3286.97,3252.56,3283.48,,57453.0,56.017,3251.205,3174.4542,3152.1922,3058.4127,3356.43,10,6,2.22,False
6328,2024-12-26,3271.84,3286.6,3239.99,3241.25,,80961.0,50.7071,3250.2569,3177.2792,3153.4804,3059.3214,3350.46,11,7,3.37,False
6329,2024-12-27,3225.0,3262.1,3220.96,3241.62,,78628.0,50.7511,3249.4344,3179.5388,3154.7007,3060.0833,3344.5,12,8,3.17,False
6330,2024-12-30,3235.78,3235.78,3180.49,3185.71,,112469.0,44.3079,3243.3654,3180.093,3155.7144,3060.4166,3338.56,13,9,4.8,False
