index,time,open,high,low,close,Volume,volume,rsi,ema20,ma50,ma100,ma200,trendline,duration_from_date1,duration_from_date2,distance,breakthrough
5537,2021-11-02,31.14,33.25,30.85,32.73,,8822121.0,79.9173,27.0467,26.5377,26.5452,25.8128,33.25,1738,0,1.59,False
5538,2021-11-03,32.69,32.88,31.9,32.36,,4079421.0,76.7897,27.5046,26.6313,26.5789,25.8597,33.25,1739,1,2.75,False
5539,2021-11-04,32.27,32.27,31.18,31.51,,2803994.0,70.0602,27.8391,26.7001,26.6011,25.9047,33.24,1740,2,5.49,False
5540,2021-11-05,31.89,31.95,30.91,31.17,,3157873.0,67.5241,28.1099,26.7691,26.6236,25.9479,33.24,1741,3,6.64,False
5541,2021-11-08,31.47,31.56,30.9,31.05,,2361384.0,66.5923,28.3435,26.8221,26.6585,25.9905,33.24,1742,4,7.05,False
5542,2021-11-09,30.94,31.34,30.82,31.03,,2242213.0,66.4512,28.5533,26.8836,26.6999,26.0283,33.24,1743,5,7.12,False
5543,2021-11-10,30.88,30.94,30.26,30.42,,2431632.0,61.472,28.6852,26.9326,26.727,26.065,33.23,1744,6,9.24,False
5544,2021-11-11,30.56,30.94,30.4,30.82,,1341477.0,63.4257,28.8429,26.9925,26.76,26.1013,33.23,1745,7,7.82,False
5545,2021-11-12,30.81,31.21,30.65,31.2,,1736583.0,65.166,29.0206,27.0569,26.7974,26.1455,33.23,1746,8,6.51,False
5546,2021-11-15,31.29,31.45,30.95,31.05,,1769119.0,63.872,29.1675,27.1259,26.8298,26.1877,33.22,1747,9,6.99,False
5547,2021-11-16,30.92,31.22,30.81,30.97,,1587842.0,63.157,29.2931,27.2064,26.856,26.2335,33.22,1748,10,7.27,False
5548,2021-11-17,30.75,30.87,30.28,30.41,,1650841.0,58.0984,29.3537,27.2745,26.8819,26.2756,33.22,1749,11,9.24,False
5549,2021-11-18,30.55,30.76,30.15,30.25,,1504361.0,56.7431,29.394,27.3386,26.9092,26.3177,33.22,1750,12,9.82,False
5550,2021-11-19,29.98,30.22,29.76,30.13,,2227446.0,55.6555,29.419,27.4009,26.9347,26.3584,33.21,1751,13,10.22,False
5551,2021-11-22,30.34,30.52,29.94,29.97,,1712579.0,54.2167,29.427,27.4529,26.9564,26.3953,33.21,1752,14,10.81,False
5552,2021-11-23,30.13,30.2,29.63,30.14,,1857188.0,55.5238,29.4497,27.5154,26.9823,26.4328,33.21,1753,15,10.19,False
5553,2021-11-24,30.02,30.13,29.81,29.92,,1296208.0,53.365,29.4498,27.5615,27.0091,26.4658,33.21,1754,16,11.0,False
