index,time,open,high,low,close,Volume,volume,rsi,ema20,ma50,ma100,ma200,trendline,duration_from_date1,duration_from_date2,distance,breakthrough
1866,2024-12-03,44.23,44.23,43.26,43.67,,3583617.0,64.2394,42.6821,39.4192,37.187,34.604,44.23,7,0,1.28,False
1867,2024-12-04,43.67,43.75,42.22,42.56,,5837908.0,54.0883,42.6704,39.5476,37.2596,34.6741,44.1,8,1,3.62,False
1868,2024-12-05,42.61,42.89,42.18,42.51,,5541912.0,53.6768,42.6552,39.6807,37.3259,34.7426,43.97,9,2,3.43,False
1869,2024-12-06,42.36,42.46,41.27,41.31,,7458053.0,44.8571,42.5271,39.8153,37.3816,34.8058,43.83,10,3,6.1,False
1870,2024-12-09,41.46,42.1,41.32,41.43,,7336818.0,45.8159,42.4226,39.9243,37.4411,34.8662,43.7,11,4,5.48,False
1871,2024-12-10,40.89,41.66,40.35,41.21,,7366455.0,44.2953,42.3071,40.0294,37.4981,34.9257,43.57,12,5,5.73,False
1872,2024-12-11,41.61,42.8,41.05,42.46,,7588959.0,53.6984,42.3217,40.1477,37.5702,34.9921,43.44,13,6,2.31,False
1873,2024-12-12,42.3,42.76,42.08,42.33,,5817742.0,52.702,42.3224,40.2539,37.6411,35.059,43.31,14,7,2.32,False
1874,2024-12-13,42.49,42.72,42.02,42.15,,4937684.0,51.2831,42.306,40.35,37.7176,35.1245,43.18,15,8,2.44,False
1875,2024-12-16,41.91,42.13,41.62,41.8,,4290009.0,48.5462,42.2578,40.4316,37.7839,35.1864,43.05,16,9,2.99,False
1876,2024-12-17,41.45,41.75,40.92,41.41,,7536476.0,45.6243,42.1771,40.5047,37.8259,35.2489,42.92,17,10,3.65,False
1877,2024-12-18,41.47,41.83,40.01,40.04,,6670714.0,37.1626,41.9736,40.5604,37.846,35.301,42.79,18,11,6.87,False
1878,2024-12-19,40.97,41.02,39.6,39.8,,5971354.0,35.9063,41.7665,40.6088,37.866,35.3499,42.66,19,12,7.19,False
1879,2024-12-20,39.38,40.46,39.32,40.32,,17974920.0,40.5925,41.6288,40.6671,37.8865,35.4002,42.54,20,13,5.51,False
1880,2024-12-23,40.01,40.26,39.68,40.15,,4094437.0,39.5738,41.4879,40.7202,37.9158,35.4507,42.41,21,14,5.63,False
1881,2024-12-24,40.19,40.9,39.89,40.79,,2122012.0,45.154,41.4215,40.7874,37.9705,35.5009,42.28,22,15,3.65,False
1882,2024-12-26,40.79,40.9,40.27,40.88,,2289751.0,45.9105,41.3699,40.8826,38.0381,35.5507,42.15,23,16,3.11,False
1883,2024-12-27,40.71,41.12,40.52,40.8,,3282597.0,45.3122,41.3156,40.9678,38.1059,35.5988,42.03,24,17,3.01,False
1884,2024-12-30,40.74,41.01,40.29,40.94,,4607724.0,46.6231,41.2799,41.053,38.1748,35.6467,41.9,25,18,2.34,False
