index,time,open,high,low,close,Volume,volume,rsi,ema20,ma50,ma100,ma200,trendline,duration_from_date1,duration_from_date2,distance,breakthrough
6314,2024-12-05,80.27,82.18,80.2,81.49,,3635994.0,65.5893,79.5002,76.4282,71.1552,63.9689,82.18,4,0,0.85,False
6315,2024-12-06,81.33,81.69,80.07,80.51,,2509660.0,58.9681,79.5964,76.6172,71.3281,64.1004,82.05,5,1,1.91,False
6316,2024-12-09,81.37,81.59,80.5,80.61,,5712196.0,59.4183,79.6929,76.8042,71.5079,64.231,81.91,6,2,1.61,False
6317,2024-12-10,80.63,81.02,79.97,80.62,,3607313.0,59.4662,79.7812,76.9883,71.6957,64.3634,81.78,7,3,1.44,False
6318,2024-12-11,80.97,81.15,78.59,79.67,,4817311.0,53.0598,79.7706,77.1682,71.8637,64.4897,81.64,8,4,2.47,False
6319,2024-12-12,79.5,80.02,79.0,79.57,,4468810.0,52.4196,79.7515,77.3493,72.027,64.6151,81.51,9,5,2.44,False
6320,2024-12-13,80.09,80.09,78.55,78.83,,2982509.0,47.8216,79.6637,77.5183,72.1802,64.7346,81.38,10,6,3.23,False
6321,2024-12-16,79.05,79.55,78.65,79.08,,3496143.0,49.4353,79.6081,77.6691,72.3269,64.8583,81.24,11,7,2.73,False
6322,2024-12-17,78.66,79.28,78.28,78.45,,4064932.0,45.6074,79.4978,77.7982,72.4619,64.9789,81.11,12,8,3.39,False
6323,2024-12-18,78.24,78.53,75.78,75.82,,4648433.0,33.8307,79.1476,77.8597,72.5782,65.0843,80.98,13,9,6.81,False
6324,2024-12-19,76.6,77.48,75.87,76.41,,5814251.0,37.7162,78.8869,77.9166,72.6939,65.1932,80.85,14,10,5.81,False
6325,2024-12-20,76.9,78.02,76.09,77.62,,13075251.0,44.8665,78.7662,77.9891,72.8234,65.3084,80.71,15,11,3.98,False
6326,2024-12-23,76.94,77.65,76.82,77.57,,2669984.0,44.6384,78.6523,78.0667,72.9567,65.4247,80.58,16,12,3.88,False
6327,2024-12-24,77.58,78.3,77.33,78.05,,1236499.0,47.4023,78.5949,78.1069,73.1099,65.5426,80.45,17,13,3.07,False
6328,2024-12-26,77.75,78.49,77.57,78.35,,1970170.0,49.1123,78.5716,78.1587,73.283,65.6645,80.32,18,14,2.51,False
6329,2024-12-27,77.91,78.46,77.08,77.57,,2072453.0,45.0146,78.4762,78.1736,73.4406,65.7816,80.19,19,15,3.38,False
6330,2024-12-30,76.74,77.31,76.22,77.11,,1891046.0,42.7493,78.3461,78.1704,73.5985,65.9006,80.06,20,16,3.83,False
