index,time,open,high,low,close,Volume,volume,rsi,ema20,ma50,ma100,ma200,trendline,duration_from_date1,duration_from_date2,distance,breakthrough
4858,2024-10-16,197.53,201.53,197.2,198.25,,1034077.0,64.2771,192.097,179.7054,165.183,174.5689,201.53,144,0,1.65,False
4859,2024-10-17,197.97,198.75,192.05,195.37,,1134731.0,58.6435,192.4087,180.5556,165.4257,174.7188,201.44,145,1,3.11,False
4860,2024-10-18,196.47,196.47,193.13,194.97,,875298.0,57.8847,192.6526,181.392,165.7485,174.8971,201.35,146,2,3.27,False
4861,2024-10-21,194.46,194.79,184.24,184.84,,1275263.0,42.7855,191.9086,181.9786,166.0372,175.0349,201.26,147,3,8.88,False
4862,2024-10-22,184.0,184.01,178.44,180.65,,1510376.0,38.3316,190.8363,182.5256,166.2421,175.1392,201.18,148,4,11.36,False
4863,2024-10-23,179.87,183.72,178.04,179.22,,781584.0,36.919,189.73,182.892,166.4264,175.2159,201.09,149,5,12.2,False
4864,2024-10-24,179.31,182.35,177.67,181.66,,837091.0,40.9196,188.9614,183.3132,166.7218,175.2975,201.0,150,6,10.65,False
4865,2024-10-25,184.47,184.47,179.66,180.8,,855625.0,39.9578,188.1842,183.6362,167.0646,175.365,200.91,151,7,11.12,False
4866,2024-10-28,183.17,186.66,182.88,184.8,,839273.0,46.2826,187.8619,184.1096,167.4129,175.4529,200.82,152,8,8.67,False
4867,2024-10-29,175.11,175.27,167.71,171.6,,2393449.0,33.6757,186.3131,184.2754,167.6725,175.474,200.73,153,9,16.98,False
4868,2024-10-30,171.6,175.73,170.57,172.88,,1198611.0,35.5101,185.0338,184.45,167.9385,175.5088,200.65,154,10,16.06,False
4869,2024-10-31,171.78,173.89,170.94,171.4,,744405.0,34.3279,183.7353,184.513,168.183,175.5427,200.56,155,11,17.01,False
4870,2024-11-01,173.11,175.16,170.61,172.02,,1255102.0,35.2997,182.6196,184.6024,168.4684,175.5744,200.47,156,12,16.54,False
4871,2024-11-04,172.76,176.94,172.22,172.43,,2048474.0,35.9744,181.6491,184.4068,168.6812,175.574,200.38,157,13,16.21,False
4872,2024-11-05,175.95,185.16,175.95,180.99,,2137785.0,48.1354,181.5864,184.4984,168.9796,175.5889,200.29,158,14,10.66,False
4873,2024-11-06,173.21,177.92,168.38,176.78,,3332531.0,43.7355,181.1286,184.5416,169.2519,175.6344,200.21,159,15,13.25,False
4874,2024-11-07,177.32,179.88,175.16,179.19,,1826391.0,46.7369,180.944,184.6674,169.5445,175.7038,200.12,160,16,11.68,False
4875,2024-11-08,180.09,180.57,177.78,178.35,,1353154.0,45.8195,180.6969,184.7912,169.8336,175.7465,200.03,161,17,12.16,False
4876,2024-11-11,180.22,183.71,178.1,183.59,,1518323.0,52.1321,180.9725,184.983,170.2221,175.8169,199.94,162,18,8.91,False
4877,2024-11-12,181.58,183.38,178.5,178.65,,1008975.0,46.6177,180.7513,185.183,170.5767,175.8276,199.85,163,19,11.87,False
4878,2024-11-13,182.0,183.29,179.06,179.88,,950496.0,48.09,180.6683,185.403,170.9533,175.845,199.77,164,20,11.06,False
4879,2024-11-14,180.33,183.0,179.52,181.2,,1174117.0,49.6936,180.7189,185.676,171.4002,175.8823,199.68,165,21,10.2,False
4880,2024-11-15,180.21,180.81,175.04,176.28,,1073012.0,44.2115,180.2962,185.8314,171.7956,175.8686,199.59,166,22,13.22,False
4881,2024-11-18,175.0,178.81,173.65,178.3,,1001713.0,46.8062,180.1061,186.0742,172.2,175.8564,199.5,167,23,11.89,False
4882,2024-11-19,177.07,178.81,174.14,178.81,,1095178.0,47.4704,179.9826,186.2312,172.604,175.8595,199.41,168,24,11.52,False
4883,2024-11-20,178.75,179.16,172.6,174.83,,1476290.0,42.9617,179.4919,186.328,173.0124,175.8439,199.33,169,25,14.01,False
4884,2024-11-21,176.0,177.59,172.79,175.91,,1508629.0,44.5021,179.1508,186.3318,173.4241,175.8189,199.24,170,26,13.26,False
4885,2024-11-22,177.76,179.37,175.71,178.52,,825896.0,48.1466,179.0907,186.2362,173.8655,175.7853,199.15,171,27,11.56,False
4886,2024-11-25,182.16,194.36,182.11,189.03,,2012612.0,59.6405,180.0373,186.2638,174.4298,175.8038,199.06,172,28,5.31,False
