index,time,open,high,low,close,Volume,volume,rsi,ema20,ma50,ma100,ma200,trendline,duration_from_date1,duration_from_date2,distance,breakthrough
6310,2024-11-29,113.23,113.75,112.51,113.1,,803944.0,65.1758,110.4103,106.8634,103.4871,94.8281,113.75,1,0,0.57,False
6311,2024-12-02,113.22,113.22,110.85,111.63,,991076.0,57.7911,110.5265,107.0785,103.6862,94.9743,113.35,2,1,1.54,False
6312,2024-12-03,112.0,112.25,110.69,111.38,,990512.0,56.6162,110.6078,107.2647,103.8651,95.1195,112.95,3,2,1.41,False
6313,2024-12-04,111.17,111.8,110.78,111.14,,782259.0,55.4507,110.6584,107.4231,104.0467,95.2635,112.56,4,3,1.28,False
6314,2024-12-05,111.5,111.66,110.37,110.55,,1254443.0,52.5849,110.6481,107.5699,104.2215,95.4038,112.16,5,4,1.46,False
6315,2024-12-06,110.24,110.69,108.55,109.18,,1242790.0,46.5667,110.5083,107.696,104.3804,95.5308,111.77,6,5,2.37,False
6316,2024-12-09,108.23,108.73,104.99,105.68,,2024676.0,35.4153,110.0485,107.7594,104.5074,95.6398,111.38,7,6,5.39,False
6317,2024-12-10,104.91,105.22,102.13,102.93,,1744036.0,29.4483,109.3705,107.7488,104.6146,95.736,110.99,8,7,7.83,False
6318,2024-12-11,103.53,104.19,103.23,104.11,,1449515.0,34.5445,108.8695,107.7337,104.7266,95.8378,110.6,9,8,6.23,False
6319,2024-12-12,104.7,105.05,103.46,103.66,,952643.0,33.5492,108.3734,107.7089,104.7853,95.934,110.21,10,9,6.32,False
6320,2024-12-13,103.83,104.33,103.41,104.19,,1208228.0,35.892,107.975,107.7029,104.8542,96.0356,109.83,11,10,5.41,False
6321,2024-12-16,104.29,105.03,103.99,104.39,,1357163.0,36.7975,107.6335,107.6806,104.9264,96.1406,109.44,12,11,4.84,False
6322,2024-12-17,103.65,103.87,102.42,103.18,,1464647.0,33.6964,107.2094,107.7043,104.9691,96.2386,109.06,13,12,5.7,False
6323,2024-12-18,103.25,103.78,100.86,100.93,,1456017.0,28.8309,106.6113,107.6208,104.9944,96.3245,108.68,14,13,7.68,False
6324,2024-12-19,101.39,102.88,101.24,102.3,,1762759.0,34.9865,106.2007,107.5525,105.0217,96.4122,108.29,15,14,5.86,False
6325,2024-12-20,102.3,103.86,101.91,102.93,,2725982.0,37.6569,105.8892,107.5405,105.0593,96.4994,107.92,16,15,4.85,False
6326,2024-12-23,102.38,102.94,101.63,102.8,,773008.0,37.3163,105.595,107.5043,105.082,96.5893,107.54,17,16,4.61,False
6327,2024-12-24,102.53,103.94,102.19,103.85,,338327.0,41.8883,105.4288,107.4654,105.111,96.6859,107.16,18,17,3.19,False
6328,2024-12-26,102.96,103.88,102.96,103.74,,587963.0,41.5464,105.268,107.4258,105.1672,96.7769,106.78,19,18,2.93,False
6329,2024-12-27,103.2,103.89,102.38,102.89,,676558.0,38.9041,105.0415,107.3599,105.2051,96.8656,106.41,20,19,3.42,False
6330,2024-12-30,102.0,102.42,101.04,101.99,,1080626.0,36.2735,104.7509,107.264,105.2384,96.9524,106.04,21,20,3.97,False
