index,time,open,high,low,close,Volume,volume,rsi,ema20,ma50,ma100,ma200,trendline,duration_from_date1,duration_from_date2,distance,breakthrough
4398,2024-12-11,191.85,194.0,191.04,192.41,,3556215.0,64.1919,185.934,173.6009,157.3747,140.2039,194.0,11,0,0.83,False
4399,2024-12-12,191.0,191.37,187.74,190.3,,2829541.0,60.1357,186.3498,174.378,157.857,140.5348,193.38,12,1,1.62,False
4400,2024-12-13,190.49,192.17,188.23,188.42,,3658236.0,56.698,186.547,175.1377,158.3797,140.8489,192.76,13,2,2.3,False
4401,2024-12-16,189.21,189.67,187.81,188.46,,2945643.0,56.7546,186.7292,175.8838,158.8792,141.1619,192.14,14,3,1.95,False
4402,2024-12-17,187.14,187.51,182.95,183.11,,4278514.0,47.7563,186.3845,176.5796,159.3057,141.4555,191.53,15,4,4.6,False
4403,2024-12-18,182.91,184.0,171.65,171.7,,5062958.0,35.0081,184.986,177.0398,159.62,141.7008,190.92,16,5,11.19,False
4404,2024-12-19,174.25,174.59,168.5,168.91,,7803788.0,32.7088,183.4549,177.4646,159.9028,141.9396,190.31,17,6,12.67,False
4405,2024-12-20,167.16,173.27,166.05,170.84,,10917073.0,35.8477,182.2535,177.9158,160.1968,142.1807,189.7,18,7,11.04,False
4406,2024-12-23,170.18,172.78,169.14,172.19,,3299300.0,38.0253,181.2951,178.3142,160.5553,142.4227,189.09,19,8,9.81,False
4407,2024-12-24,173.35,176.48,172.19,175.69,,1584719.0,43.3904,180.7613,178.7338,160.9884,142.6892,188.49,20,9,7.29,False
4408,2024-12-26,174.25,177.13,174.25,176.46,,1438642.0,44.5282,180.3516,179.1524,161.4644,142.9639,187.88,21,10,6.47,False
4409,2024-12-27,174.67,176.28,172.67,174.01,,3124435.0,41.6592,179.7477,179.4544,161.908,143.2144,187.28,22,11,7.63,False
4410,2024-12-30,171.91,172.94,169.2,172.05,,1899172.0,39.4683,179.0145,179.5179,162.359,143.4615,186.68,23,12,8.5,False
