index,time,open,high,low,close,Volume,volume,rsi,ema20,ma50,ma100,ma200,trendline,duration_from_date1,duration_from_date2,distance,breakthrough
5162,2024-12-12,137.14,140.7,136.92,139.69,,2180795.0,60.961,136.3136,130.9928,122.8986,106.7225,140.7,10,0,0.72,False
5163,2024-12-13,138.78,139.98,136.01,137.3,,2045015.0,54.5604,136.4075,131.2884,123.2886,106.9496,140.57,11,1,2.38,False
5164,2024-12-16,139.0,139.94,137.74,137.93,,2648408.0,55.8755,136.5525,131.6302,123.5936,107.1743,140.44,12,2,1.82,False
5165,2024-12-17,137.0,137.75,135.52,135.83,,2255061.0,50.6166,136.4837,131.9624,123.8464,107.3927,140.31,13,3,3.3,False
5166,2024-12-18,136.0,136.91,128.59,128.92,,2517867.0,37.9571,135.7633,132.1202,124.0302,107.5779,140.18,14,4,8.73,False
5167,2024-12-19,129.66,131.33,125.38,125.65,,2484038.0,33.666,134.8002,132.2152,124.1667,107.7446,140.05,15,5,11.46,False
5168,2024-12-20,126.71,130.25,126.4,129.16,,6110227.0,41.3328,134.263,132.4082,124.3312,107.9261,139.93,16,6,8.34,False
5169,2024-12-23,127.36,130.68,127.0,130.51,,1606906.0,44.0131,133.9056,132.5798,124.5124,108.1068,139.8,17,7,7.12,False
5170,2024-12-24,130.12,132.09,129.79,131.92,,1026032.0,46.7494,133.7165,132.7764,124.7278,108.2992,139.67,18,8,5.87,False
5171,2024-12-26,131.12,132.3,131.0,132.0,,775857.0,46.908,133.553,132.961,124.9816,108.4905,139.54,19,9,5.71,False
5172,2024-12-27,130.81,132.17,130.19,130.63,,975750.0,44.4663,133.2746,133.0862,125.2067,108.6728,139.41,20,10,6.72,False
5173,2024-12-30,129.74,131.1,128.57,130.27,,1083458.0,43.8208,132.9885,133.193,125.4462,108.8577,139.28,21,11,6.92,False
