index,time,open,high,low,close,Volume,volume,rsi,ema20,ma50,ma100,ma200,trendline,duration_from_date1,duration_from_date2,distance,breakthrough
680,2024-10-17,284.55,284.55,270.12,270.77,,3209916.0,61.6289,258.4482,220.4827,211.2313,187.496,284.55,8,0,5.09,False
681,2024-10-18,267.36,272.15,264.58,269.74,,1708815.0,60.8944,259.5232,222.1497,211.6276,188.2695,284.08,9,1,5.32,False
682,2024-10-21,272.65,273.69,267.59,273.29,,1650884.0,62.5401,260.8344,223.8312,212.1607,189.0632,283.62,10,2,3.78,False
683,2024-10-22,269.95,271.0,265.43,265.58,,2134113.0,56.9436,261.2866,225.4021,212.5747,189.8139,283.16,11,3,6.62,False
684,2024-10-23,264.58,267.51,262.2,265.63,,2633729.0,56.9705,261.7005,226.9325,213.066,190.561,282.69,12,4,6.42,False
685,2024-10-24,267.37,267.38,262.16,264.08,,1553707.0,55.8083,261.9276,228.4971,213.6314,191.3031,282.23,13,5,6.87,False
686,2024-10-25,268.58,269.32,262.68,264.0,,2016507.0,55.7372,262.1245,229.9751,214.247,192.0478,281.77,14,6,6.73,False
687,2024-10-28,266.47,270.76,264.59,266.56,,1542744.0,57.4059,262.547,231.5127,214.8265,192.82,281.31,15,7,5.53,False
688,2024-10-29,265.86,266.81,261.29,264.58,,1829658.0,55.6648,262.741,232.9549,215.4533,193.5824,280.85,16,8,6.15,False
689,2024-10-30,266.46,267.58,261.02,261.37,,1831022.0,52.857,262.6104,234.3738,216.0938,194.3341,280.39,17,9,7.28,False
690,2024-10-31,261.33,263.78,258.94,262.55,,2290851.0,53.7771,262.6044,235.6962,216.5804,195.0911,279.93,18,10,6.62,False
691,2024-11-01,262.32,264.35,256.42,257.69,,2804488.0,49.4925,262.1368,236.9572,216.9818,195.8264,279.47,19,11,8.45,False
692,2024-11-04,232.14,235.13,224.33,225.6,,10719375.0,31.572,258.6567,237.5754,217.0639,196.3861,279.02,20,12,23.68,False
693,2024-11-05,229.99,236.49,226.64,233.38,,6347426.0,37.4861,256.2497,238.3514,217.206,196.9711,278.56,21,13,19.36,False
694,2024-11-06,238.45,241.62,233.39,234.62,,4790137.0,38.3976,254.1898,239.1272,217.4107,197.5549,278.1,22,14,18.53,False
695,2024-11-07,242.14,247.96,238.02,241.21,,4154924.0,43.1491,252.9537,240.0821,217.7099,198.1866,277.65,23,15,15.11,False
696,2024-11-08,242.87,247.61,236.46,238.99,,5162116.0,41.9762,251.6243,240.9793,217.9033,198.7831,277.2,24,16,15.99,False
697,2024-11-11,241.61,243.53,233.92,236.9,,3382066.0,40.8453,250.2217,241.7894,218.0568,199.3654,276.74,25,17,16.82,False
698,2024-11-12,235.07,235.61,225.34,228.34,,4460014.0,36.5208,248.1379,242.8062,218.1665,199.9063,276.29,26,18,21.0,False
699,2024-11-13,230.64,232.4,225.26,225.61,,2979471.0,35.2363,245.9919,243.7735,218.269,200.4292,275.84,27,19,22.26,False
700,2024-11-14,227.84,231.18,224.77,225.03,,2513207.0,34.956,243.9952,244.7581,218.3032,200.9486,275.39,28,20,22.38,False
701,2024-11-15,224.85,227.75,221.66,224.28,,2717700.0,34.5743,242.1176,245.7869,218.4501,201.4363,274.94,29,21,22.59,False
702,2024-11-18,225.99,232.04,221.18,230.28,,3295002.0,40.2252,240.9902,246.8996,218.7122,201.9437,274.49,30,22,19.2,False
703,2024-11-19,226.31,234.89,226.1,234.58,,2197506.0,43.9608,240.3797,247.9919,219.0622,202.4859,274.04,31,23,16.82,False
