index,time,open,high,low,close,Volume,volume,rsi,ema20,ma50,ma100,ma200,trendline,duration_from_date1,duration_from_date2,distance,breakthrough
4861,2024-12-04,94.29,94.46,91.05,91.5,,1896617.0,61.3057,88.3503,85.9886,81.7074,79.3674,94.46,571,0,3.23,False
4862,2024-12-05,90.66,91.34,88.7,89.37,,1906668.0,54.6195,88.4474,86.1087,81.8778,79.4326,94.43,572,1,5.66,False
4863,2024-12-06,89.44,89.68,88.17,88.44,,1197762.0,51.9551,88.4467,86.187,82.0422,79.4836,94.4,573,2,6.74,False
4864,2024-12-09,89.37,90.04,88.03,88.22,,1260789.0,51.3174,88.4251,86.2484,82.2089,79.5301,94.37,574,3,6.97,False
4865,2024-12-10,88.22,90.0,87.4,88.84,,1796890.0,53.0658,88.4646,86.319,82.3885,79.5796,94.34,575,4,6.19,False
4866,2024-12-11,89.15,90.0,88.81,89.82,,1341266.0,55.7699,88.5937,86.3812,82.5813,79.6371,94.31,576,5,5.0,False
4867,2024-12-12,90.58,90.99,89.65,90.13,,1305905.0,56.6213,88.74,86.4308,82.7857,79.6957,94.28,577,6,4.6,False
4868,2024-12-13,89.67,89.96,88.67,89.5,,1368435.0,54.3324,88.8124,86.4452,82.9745,79.747,94.24,578,7,5.3,False
4869,2024-12-16,88.35,88.67,86.47,86.68,,1816132.0,45.4714,88.6093,86.3861,83.1149,79.7756,94.21,579,8,8.69,False
4870,2024-12-17,86.14,86.81,85.5,86.68,,1445897.0,45.4714,88.4256,86.3664,83.2402,79.8171,94.18,580,9,8.65,False
4871,2024-12-18,86.02,86.79,84.36,84.43,,1535683.0,39.509,88.0451,86.3287,83.3471,79.849,94.15,581,10,11.51,False
4872,2024-12-19,85.43,86.23,83.69,83.82,,1766734.0,38.0522,87.6427,86.2661,83.4301,79.8677,94.12,582,11,12.29,False
4873,2024-12-20,83.78,85.69,83.69,84.98,,6313737.0,42.4016,87.3891,86.2104,83.5251,79.881,94.09,583,12,10.72,False
4874,2024-12-23,84.81,85.38,84.35,84.85,,1452153.0,42.0453,87.1473,86.1612,83.6246,79.8913,94.06,584,13,10.85,False
4875,2024-12-24,84.84,85.69,84.43,85.4,,538754.0,44.1822,86.9809,86.1391,83.7551,79.9008,94.03,585,14,10.11,False
4876,2024-12-26,85.2,85.67,84.81,85.09,,707217.0,43.215,86.8008,86.1493,83.8861,79.9071,94.0,586,15,10.47,False
4877,2024-12-27,84.59,85.68,84.53,84.75,,852833.0,42.1258,86.6055,86.1623,84.0084,79.9153,93.97,587,16,10.88,False
4878,2024-12-30,84.51,84.73,83.66,84.03,,1124471.0,39.836,86.3602,86.1371,84.1244,79.9239,93.94,588,17,11.79,False
