index,time,open,high,low,close,Volume,volume,rsi,ema20,ma50,ma100,ma200,trendline,duration_from_date1,duration_from_date2,distance,breakthrough
6280,2024-10-17,349.93,357.21,348.52,351.63,,1614441.0,53.8993,348.4579,348.173,340.4895,336.6882,357.21,23,0,1.59,False
6281,2024-10-18,352.06,352.06,334.54,334.58,,2712344.0,38.3713,347.1363,348.2179,340.5436,336.8675,356.7,24,1,6.61,False
6282,2024-10-21,331.91,331.91,316.89,318.88,,4638585.0,29.8426,344.445,347.9265,340.4435,336.9556,356.18,25,2,11.7,False
6283,2024-10-22,318.83,320.93,313.76,316.12,,2636374.0,28.6385,341.7473,347.7395,340.3348,336.9938,355.67,26,3,12.51,False
6284,2024-10-23,315.52,319.38,313.67,316.23,,1352849.0,28.7615,339.317,347.463,340.0926,337.0322,355.15,27,4,12.31,False
6285,2024-10-24,317.32,321.08,316.71,316.9,,1646767.0,29.5574,337.1817,347.1566,339.888,337.0778,354.64,28,5,11.91,False
6286,2024-10-25,317.72,319.98,314.18,315.51,,1390535.0,28.8375,335.1179,346.7867,339.6996,337.1418,354.13,29,6,12.24,False
6287,2024-10-28,315.92,316.91,312.27,313.59,,1545549.0,27.8243,333.0676,346.267,339.5204,337.1977,353.62,30,7,12.77,False
6288,2024-10-29,313.5,313.78,306.56,306.93,,2556345.0,24.5979,330.5782,345.6138,339.2377,337.2321,353.11,31,8,15.05,False
6289,2024-10-30,306.7,315.19,306.7,311.57,,2412074.0,30.6318,328.7677,345.0481,338.9995,337.2802,352.6,32,9,13.17,False
6290,2024-10-31,331.97,340.94,312.62,313.48,,3506849.0,33.0104,327.3118,344.5245,338.7749,337.3303,352.09,33,10,12.32,False
6291,2024-11-01,311.98,317.4,305.36,315.15,,2810769.0,35.1072,326.1539,343.9537,338.5741,337.3858,351.59,34,11,11.56,False
6292,2024-11-04,315.38,316.63,310.08,311.0,,1695664.0,32.3966,324.7108,343.1507,338.3505,337.455,351.08,35,12,12.89,False
6293,2024-11-05,310.92,317.44,309.95,317.05,,2046365.0,39.6954,323.9807,342.4695,338.2063,337.5399,350.57,36,13,10.57,False
6294,2024-11-06,323.47,324.66,307.28,313.89,,2655277.0,37.423,323.0196,341.7261,338.0389,337.6121,350.07,37,14,11.53,False
6295,2024-11-07,315.16,320.13,313.35,318.14,,1752683.0,42.221,322.5549,340.9877,337.9081,337.705,349.56,38,15,9.88,False
6296,2024-11-08,318.34,320.39,316.14,318.42,,1315168.0,42.5322,322.1611,340.1928,337.7711,337.8285,349.06,39,16,9.62,False
6297,2024-11-11,341.07,346.15,338.29,341.61,,2585840.0,61.2333,324.0135,339.8467,337.8355,338.0717,348.56,40,17,2.03,False
6298,2024-11-12,340.56,345.27,338.05,338.43,,2244581.0,58.4287,325.387,339.3644,337.8473,338.2938,348.05,41,18,2.84,False
6299,2024-11-13,337.72,339.26,329.66,330.64,,1675469.0,52.1186,325.887,338.6753,337.7497,338.4765,347.55,42,19,5.11,False
6300,2024-11-14,330.1,330.61,321.37,322.51,,1826974.0,46.4844,325.5656,338.0532,337.614,338.6088,347.05,43,20,7.61,False
6301,2024-11-15,321.7,323.4,315.43,320.16,,1650180.0,44.9703,325.051,337.4165,337.4669,338.6979,346.55,44,21,8.24,False
6302,2024-11-18,319.89,322.28,319.2,321.09,,1194622.0,45.7206,324.6736,336.7162,337.363,338.7105,346.05,45,22,7.77,False
6303,2024-11-19,318.65,325.71,317.83,321.14,,1322790.0,45.7634,324.3369,336.0072,337.2952,338.7359,345.55,46,23,7.6,False
