index,time,open,high,low,close,Volume,volume,rsi,ema20,ma50,ma100,ma200,trendline,duration_from_date1,duration_from_date2,distance,breakthrough
6311,2024-12-02,96.77,97.62,96.27,97.11,,4325337.0,58.6808,95.1319,97.188,99.5881,94.8553,97.62,61,0,0.53,False
6312,2024-12-03,97.18,97.18,93.71,94.61,,6203590.0,46.8032,95.0822,97.0242,99.5633,94.9174,97.45,62,1,3.0,False
6313,2024-12-04,94.13,94.88,93.71,94.81,,3971774.0,47.715,95.0563,96.8549,99.5486,94.9751,97.27,63,2,2.59,False
6314,2024-12-05,94.26,95.29,94.14,95.1,,4407125.0,49.0778,95.0604,96.6922,99.5354,95.0307,97.1,64,3,2.1,False
6315,2024-12-06,95.2,96.08,94.2,94.23,,4104813.0,45.2658,94.9813,96.5258,99.4937,95.0786,96.93,65,4,2.87,False
6316,2024-12-09,94.05,94.5,92.8,92.94,,4933644.0,40.271,94.7869,96.3217,99.4479,95.1188,96.76,66,5,4.11,False
6317,2024-12-10,92.71,94.0,92.3,93.89,,4324862.0,45.0774,94.7015,96.1336,99.4108,95.1642,96.59,67,6,2.88,False
6318,2024-12-11,94.15,94.73,92.61,92.76,,3629401.0,40.865,94.5166,95.9523,99.3638,95.2027,96.42,68,7,3.95,False
6319,2024-12-12,93.04,94.03,92.55,93.56,,3519581.0,44.798,94.4255,95.7924,99.3387,95.2433,96.25,69,8,2.88,False
6320,2024-12-13,93.46,93.94,92.95,93.44,,3019615.0,44.3218,94.3316,95.6717,99.3118,95.2846,96.08,70,9,2.83,False
6321,2024-12-16,93.62,94.27,92.8,92.92,,6601687.0,42.2272,94.1972,95.5591,99.2809,95.3235,95.91,71,10,3.22,False
6322,2024-12-17,92.5,93.9,92.42,93.49,,5633427.0,45.2799,94.1298,95.4673,99.2268,95.3636,95.74,72,11,2.41,False
6323,2024-12-18,92.86,94.13,92.68,92.75,,4849237.0,42.1649,93.9984,95.3206,99.1505,95.4005,95.57,73,12,3.04,False
6324,2024-12-19,92.66,93.62,92.11,92.92,,6641243.0,43.1328,93.8957,95.169,99.0798,95.436,95.4,74,13,2.67,False
6325,2024-12-20,92.44,93.15,91.46,92.03,,9929812.0,39.414,93.718,95.0347,99.0131,95.4624,95.23,75,14,3.48,False
6326,2024-12-23,91.97,92.2,91.08,91.91,,2975110.0,38.9266,93.5458,94.8808,98.9279,95.4885,95.06,76,15,3.43,False
6327,2024-12-24,91.83,92.5,91.7,92.39,,1531566.0,42.015,93.4358,94.724,98.8288,95.5167,94.89,77,16,2.71,False
6328,2024-12-26,92.1,92.54,91.92,92.37,,1919583.0,41.9199,93.3343,94.5504,98.7478,95.5417,94.72,78,17,2.54,False
6329,2024-12-27,92.73,92.73,91.65,91.81,,2544064.0,39.241,93.1891,94.3728,98.6444,95.5617,94.56,79,18,3.0,False
6330,2024-12-30,91.53,91.6,90.42,90.79,,2832192.0,34.87,92.9606,94.188,98.5331,95.5808,94.39,80,19,3.97,False
