index,time,open,high,low,close,Volume,volume,rsi,ema20,ma50,ma100,ma200,trendline,duration_from_date1,duration_from_date2,distance,breakthrough
6309,2024-11-27,228.08,228.08,222.74,224.05,,1261266.0,63.172,218.7061,211.6095,202.0559,184.1498,228.08,1,0,1.8,False
6310,2024-11-29,224.8,226.61,224.33,225.79,,981446.0,65.4187,219.3807,212.0579,202.5313,184.5173,228.04,2,1,1.0,False
6311,2024-12-02,225.42,225.79,221.75,222.64,,1965318.0,58.4652,219.6911,212.4348,202.9748,184.8587,228.0,3,2,2.41,False
6312,2024-12-03,223.66,225.26,220.3,222.65,,1391688.0,58.4803,219.9729,212.8154,203.4039,185.2081,227.96,4,3,2.38,False
6313,2024-12-04,221.86,224.24,221.86,223.6,,1495123.0,59.9681,220.3184,213.1978,203.8596,185.5622,227.92,5,4,1.93,False
6314,2024-12-05,223.37,224.53,221.64,223.22,,1015241.0,59.0565,220.5947,213.5255,204.2851,185.9095,227.88,6,5,2.09,False
6315,2024-12-06,223.57,225.03,223.41,223.71,,1329064.0,59.9029,220.8914,213.867,204.7297,186.2487,227.84,7,6,1.85,False
6316,2024-12-09,220.15,221.29,206.34,208.3,,4021397.0,35.2342,219.6922,213.9933,204.9225,186.5034,227.8,8,7,9.36,False
6317,2024-12-10,209.16,210.81,206.86,210.14,,1982410.0,38.4913,218.7825,214.086,205.1348,186.7662,227.76,9,8,8.38,False
6318,2024-12-11,210.14,212.49,209.79,210.97,,1518992.0,39.9582,218.0384,214.2356,205.3217,187.0405,227.72,10,9,7.94,False
6319,2024-12-12,210.67,211.75,209.34,211.59,,1466522.0,41.0883,217.4243,214.3688,205.5548,187.3146,227.68,11,10,7.6,False
6320,2024-12-13,210.75,211.98,209.4,211.22,,1370666.0,40.5972,216.8334,214.5096,205.7891,187.5894,227.64,12,11,7.77,False
6321,2024-12-16,211.4,213.89,211.12,211.8,,3075311.0,41.7722,216.354,214.6548,206.0272,187.8675,227.6,13,12,7.46,False
6322,2024-12-17,210.0,212.41,208.03,208.38,,3241438.0,37.111,215.5946,214.7404,206.2149,188.1274,227.56,14,13,9.2,False
6323,2024-12-18,207.97,210.31,204.31,204.39,,3568500.0,32.5479,214.5275,214.6953,206.3539,188.3722,227.52,15,14,11.32,False
6324,2024-12-19,192.66,193.69,182.21,182.79,,6209806.0,18.9581,211.5049,214.1759,206.2737,188.5084,227.48,16,15,24.45,False
6325,2024-12-20,181.59,187.74,181.15,186.94,,6170253.0,25.4026,209.1654,213.7995,206.2406,188.6622,227.44,17,16,21.66,False
6326,2024-12-23,187.13,188.28,185.34,187.12,,2663202.0,25.6787,207.0658,213.3884,206.2143,188.8206,227.4,18,17,21.53,False
6327,2024-12-24,187.15,188.39,186.66,188.35,,908655.0,27.6491,205.2834,212.9331,206.2132,188.9863,227.36,19,18,20.71,False
6328,2024-12-26,186.95,187.89,184.97,185.13,,1526660.0,25.7262,203.364,212.4293,206.222,189.1331,227.32,20,19,22.79,False
6329,2024-12-27,183.32,185.19,182.14,183.37,,1572727.0,24.7145,201.4598,211.8458,206.1994,189.2753,227.28,21,20,23.95,False
6330,2024-12-30,182.56,184.55,180.78,183.68,,1867274.0,25.272,199.7665,211.2508,206.1928,189.4112,227.24,22,21,23.72,False
