index,time,open,high,low,close,Volume,volume,rsi,ema20,ma50,ma100,ma200,trendline,duration_from_date1,duration_from_date2,distance,breakthrough
6307,2024-11-25,27.76,27.9,26.97,26.99,,8208982.0,68.6492,25.5346,24.2752,24.3469,25.4508,27.9,620,0,3.37,False
6308,2024-11-26,27.09,27.15,26.57,26.78,,4676947.0,65.7713,25.6532,24.3544,24.3534,25.4656,27.89,621,1,4.14,False
6309,2024-11-27,26.66,27.02,26.61,26.68,,3353093.0,64.387,25.751,24.4272,24.3599,25.4824,27.89,622,2,4.54,False
6310,2024-11-29,26.81,26.94,26.56,26.72,,3209658.0,64.707,25.8433,24.494,24.3652,25.5002,27.88,623,3,4.34,False
6311,2024-12-02,26.73,26.79,25.84,26.09,,5793024.0,56.1502,25.8668,24.5465,24.3607,25.5113,27.87,624,4,6.82,False
6312,2024-12-03,26.18,26.31,25.95,26.17,,4327962.0,56.9291,25.8956,24.5942,24.356,25.5227,27.87,625,5,6.5,False
6313,2024-12-04,26.19,26.19,25.41,25.63,,6169672.0,50.419,25.8703,24.6355,24.3443,25.5316,27.86,626,6,8.7,False
6314,2024-12-05,25.97,26.04,25.58,25.66,,5626709.0,50.7559,25.8503,24.6871,24.3318,25.5332,27.85,627,7,8.53,False
6315,2024-12-06,25.56,25.7,24.82,24.93,,6034565.0,43.0839,25.7627,24.7283,24.3155,25.5304,27.85,628,8,11.71,False
6316,2024-12-09,25.19,25.38,24.85,24.86,,5139854.0,42.4217,25.6767,24.7546,24.2976,25.5289,27.84,629,9,11.99,False
6317,2024-12-10,25.02,25.13,24.73,24.81,,4650523.0,41.926,25.5942,24.7757,24.2821,25.5275,27.84,630,10,12.21,False
6318,2024-12-11,25.0,25.41,24.79,25.35,,5698671.0,48.874,25.5709,24.8037,24.2729,25.5284,27.83,631,11,9.78,False
6319,2024-12-12,25.38,25.75,25.25,25.66,,7081260.0,52.3951,25.5794,24.8313,24.2726,25.5331,27.82,632,12,8.42,False
6320,2024-12-13,25.73,25.75,25.22,25.33,,4615887.0,48.561,25.5556,24.8475,24.2723,25.5349,27.82,633,13,9.83,False
6321,2024-12-16,25.37,25.4,24.67,24.73,,7202149.0,42.4751,25.477,24.8488,24.2667,25.5329,27.81,634,14,12.45,False
6322,2024-12-17,24.43,24.55,24.04,24.52,,6351214.0,40.5591,25.3859,24.8501,24.2584,25.5272,27.8,635,15,13.38,False
6323,2024-12-18,24.5,24.64,23.72,23.74,,6765606.0,34.3596,25.2291,24.8403,24.243,25.5167,27.8,636,16,17.1,False
6324,2024-12-19,24.05,24.15,23.64,23.67,,6998834.0,33.8594,25.0806,24.8305,24.227,25.5078,27.79,637,17,17.41,False
6325,2024-12-20,23.52,23.93,23.45,23.68,,18271255.0,34.0072,24.9472,24.8179,24.2101,25.4995,27.78,638,18,17.31,False
6326,2024-12-23,23.61,24.09,23.46,24.06,,5240337.0,39.5364,24.8627,24.8053,24.201,25.4922,27.78,639,19,15.46,False
6327,2024-12-24,24.19,24.74,23.96,24.73,,3660492.0,47.8353,24.8501,24.8157,24.2112,25.4878,27.77,640,20,12.29,False
6328,2024-12-26,24.58,24.62,24.29,24.58,,3686245.0,46.3031,24.8244,24.8295,24.2284,25.4823,27.76,641,21,12.94,False
6329,2024-12-27,24.53,24.89,24.48,24.64,,3465985.0,47.0339,24.8068,24.8514,24.2436,25.4753,27.76,642,22,12.66,False
6330,2024-12-30,25.03,25.75,24.82,25.52,,6351883.0,56.4058,24.8747,24.8843,24.2684,25.4731,27.75,643,23,8.74,False
