index,time,open,high,low,close,Volume,volume,rsi,ema20,ma50,ma100,ma200,trendline,duration_from_date1,duration_from_date2,distance,breakthrough
1386,2024-11-25,61.46,64.03,61.46,63.96,,9733858.0,68.2418,59.3283,58.6793,56.2498,55.3468,64.03,518,0,0.11,False
1387,2024-11-26,63.17,63.7,62.59,63.08,,3959123.0,63.9937,59.6854,58.8032,56.3664,55.3902,64.02,519,1,1.49,False
1388,2024-11-27,63.19,63.93,62.19,62.33,,2517699.0,60.535,59.9372,58.9041,56.4854,55.4368,64.02,520,2,2.71,False
1389,2024-11-29,61.61,62.39,61.14,62.07,,2467367.0,59.3377,60.1404,58.9767,56.5988,55.4799,64.01,521,3,3.13,False
1390,2024-12-02,62.25,62.47,61.57,62.23,,3224762.0,59.8638,60.3394,59.0728,56.7015,55.5209,64.01,522,4,2.86,False
1391,2024-12-03,62.4,62.49,61.61,62.0,,2630961.0,58.6852,60.4975,59.156,56.7935,55.5601,64.0,523,5,3.23,False
1392,2024-12-04,61.53,61.78,60.96,61.17,,2407734.0,54.514,60.5616,59.2255,56.8793,55.5973,64.0,524,6,4.63,False
1393,2024-12-05,61.2,61.49,60.74,60.78,,2475336.0,52.6214,60.5824,59.3013,56.9482,55.6333,63.99,525,7,5.28,False
1394,2024-12-06,60.37,60.98,59.42,59.49,,2953720.0,46.8299,60.4784,59.3338,56.9909,55.6604,63.99,526,8,7.56,False
1395,2024-12-09,59.81,60.82,59.66,59.74,,3394393.0,48.0238,60.408,59.3602,57.0395,55.6878,63.98,527,9,7.1,False
1396,2024-12-10,59.79,59.89,58.15,59.42,,3749204.0,46.582,60.3139,59.376,57.089,55.714,63.98,528,10,7.67,False
1397,2024-12-11,59.53,60.5,59.32,59.78,,5431331.0,48.4568,60.2631,59.415,57.1423,55.7404,63.97,529,11,7.01,False
1398,2024-12-12,59.81,60.14,59.27,59.3,,2009535.0,46.132,60.1714,59.4314,57.1945,55.7674,63.97,530,12,7.88,False
1399,2024-12-13,59.25,59.75,58.71,59.49,,1990520.0,47.2116,60.1065,59.4625,57.2543,55.7996,63.96,531,13,7.51,False
1400,2024-12-16,59.34,60.09,58.92,58.95,,3978507.0,44.4829,59.9963,59.4781,57.2942,55.8284,63.96,532,14,8.5,False
1401,2024-12-17,58.64,59.1,57.77,58.57,,4885323.0,42.6162,59.8605,59.5034,57.3292,55.8555,63.95,533,15,9.19,False
1402,2024-12-18,58.47,58.99,56.37,56.41,,4224083.0,33.9064,59.5319,59.4969,57.3419,55.8702,63.95,534,16,13.37,False
1403,2024-12-19,56.79,56.93,56.16,56.16,,4026757.0,33.0641,59.2107,59.4932,57.3514,55.8832,63.94,535,17,13.85,False
1404,2024-12-20,56.42,57.89,56.3,57.48,,11010653.0,41.3488,59.0459,59.5149,57.3684,55.9005,63.94,536,18,11.24,False
1405,2024-12-23,57.57,57.66,56.15,56.92,,2456521.0,39.1357,58.8434,59.5196,57.4107,55.9141,63.93,537,19,12.32,False
1406,2024-12-24,57.14,57.52,56.4,57.48,,986414.0,42.4527,58.7136,59.5171,57.4727,55.9285,63.93,538,20,11.22,False
1407,2024-12-26,56.89,57.82,56.62,57.43,,1401604.0,42.2314,58.5913,59.5229,57.5368,55.9425,63.92,539,21,11.3,False
1408,2024-12-27,56.97,57.92,56.95,57.24,,1502106.0,41.3493,58.4626,59.4919,57.6004,55.9546,63.92,540,22,11.67,False
1409,2024-12-30,56.68,56.96,56.22,56.56,,1802032.0,38.2685,58.2814,59.4473,57.6611,55.9638,63.91,541,23,13.0,False
