index,time,open,high,low,close,Volume,volume,rsi,ema20,ma50,ma100,ma200,trendline,duration_from_date1,duration_from_date2,distance,breakthrough
1772,2021-10-05,118.72,119.59,114.59,114.76,,2535507.0,60.6822,110.3797,99.7916,100.7609,93.7496,119.59,2,0,4.21,False
1773,2021-10-06,113.01,116.09,112.43,114.34,,1922722.0,59.8487,110.7569,100.2282,100.9182,93.944,119.48,3,1,4.5,False
1774,2021-10-07,115.0,118.17,114.69,116.15,,1937863.0,62.2549,111.2705,100.7038,101.076,94.1557,119.37,4,2,2.77,False
1775,2021-10-08,116.5,117.55,113.77,113.96,,985965.0,57.7457,111.5267,101.1858,101.2141,94.3539,119.26,5,3,4.65,False
1776,2021-10-11,114.44,116.67,113.5,114.77,,1363102.0,58.9306,111.8355,101.734,101.3968,94.5444,119.15,6,4,3.82,False
1777,2021-10-12,115.18,118.94,115.18,117.06,,1974955.0,62.1611,112.3331,102.3452,101.5615,94.7504,119.04,7,5,1.69,False
1778,2021-10-13,116.26,116.55,113.96,114.96,,1556530.0,57.6804,112.5833,102.9088,101.709,94.957,118.93,8,6,3.45,False
1779,2021-10-14,115.83,117.25,113.42,114.52,,2360512.0,56.7572,112.7677,103.4994,101.8034,95.1628,118.82,9,7,3.75,False
1780,2021-10-15,116.08,116.75,110.34,110.71,,2505810.0,49.3866,112.5718,103.9036,101.8399,95.3479,118.71,10,8,7.23,False
1781,2021-10-18,110.39,113.13,109.57,113.0,,1270758.0,53.3112,112.6126,104.3536,101.9039,95.5416,118.6,11,9,4.96,False
1782,2021-10-19,114.09,115.88,113.1,113.93,,1250086.0,54.8426,112.738,104.8154,101.9639,95.7532,118.5,12,10,4.01,False
1783,2021-10-20,113.47,114.95,111.3,113.53,,1170119.0,54.0218,112.8134,105.2746,102.0247,95.947,118.39,13,11,4.28,False
1784,2021-10-21,112.33,114.84,112.33,113.31,,965054.0,53.5472,112.8607,105.6818,102.0623,96.1324,118.28,14,12,4.39,False
1785,2021-10-22,113.19,113.82,111.17,112.05,,928127.0,50.7945,112.7835,106.0476,102.0858,96.3023,118.17,15,13,5.46,False
1786,2021-10-25,111.5,113.33,111.2,111.94,,1057880.0,50.5502,112.7032,106.466,102.1095,96.468,118.06,16,14,5.47,False
1787,2021-10-26,113.16,115.95,112.7,112.78,,1432027.0,52.4318,112.7105,106.9736,102.1309,96.6405,117.95,17,15,4.58,False
1788,2021-10-27,112.01,112.59,110.22,110.76,,1105017.0,47.7286,112.5247,107.5066,102.1325,96.7989,117.84,18,16,6.39,False
1789,2021-10-28,110.95,111.71,109.08,110.89,,1077187.0,48.0516,112.3691,108.0242,102.1244,96.9708,117.74,19,17,6.18,False
1790,2021-10-29,110.39,112.19,108.11,109.46,,1793321.0,44.7745,112.092,108.564,102.1107,97.1273,117.63,20,18,7.46,False
1791,2021-11-01,109.79,113.45,108.37,112.06,,1594706.0,51.2804,112.089,109.0924,102.1173,97.2876,117.52,21,19,4.87,False
