index,time,open,high,low,close,Volume,volume,rsi,ema20,ma50,ma100,ma200,trendline,duration_from_date1,duration_from_date2,distance,breakthrough
5061,2024-12-09,192.21,192.95,185.69,186.94,,2309553.0,55.3788,186.4313,174.8136,162.7784,152.4716,192.95,6,0,3.21,False
5062,2024-12-10,186.77,187.44,183.99,184.49,,1865963.0,50.7038,186.2468,175.2881,163.0935,152.7253,192.33,7,1,4.25,False
5063,2024-12-11,185.47,187.2,184.95,185.99,,1836416.0,53.3093,186.2227,175.8236,163.4198,152.9851,191.72,8,2,3.08,False
5064,2024-12-12,185.66,187.97,185.28,185.9,,2061173.0,53.1291,186.1923,176.3706,163.7499,153.2226,191.1,9,3,2.8,False
5065,2024-12-13,186.78,187.35,184.91,185.04,,1566862.0,51.3226,186.0826,176.946,164.1051,153.436,190.49,10,4,2.95,False
5066,2024-12-16,185.22,187.8,184.9,185.47,,1258087.0,52.1935,186.0243,177.5359,164.5069,153.6332,189.88,11,5,2.38,False
5067,2024-12-17,184.4,186.37,183.48,185.0,,1507994.0,51.117,185.9267,178.127,164.9209,153.813,189.27,12,6,2.31,False
5068,2024-12-18,184.76,185.27,176.66,176.96,,2407587.0,37.042,185.0727,178.5214,165.2394,153.9694,188.67,13,7,6.62,False
5069,2024-12-19,177.52,180.7,176.31,176.81,,2977405.0,36.8382,184.2858,178.8958,165.5776,154.1271,188.06,14,8,6.36,False
5070,2024-12-20,176.81,181.47,175.78,178.57,,4801685.0,40.9438,183.7414,179.311,165.8895,154.2854,187.46,15,9,4.98,False
5071,2024-12-23,178.69,179.12,176.55,178.47,,2167104.0,40.7816,183.2394,179.6869,166.1728,154.4531,186.86,16,10,4.7,False
5072,2024-12-24,178.37,180.4,177.95,180.4,,683745.0,45.2867,182.969,180.0765,166.4897,154.6496,186.26,17,11,3.25,False
5073,2024-12-26,179.19,179.99,178.5,179.5,,693638.0,43.6202,182.6386,180.4634,166.8604,154.8382,185.66,18,12,3.43,False
5074,2024-12-27,178.22,179.62,177.33,178.14,,822874.0,41.1556,182.2102,180.8049,167.1765,155.0311,185.07,19,13,3.89,False
5075,2024-12-30,176.47,177.0,174.46,176.22,,1027680.0,37.8999,181.6397,181.0769,167.488,155.2139,184.48,20,14,4.69,False
