index,time,open,high,low,close,Volume,volume,rsi,ema20,ma50,ma100,ma200,trendline,duration_from_date1,duration_from_date2,distance,breakthrough
6318,2024-12-11,202.66,203.35,200.81,201.2,,513957.0,52.3237,201.4835,196.1359,188.998,182.9097,203.35,9,0,1.07,False
6319,2024-12-12,200.8,202.52,200.63,201.36,,566340.0,52.8078,201.4718,196.3672,189.2174,183.1013,202.87,10,1,0.75,False
6320,2024-12-13,200.93,201.79,199.71,201.01,,687308.0,51.5741,201.4278,196.6041,189.4735,183.2861,202.39,11,2,0.69,False
6321,2024-12-16,200.03,201.47,199.16,199.75,,594889.0,47.2911,201.268,196.8303,189.6175,183.455,201.91,12,3,1.08,False
6322,2024-12-17,198.72,199.72,195.38,196.54,,885648.0,38.5156,200.8177,197.0199,189.7404,183.6051,201.43,13,4,2.49,False
6323,2024-12-18,196.92,197.9,188.74,188.81,,765301.0,26.0024,199.6741,197.0622,189.7735,183.7195,200.95,14,5,6.43,False
6324,2024-12-19,190.93,192.23,188.72,188.94,,893329.0,26.4353,198.6518,197.1287,189.8275,183.8164,200.47,15,6,6.1,False
6325,2024-12-20,188.53,190.62,187.5,189.27,,2381268.0,27.5932,197.7583,197.191,189.8873,183.9102,200.0,16,7,5.67,False
6326,2024-12-23,188.36,189.44,186.96,188.81,,610995.0,26.9563,196.9061,197.1629,189.9933,184.0059,199.53,17,8,5.68,False
6327,2024-12-24,188.45,190.53,188.45,190.33,,215467.0,32.5006,196.2798,197.1046,190.1516,184.1097,199.05,18,9,4.58,False
6328,2024-12-26,189.48,191.49,189.27,190.91,,299059.0,34.5424,195.7684,197.1067,190.3424,184.1949,198.58,19,10,4.02,False
6329,2024-12-27,189.31,191.49,187.65,188.33,,457439.0,30.1706,195.06,197.0271,190.49,184.2576,198.11,20,11,5.19,False
6330,2024-12-30,187.0,188.0,184.63,186.32,,704836.0,27.2744,194.2276,196.8657,190.6373,184.3208,197.64,21,12,6.08,False
