index,time,open,high,low,close,Volume,volume,rsi,ema20,ma50,ma100,ma200,trendline,duration_from_date1,duration_from_date2,distance,breakthrough
5580,2022-01-04,355.02,356.8,351.23,354.78,,1012723.0,63.3108,344.5411,332.4816,320.2587,306.8187,356.8,1,0,0.57,False
5581,2022-01-05,350.14,351.73,339.75,339.75,,2075060.0,48.6793,344.0853,332.9897,320.5506,307.1824,356.59,2,1,4.96,False
5582,2022-01-06,340.6,341.15,336.79,339.07,,1096245.0,48.1317,343.6074,333.4653,320.8224,307.5251,356.38,3,2,5.11,False
5583,2022-01-07,338.7,341.04,333.99,338.63,,936463.0,47.762,343.1333,334.0403,321.141,307.86,356.17,4,3,5.18,False
5584,2022-01-10,333.45,333.54,318.05,320.46,,1863381.0,35.5804,340.9743,334.2495,321.3114,308.075,355.96,5,4,11.08,False
5585,2022-01-11,320.57,325.29,316.34,324.93,,1018699.0,39.6545,339.4461,334.5702,321.4474,308.3206,355.75,6,5,9.49,False
5586,2022-01-12,328.17,333.4,326.63,329.68,,1589809.0,43.7324,338.516,334.9704,321.6044,308.5683,355.54,7,6,7.84,False
5587,2022-01-13,329.68,330.86,316.74,319.02,,1255810.0,37.5957,336.6595,334.9009,321.5968,308.7829,355.33,8,7,11.38,False
5588,2022-01-14,315.22,315.95,304.01,307.26,,2548018.0,32.2208,333.8595,334.5626,321.459,308.9317,355.12,9,8,15.58,False
5589,2022-01-18,300.25,302.58,295.21,296.67,,2413284.0,28.2986,330.3175,334.0245,321.2371,309.0136,354.92,10,9,19.63,False
5590,2022-01-19,300.43,304.42,294.82,295.3,,1905857.0,27.8286,326.9829,333.2733,320.9904,309.0899,354.71,11,10,20.12,False
5591,2022-01-20,297.07,301.27,286.28,287.23,,2036266.0,25.1657,323.1972,332.3629,320.6218,309.1253,354.5,12,11,23.42,False
5592,2022-01-21,286.22,288.67,283.13,283.38,,2239783.0,23.9853,319.405,331.4195,320.1843,309.1251,354.29,13,12,25.02,False
5593,2022-01-24,280.5,289.78,270.52,287.93,,2642610.0,28.2635,316.4073,330.6045,319.8208,309.1307,354.08,14,13,22.97,False
5594,2022-01-25,284.17,286.51,279.49,280.7,,1816465.0,25.7805,313.0064,329.6582,319.3486,309.095,353.87,15,14,26.07,False
5595,2022-01-26,284.72,290.45,275.86,279.13,,1834806.0,25.2633,309.7804,328.6366,318.8631,309.0526,353.66,16,15,26.7,False
5596,2022-01-27,284.45,290.89,280.73,284.49,,2220899.0,30.4146,307.3723,327.6965,318.4525,309.0303,353.46,17,16,24.24,False
5597,2022-01-28,281.36,290.18,278.6,289.84,,1938265.0,35.2069,305.7023,326.8204,318.1359,309.0312,353.25,18,17,21.88,False
