index,time,open,high,low,close,Volume,volume,rsi,ema20,ma50,ma100,ma200,trendline,duration_from_date1,duration_from_date2,distance,breakthrough
6266,2024-09-27,113.27,113.52,111.13,111.42,,836054.0,72.285,104.5593,99.1039,98.204,93.0939,113.52,676,0,1.88,False
6267,2024-09-30,111.34,112.07,109.95,110.99,,729530.0,70.6566,105.1722,99.4121,98.3319,93.2429,113.52,677,1,2.28,False
6268,2024-10-01,111.05,111.05,109.06,109.69,,877904.0,65.7593,105.6021,99.691,98.4454,93.3735,113.51,678,2,3.48,False
6269,2024-10-02,109.42,109.92,108.76,109.21,,537404.0,64.0216,105.9458,99.9577,98.5509,93.4897,113.51,679,3,3.94,False
6270,2024-10-03,108.54,108.75,106.55,107.01,,1004797.0,56.5751,106.0471,100.2013,98.635,93.5969,113.5,680,4,6.06,False
6271,2024-10-04,108.48,108.91,107.03,108.07,,764000.0,59.0475,106.2397,100.4512,98.7298,93.7124,113.5,681,5,5.02,False
6272,2024-10-07,107.66,108.5,106.88,108.34,,820335.0,59.6715,106.4395,100.6358,98.8301,93.8245,113.49,682,6,4.75,False
6273,2024-10-08,107.35,108.0,105.98,107.35,,1071471.0,56.2529,106.5259,100.7903,98.9197,93.9356,113.49,683,7,5.72,False
6274,2024-10-09,107.46,109.18,106.91,108.78,,567716.0,59.8452,106.741,100.9338,99.0309,94.0484,113.48,684,8,4.32,False
6275,2024-10-10,108.78,109.82,108.15,109.17,,495338.0,60.7781,106.9724,101.0839,99.143,94.1603,113.48,685,9,3.95,False
6276,2024-10-11,109.48,110.3,109.48,109.63,,523498.0,61.9023,107.2251,101.2752,99.2574,94.2716,113.47,686,10,3.5,False
6277,2024-10-14,108.94,109.8,108.38,109.47,,873605.0,61.2447,107.4388,101.5461,99.3766,94.3801,113.47,687,11,3.65,False
6278,2024-10-15,109.45,110.84,108.74,109.38,,934592.0,60.8531,107.6235,101.8802,99.5001,94.4895,113.47,688,12,3.74,False
6279,2024-10-16,107.94,109.93,107.55,107.79,,952187.0,54.2163,107.6396,102.158,99.6114,94.594,113.46,689,13,5.26,False
6280,2024-10-17,108.4,108.6,107.06,108.52,,610576.0,56.545,107.7231,102.4821,99.7183,94.7042,113.46,690,14,4.55,False
6281,2024-10-18,109.06,109.11,107.26,107.91,,872352.0,54.0702,107.741,102.7618,99.8144,94.8181,113.45,691,15,5.13,False
6282,2024-10-21,107.75,108.04,106.07,106.9,,513773.0,50.12,107.661,103.0292,99.9226,94.9255,113.45,692,16,6.13,False
6283,2024-10-22,106.54,106.86,105.54,106.15,,848944.0,47.3446,107.5167,103.2912,100.0001,95.0248,113.44,693,17,6.87,False
6284,2024-10-23,105.59,106.62,104.92,106.07,,745655.0,47.0493,107.3787,103.5307,100.0718,95.1254,113.44,694,18,6.95,False
6285,2024-10-24,106.81,107.11,105.13,105.81,,637908.0,46.044,107.2293,103.7655,100.1678,95.2298,113.43,695,19,7.2,False
6286,2024-10-25,105.94,106.11,104.34,104.53,,603275.0,41.3258,106.9722,103.9198,100.2615,95.328,113.43,696,20,8.51,False
6287,2024-10-28,105.43,105.95,104.79,105.79,,692419.0,47.0756,106.8596,104.1121,100.3588,95.4358,113.43,697,21,7.22,False
6288,2024-10-29,104.7,105.42,103.79,103.95,,634797.0,40.7736,106.5821,104.2704,100.4125,95.5351,113.42,698,22,9.11,False
6289,2024-10-30,104.42,105.99,103.95,104.09,,693221.0,41.4543,106.3452,104.4372,100.4452,95.6382,113.42,699,23,8.96,False
6290,2024-10-31,104.04,104.89,103.49,104.19,,1318199.0,41.9334,106.1402,104.5723,100.48,95.7446,113.41,700,24,8.85,False
6291,2024-11-01,101.13,103.65,99.15,100.22,,1789392.0,30.9836,105.5762,104.6339,100.4721,95.8249,113.41,701,25,13.16,False
6292,2024-11-04,101.0,101.51,99.08,99.2,,1196609.0,28.8963,104.9686,104.6342,100.4501,95.9013,113.4,702,26,14.31,False
6293,2024-11-05,98.23,100.06,97.33,100.02,,1127746.0,32.8235,104.4972,104.6466,100.4493,95.9787,113.4,703,27,13.38,False
6294,2024-11-06,104.1,104.13,101.62,102.8,,1751831.0,44.0502,104.3352,104.7224,100.5061,96.0735,113.39,704,28,10.3,False
