index,time,open,high,low,close,Volume,volume,rsi,ema20,ma50,ma100,ma200,trendline,duration_from_date1,duration_from_date2,distance,breakthrough
2695,2022-12-14,325.99,338.1,324.8,332.8,,2754973.0,60.3136,316.1694,290.959,291.1011,237.7819,338.1,7,0,1.59,False
2696,2022-12-15,324.9,334.84,312.14,314.06,,3471675.0,50.8774,315.9685,292.0082,292.0807,238.5327,337.84,8,1,7.57,False
2697,2022-12-16,309.95,313.0,299.01,303.39,,4635819.0,46.424,314.7706,292.927,292.5669,239.2545,337.58,9,2,11.27,False
2698,2022-12-19,308.11,312.91,301.0,305.01,,2349173.0,47.1799,313.841,293.9242,292.8752,239.9888,337.32,10,3,10.59,False
2699,2022-12-20,302.52,310.09,293.2,302.07,,2257382.0,45.9137,312.72,294.802,293.0541,240.7051,337.06,11,4,11.58,False
2700,2022-12-21,302.45,317.82,290.06,317.1,,3877335.0,52.8764,313.1371,296.028,293.4162,241.4107,336.81,12,5,6.22,False
2701,2022-12-22,312.62,316.0,291.87,298.87,,3085488.0,45.265,311.7783,297.0428,293.4823,242.0057,336.55,13,6,12.61,False
2702,2022-12-23,302.57,303.0,288.27,293.95,,2338842.0,43.4473,310.0804,297.9478,293.5193,242.5818,336.29,14,7,14.4,False
2703,2022-12-27,292.42,293.03,273.77,274.54,,3282559.0,37.115,306.6956,298.6812,293.3065,243.0992,336.03,15,8,22.4,False
2704,2022-12-28,272.16,273.09,262.52,267.38,,2891941.0,35.0837,302.9513,299.183,292.9712,243.6479,335.77,16,9,25.58,False
2705,2022-12-29,271.92,274.44,264.14,265.49,,3300660.0,34.5462,299.3835,299.4644,292.7487,244.1521,335.52,17,10,26.38,False
2706,2022-12-30,260.95,265.72,258.47,264.96,,2350107.0,34.3871,296.1051,299.8998,292.4901,244.5909,335.26,18,11,26.53,False
2707,2023-01-03,269.17,271.72,250.51,253.31,,3091412.0,31.007,292.0294,300.0802,291.9907,244.9532,335.0,19,12,32.25,False
2708,2023-01-04,252.45,256.22,246.76,251.64,,3604487.0,30.5435,288.1828,300.073,291.5781,245.2888,334.75,20,13,33.03,False
2709,2023-01-05,248.55,251.85,239.41,240.37,,4099257.0,27.5505,283.6292,299.8144,290.9892,245.5634,334.49,21,14,39.16,False
2710,2023-01-06,240.82,241.74,230.1,233.65,,5401545.0,25.9195,278.8692,299.1756,290.3144,245.7854,334.23,22,15,43.05,False
2711,2023-01-09,236.36,243.17,227.14,227.94,,4657991.0,24.5876,274.0188,297.897,289.6644,245.9741,333.98,23,16,46.52,False
2712,2023-01-10,227.36,233.45,224.45,229.83,,3655783.0,25.9441,269.8104,296.372,289.0314,246.1341,333.72,24,17,45.2,False
2713,2023-01-11,229.22,242.0,229.01,238.82,,5298592.0,32.1921,266.8589,295.0434,288.4796,246.3591,333.46,25,18,39.63,False
2714,2023-01-12,240.86,243.22,230.55,241.72,,3699830.0,34.123,264.4647,293.7378,288.0598,246.5901,333.21,26,19,37.85,False
2715,2023-01-13,238.41,251.65,238.41,245.83,,3965452.0,36.8667,262.69,292.6648,287.7105,246.8075,332.95,27,20,35.44,False
2716,2023-01-17,249.08,260.98,245.17,251.06,,4427975.0,40.2756,261.5824,291.896,287.367,247.0795,332.7,28,21,32.52,False
2717,2023-01-18,255.0,260.0,245.4,250.31,,3632192.0,39.9425,260.5088,290.98,286.9392,247.3222,332.44,29,22,32.81,False
2718,2023-01-19,245.9,249.25,222.91,222.97,,6219688.0,30.1533,256.9337,289.7906,286.1708,247.4076,332.19,30,23,48.98,False
2719,2023-01-20,224.75,227.9,219.83,222.54,,6102237.0,30.0287,253.6581,288.8648,285.5103,247.4384,331.93,31,24,49.16,False
2720,2023-01-23,223.58,234.32,217.97,228.44,,4818285.0,34.0568,251.2564,287.8322,284.9465,247.5244,331.68,32,25,45.19,False
2721,2023-01-24,222.5,223.95,215.28,219.47,,5967625.0,31.1233,248.2291,286.5266,284.2835,247.6018,331.42,33,26,51.01,False
2722,2023-01-25,207.17,211.71,201.68,210.32,,6627850.0,28.4328,244.6187,284.548,283.5223,247.6187,331.17,34,27,57.46,False
2723,2023-01-26,213.9,214.49,203.61,208.02,,3510148.0,27.7827,241.1331,282.8682,282.7839,247.6831,330.92,35,28,59.08,False
2724,2023-01-27,206.65,213.59,204.67,210.09,,3731410.0,29.3485,238.1766,281.1112,282.0941,247.7941,330.66,36,29,57.39,False
2725,2023-01-30,208.43,217.99,206.25,212.22,,4017912.0,31.0061,235.7046,279.341,281.2881,247.9255,330.41,37,30,55.69,False
2726,2023-01-31,212.17,221.58,212.15,221.38,,4161948.0,37.7683,234.3403,277.665,280.3388,248.0662,330.16,38,31,49.14,False
2727,2023-02-01,221.26,229.64,216.91,227.14,,4137604.0,41.6417,233.6546,275.9486,279.4361,248.2494,329.9,39,32,45.24,False
2728,2023-02-02,232.7,235.9,222.2,227.7,,4405246.0,42.0195,233.0875,274.2638,278.6561,248.4377,329.65,40,33,44.77,False
2729,2023-02-03,220.0,227.9,219.43,222.93,,2506050.0,39.6639,232.1201,272.5604,277.7961,248.5744,329.4,41,34,47.76,False
2730,2023-02-06,224.13,231.68,220.57,222.99,,3758653.0,39.7096,231.2506,270.6114,276.971,248.7967,329.15,42,35,47.61,False
2731,2023-02-07,225.88,230.11,219.56,228.46,,6312290.0,43.89,230.9848,268.865,276.0494,249.1562,328.89,43,36,43.96,False
2732,2023-02-08,246.9,247.0,214.79,218.87,,14098017.0,38.8094,229.831,266.854,275.1163,249.4824,328.64,44,37,50.15,False
2733,2023-02-09,221.71,222.49,202.76,209.6,,9220446.0,34.6356,227.9042,264.8018,274.0322,249.7424,328.39,45,38,56.67,False
2734,2023-02-10,208.91,220.29,206.86,212.07,,6710943.0,36.5924,226.3962,262.9754,272.9906,250.0336,328.14,46,39,54.73,False
2735,2023-02-13,212.88,217.07,208.5,212.57,,3597030.0,37.0035,225.0794,260.815,272.0692,250.2679,327.89,47,40,54.25,False
2736,2023-02-14,208.0,211.39,199.03,208.35,,6190897.0,34.9442,223.4862,258.702,271.1071,250.4873,327.63,48,41,57.25,False
2737,2023-02-15,208.88,218.62,207.17,217.87,,4547465.0,42.6924,222.9513,256.3394,270.4495,250.7696,327.38,49,42,50.26,False
2738,2023-02-16,212.5,217.12,202.67,202.8,,4941031.0,35.4872,221.0321,253.679,269.6826,250.942,327.13,50,43,61.31,False
2739,2023-02-17,202.65,206.58,202.04,204.99,,4082797.0,37.1473,219.5043,251.5842,268.9833,251.0943,326.88,51,44,59.46,False
2740,2023-02-21,203.69,207.0,200.5,201.65,,3275578.0,35.6409,217.8039,249.2762,268.1517,251.1428,326.63,52,45,61.98,False
2741,2023-02-22,202.47,205.0,198.5,203.57,,2399699.0,37.217,216.4483,246.9502,267.2643,251.255,326.38,53,46,60.33,False
2742,2023-02-23,207.0,208.82,198.13,204.71,,2971838.0,38.185,215.3303,244.6534,266.533,251.4491,326.13,54,47,59.31,False
2743,2023-02-24,199.46,203.16,196.25,198.96,,2776834.0,35.2343,213.7713,242.2154,265.7479,251.6913,325.88,55,48,63.79,False
2744,2023-02-27,205.47,213.28,203.36,210.78,,4119834.0,44.6951,213.4864,239.9112,264.9896,251.987,325.63,56,49,54.49,False
2745,2023-02-28,209.82,213.49,207.15,210.53,,2807004.0,44.5469,213.2048,237.4658,264.2124,252.3519,325.38,57,50,54.55,False
2746,2023-03-01,212.21,216.38,210.0,212.95,,2632958.0,46.3999,213.1806,235.4436,263.7259,252.7119,325.13,58,51,52.68,False
2747,2023-03-02,209.34,212.35,207.44,211.56,,1804700.0,45.4602,213.0262,233.607,263.267,252.9808,324.88,59,52,53.56,False
2748,2023-03-03,213.36,219.18,210.77,217.16,,2547321.0,49.8652,213.4199,231.85,262.8871,253.3114,324.63,60,53,49.49,False
2749,2023-03-06,218.57,230.44,217.61,225.35,,4529601.0,55.523,214.5561,230.3156,262.5588,253.6476,324.38,61,54,43.94,False
2750,2023-03-07,225.17,227.67,219.46,224.21,,2938489.0,54.5994,215.4755,228.4578,262.2429,253.9878,324.13,62,55,44.57,False
