index,time,open,high,low,close,Volume,volume,rsi,ema20,ma50,ma100,ma200,trendline,duration_from_date1,duration_from_date2,distance,breakthrough
6119,2024-12-09,985.77,989.84,962.08,968.98,,476078.0,62.6877,948.7458,908.2952,865.1735,820.7058,989.84,7,0,2.15,False
6120,2024-12-10,973.53,973.53,951.25,961.72,,469428.0,59.0494,949.9814,909.8605,867.0001,821.2138,989.24,8,1,2.86,False
6121,2024-12-11,965.51,975.92,962.14,973.57,,388105.0,62.8404,952.2279,911.755,868.826,821.7825,988.65,9,2,1.55,False
6122,2024-12-12,977.22,986.5,972.73,975.3,,284476.0,63.3735,954.4253,913.6124,870.6285,822.2673,988.05,10,3,1.31,False
6123,2024-12-13,970.15,982.98,963.04,965.0,,394573.0,58.0352,955.4324,915.4705,872.4153,822.7155,987.45,11,4,2.33,False
6124,2024-12-16,965.0,972.02,955.5,957.98,,515195.0,54.656,955.675,917.175,874.3779,823.071,986.86,12,5,3.01,False
6125,2024-12-17,954.27,971.43,945.45,960.84,,438698.0,55.7856,956.1669,919.0735,876.3382,823.3762,986.26,13,6,2.65,False
6126,2024-12-18,954.18,963.34,925.64,926.38,,650807.0,42.1585,953.3301,920.233,877.913,823.5982,985.67,14,7,6.4,False
6127,2024-12-19,925.01,938.96,920.4,921.57,,685376.0,40.6653,950.3053,921.2117,879.5169,823.7416,985.07,15,8,6.89,False
6128,2024-12-20,922.62,936.47,919.29,927.22,,1434622.0,43.2098,948.1067,922.4272,880.9646,823.916,984.48,16,9,6.18,False
6129,2024-12-23,932.33,942.27,923.01,939.59,,488659.0,48.4245,947.2956,923.8698,882.3287,824.1324,983.88,17,10,4.71,False
6130,2024-12-24,939.59,950.01,937.7,950.01,,168351.0,52.3904,947.5541,925.6311,883.8418,824.4824,983.29,18,11,3.5,False
6131,2024-12-26,949.27,952.23,943.0,948.39,,234852.0,51.7245,947.6337,927.1209,885.7191,824.828,982.7,19,12,3.62,False
6132,2024-12-27,939.9,950.16,939.51,942.66,,289731.0,49.3358,947.16,928.453,887.377,825.2709,982.11,20,13,4.18,False
6133,2024-12-30,937.92,938.96,929.18,935.93,,298551.0,46.613,946.0905,929.4782,889.0103,825.6924,981.51,21,14,4.87,False
