index,time,open,high,low,close,Volume,volume,rsi,ema20,ma50,ma100,ma200,trendline,duration_from_date1,duration_from_date2,distance,breakthrough
6313,2024-12-04,375.27,378.47,375.02,377.52,,1479767.0,64.567,366.5989,349.7184,324.4929,318.9951,378.47,5,0,0.25,False
6314,2024-12-05,377.52,377.82,370.0,371.05,,1624982.0,57.3633,367.0228,350.587,324.8997,319.4816,378.17,6,1,1.92,False
6315,2024-12-06,371.74,373.28,369.25,371.22,,1479208.0,57.4975,367.4226,351.3699,325.5163,319.9322,377.86,7,2,1.79,False
6316,2024-12-09,371.44,373.0,358.33,364.06,,2338584.0,50.3153,367.1023,352.1006,326.0856,320.3454,377.56,8,3,3.71,False
6317,2024-12-10,363.54,364.02,357.95,358.49,,1891125.0,45.5487,366.2821,352.6604,326.5711,320.7338,377.26,9,4,5.24,False
6318,2024-12-11,364.41,365.0,353.33,361.91,,2440767.0,48.7586,365.8657,353.3656,327.0071,321.1429,376.96,10,5,4.16,False
6319,2024-12-12,361.93,363.06,358.07,358.64,,1223582.0,45.9683,365.1776,353.9971,327.3942,321.5189,376.65,11,6,5.02,False
6320,2024-12-13,359.76,360.82,355.89,356.01,,1165048.0,43.7974,364.3045,354.5966,327.9771,321.8717,376.35,12,7,5.71,False
6321,2024-12-16,355.75,357.5,353.54,355.15,,1506252.0,43.081,363.4326,355.0575,328.6181,322.197,376.05,13,8,5.88,False
6322,2024-12-17,351.38,351.55,344.67,347.08,,2562618.0,36.9695,361.8752,355.3254,329.1296,322.4678,375.75,14,9,8.26,False
6323,2024-12-18,349.0,349.59,334.71,335.12,,2491734.0,30.1445,359.3271,355.3352,329.5333,322.7016,375.45,15,10,12.03,False
6324,2024-12-19,339.9,340.1,334.33,335.64,,2667771.0,30.7431,357.0712,355.3022,330.0353,322.9144,375.15,16,11,11.77,False
6325,2024-12-20,333.28,342.01,332.12,338.12,,4862574.0,33.663,355.2663,355.3449,330.3876,323.1178,374.85,17,12,10.86,False
6326,2024-12-23,337.13,338.52,334.2,337.71,,1704697.0,33.4122,353.5943,355.2906,330.8046,323.3325,374.55,18,13,10.91,False
6327,2024-12-24,338.68,341.69,337.2,341.54,,507543.0,38.0551,352.4462,355.2288,331.4349,323.5902,374.25,19,14,9.58,False
6328,2024-12-26,340.85,341.83,338.75,340.16,,1196501.0,37.0526,351.2761,355.2903,332.119,323.8159,373.95,20,15,9.93,False
6329,2024-12-27,336.82,338.85,331.28,334.63,,1601675.0,33.2704,349.6908,355.1802,332.6967,324.0016,373.65,21,16,11.66,False
6330,2024-12-30,329.14,334.07,327.54,332.38,,1400317.0,31.846,348.0421,354.8777,333.2516,324.1758,373.35,22,17,12.33,False
