index,time,open,high,low,close,Volume,volume,rsi,ema20,ma50,ma100,ma200,trendline,duration_from_date1,duration_from_date2,distance,breakthrough
5553,2022-04-21,129.07,131.1,125.44,125.61,,3814427.0,62.1139,120.1824,113.3528,115.5258,115.0673,131.1,77,0,4.37,False
5554,2022-04-22,124.01,124.19,118.08,118.38,,3237067.0,49.4787,120.0108,113.4686,115.6025,115.1182,131.09,78,1,10.74,False
5555,2022-04-25,118.0,119.9,116.64,119.8,,2830299.0,51.5627,119.9907,113.6518,115.7274,115.1797,131.08,79,2,9.42,False
5556,2022-04-26,118.67,119.89,116.01,116.27,,3434787.0,46.4347,119.6363,113.7972,115.8158,115.2268,131.08,80,3,12.74,False
5557,2022-04-27,114.0,115.69,109.67,109.8,,6463078.0,38.8152,118.6995,113.8386,115.8156,115.2421,131.07,81,4,19.37,False
5558,2022-04-28,110.16,110.79,107.2,109.77,,3281485.0,38.7834,117.8491,113.8154,115.8285,115.257,131.06,82,5,19.4,False
5559,2022-04-29,108.67,110.09,105.39,105.78,,3274934.0,34.7129,116.6997,113.7178,115.7667,115.2542,131.05,83,6,23.89,False
5560,2022-05-02,105.72,106.78,102.56,104.83,,3635103.0,33.8031,115.5692,113.6768,115.6598,115.2438,131.04,84,7,25.0,False
5561,2022-05-03,105.58,106.78,105.13,105.93,,3027443.0,35.8979,114.6512,113.683,115.5245,115.2589,131.03,85,8,23.69,False
5562,2022-05-04,105.91,109.19,103.62,108.65,,3056904.0,40.8799,114.0797,113.7372,115.4076,115.2692,131.03,86,9,20.6,False
5563,2022-05-05,107.89,108.69,102.09,103.36,,2718102.0,35.157,113.0587,113.6978,115.2228,115.2558,131.02,87,10,26.76,False
5564,2022-05-06,102.41,102.81,99.5,100.52,,4024240.0,32.5246,111.8646,113.5154,115.0206,115.2231,131.01,88,11,30.33,False
5565,2022-05-09,98.71,99.01,93.86,94.69,,4042731.0,27.9054,110.2289,113.1486,114.7985,115.1495,131.0,89,12,38.35,False
5566,2022-05-10,96.2,97.37,92.79,94.83,,3035791.0,28.1692,108.7623,112.7978,114.5477,115.0792,130.99,90,13,38.13,False
5567,2022-05-11,94.54,96.85,92.96,93.27,,3435084.0,26.9842,107.2869,112.431,114.2847,114.9961,130.99,91,14,40.44,False
5568,2022-05-12,92.0,94.6,91.52,93.44,,3753940.0,27.3429,105.9681,112.0722,113.9979,114.913,130.98,92,15,40.18,False
5569,2022-05-13,95.1,98.1,95.0,97.55,,2569677.0,35.5821,105.1664,111.7836,113.7731,114.8426,130.97,93,16,34.26,False
5570,2022-05-16,96.85,97.91,95.75,95.93,,2385156.0,33.948,104.2867,111.4894,113.4884,114.7609,130.96,94,17,36.52,False
5571,2022-05-17,97.5,98.13,96.37,97.39,,2269599.0,36.7664,103.6299,111.2702,113.184,114.6815,130.95,95,18,34.46,False
5572,2022-05-18,96.09,96.25,93.01,93.41,,2155679.0,32.6735,102.6566,111.0984,112.8324,114.575,130.95,96,19,40.19,False
5573,2022-05-19,92.88,95.22,92.6,94.37,,2407047.0,34.5657,101.8674,110.8676,112.4703,114.4746,130.94,97,20,38.75,False
5574,2022-05-20,95.53,95.97,91.94,94.32,,2956679.0,34.5113,101.1486,110.64,112.12,114.3723,130.93,98,21,38.81,False
5575,2022-05-23,95.5,96.82,94.22,96.13,,2620037.0,38.2972,100.6706,110.4936,111.7749,114.2769,130.92,99,22,36.19,False
5576,2022-05-24,95.52,95.8,92.95,94.54,,3043394.0,36.3113,100.0868,110.3394,111.4135,114.1779,130.91,100,23,38.47,False
5577,2022-05-25,94.21,97.2,93.6,96.85,,3832909.0,41.0907,99.7785,110.1534,111.0865,114.1024,130.9,101,24,35.16,False
5578,2022-05-26,97.0,99.33,96.03,98.57,,2995023.0,44.4343,99.6634,109.929,110.7888,114.0396,130.9,102,25,32.8,False
5579,2022-05-27,99.71,101.29,99.21,101.12,,2445373.0,49.0514,99.8021,109.7006,110.5211,113.9863,130.89,103,26,29.44,False
5580,2022-05-31,100.06,101.69,98.7,100.85,,5809629.0,48.591,99.9019,109.4622,110.2904,113.9248,130.88,104,27,29.78,False
5581,2022-06-01,101.16,101.41,96.37,97.34,,2026638.0,42.9476,99.6579,109.178,110.0315,113.8397,130.87,105,28,34.45,False
5582,2022-06-02,97.38,101.34,96.28,101.21,,1601491.0,49.8618,99.8057,108.9432,109.8206,113.7595,130.86,106,29,29.3,False
5583,2022-06-03,100.0,100.21,96.38,96.73,,2462679.0,43.3173,99.5128,108.7338,109.5867,113.6618,130.86,107,30,35.28,False
5584,2022-06-06,98.13,98.82,95.97,96.41,,2986141.0,42.8843,99.2173,108.4728,109.3314,113.5541,130.85,108,31,35.72,False
5585,2022-06-07,96.13,97.43,95.41,97.25,,1485549.0,44.4538,99.0299,108.1704,109.0813,113.4456,130.84,109,32,34.54,False
5586,2022-06-08,96.68,97.54,95.85,96.29,,1996824.0,42.9995,98.769,107.8136,108.8396,113.3423,130.83,110,33,35.87,False
5587,2022-06-09,95.55,96.36,93.6,93.64,,2687382.0,39.1883,98.2805,107.3514,108.5934,113.22,130.82,111,34,39.71,False
5588,2022-06-10,92.0,94.05,91.34,93.0,,2379525.0,38.3053,97.7776,106.8696,108.3651,113.0999,130.81,112,35,40.66,False
5589,2022-06-13,90.0,90.8,88.07,88.55,,2873155.0,32.7752,96.8988,106.2862,108.089,112.9579,130.81,113,36,47.72,False
5590,2022-06-14,87.41,88.66,85.58,86.5,,2965407.0,30.5847,95.9084,105.5548,107.7984,112.8084,130.8,114,37,51.21,False
5591,2022-06-15,87.81,90.07,86.75,88.78,,3292910.0,35.7297,95.2295,104.9248,107.5597,112.6621,130.79,115,38,47.32,False
5592,2022-06-16,86.3,87.92,85.67,87.73,,3132714.0,34.4628,94.5153,104.275,107.331,112.5149,130.78,116,39,49.07,False
5593,2022-06-17,88.16,90.05,87.08,87.79,,3397520.0,34.6055,93.8748,103.6236,107.114,112.3567,130.77,117,40,48.96,False
5594,2022-06-21,89.31,90.35,88.59,89.34,,2179821.0,38.3402,93.4429,102.9356,106.9211,112.2003,130.77,118,41,46.37,False
5595,2022-06-22,88.72,91.95,88.52,90.79,,2504621.0,41.6948,93.1902,102.273,106.8094,112.0489,130.76,119,42,44.02,False
5596,2022-06-23,91.6,94.0,91.54,93.62,,2391278.0,47.678,93.2312,101.7154,106.6969,111.9071,130.75,120,43,39.66,False
5597,2022-06-24,94.55,97.07,93.41,96.98,,3824771.0,53.7468,93.5882,101.2382,106.5747,111.7782,130.74,121,44,34.81,False
5598,2022-06-27,96.9,97.45,95.76,96.81,,3995367.0,53.4092,93.895,100.7362,106.4591,111.6519,130.73,122,45,35.04,False
5599,2022-06-28,97.27,98.25,94.61,94.73,,3701756.0,49.3273,93.9746,100.2304,106.278,111.5211,130.73,123,46,38.0,False
5600,2022-06-29,94.85,96.4,93.37,96.03,,1826194.0,51.8065,94.1703,99.7654,106.1224,111.4045,130.72,124,47,36.12,False
5601,2022-06-30,94.92,96.14,93.82,95.09,,2448267.0,49.9052,94.2579,99.1768,105.9515,111.2752,130.71,125,48,37.46,False
5602,2022-07-01,94.92,97.71,94.76,97.39,,2081156.0,54.3224,94.5562,98.5592,105.8141,111.1571,130.7,126,49,34.2,False
5603,2022-07-05,96.01,98.01,94.82,97.97,,2097400.0,55.3906,94.8813,98.0064,105.6796,111.0435,130.69,127,50,33.4,False
5604,2022-07-06,98.0,98.85,96.58,97.98,,2083878.0,55.41,95.1764,97.5984,105.5335,110.9363,130.68,128,51,33.37,False
5605,2022-07-07,97.76,98.75,97.17,98.43,,1906798.0,56.3286,95.4863,97.171,105.4114,110.8385,130.68,129,52,32.76,False
5606,2022-07-08,97.6,99.12,97.06,98.39,,1562826.0,56.2177,95.7628,96.8134,105.3053,110.7379,130.67,130,53,32.81,False
5607,2022-07-11,97.33,97.8,96.47,96.88,,1973060.0,52.0528,95.8692,96.555,105.1968,110.624,130.66,131,54,34.87,False
