index,time,open,high,low,close,Volume,volume,rsi,ema20,ma50,ma100,ma200,trendline,duration_from_date1,duration_from_date2,distance,breakthrough
6280,2024-10-17,40.24,40.39,39.88,39.98,,6409627.0,61.1487,39.2755,38.3146,36.6118,35.768,40.39,626,0,1.03,False
6281,2024-10-18,39.95,40.34,39.67,40.16,,6103568.0,62.7741,39.3594,38.389,36.6564,35.7968,40.38,627,1,0.55,False
6282,2024-10-21,40.11,40.22,39.7,39.72,,4938868.0,56.4193,39.3933,38.4557,36.7024,35.8241,40.37,628,2,1.64,False
6283,2024-10-22,39.6,39.86,39.49,39.74,,5737985.0,56.7337,39.4268,38.5269,36.7433,35.8502,40.37,629,3,1.59,False
6284,2024-10-23,39.61,39.99,39.61,39.95,,6340126.0,58.9658,39.4767,38.5977,36.7783,35.8755,40.36,630,4,1.03,False
6285,2024-10-24,40.01,40.21,39.74,39.92,,5218253.0,58.5015,39.519,38.6699,36.8165,35.9019,40.35,631,5,1.08,False
6286,2024-10-25,40.18,40.22,39.2,39.29,,5418542.0,49.5395,39.4976,38.7203,36.8468,35.9242,40.34,632,6,2.67,False
6287,2024-10-28,39.39,39.72,39.39,39.45,,4288885.0,51.5383,39.4931,38.7717,36.8842,35.9493,40.34,633,7,2.26,False
6288,2024-10-29,39.12,39.23,38.69,38.78,,7521491.0,43.6287,39.4256,38.8097,36.9176,35.9718,40.33,634,8,4.0,False
6289,2024-10-30,38.76,39.28,38.45,38.93,,9458392.0,45.6116,39.3785,38.8521,36.9558,35.9967,40.32,635,9,3.57,False
6290,2024-10-31,38.9,39.06,38.51,38.54,,9240889.0,41.4268,39.2985,38.8802,36.9897,36.0202,40.31,636,10,4.59,False
6291,2024-11-01,38.48,38.82,37.37,37.41,,7671542.0,32.2621,39.1187,38.8854,37.0124,36.0395,40.31,637,11,7.75,False
6292,2024-11-04,37.33,37.66,37.03,37.23,,7614716.0,31.1023,38.9393,38.889,37.0474,36.0591,40.3,638,12,8.25,False
6293,2024-11-05,37.23,37.75,37.03,37.72,,4591462.0,37.7922,38.8236,38.8988,37.081,36.082,40.29,639,13,6.81,False
6294,2024-11-06,37.51,37.85,37.12,37.58,,11397875.0,36.6427,38.7049,38.9113,37.1118,36.1047,40.28,640,14,7.18,False
6295,2024-11-07,37.59,37.75,37.28,37.35,,5879267.0,34.8903,38.5761,38.9153,37.1439,36.1294,40.28,641,15,7.84,False
6296,2024-11-08,37.56,37.95,37.47,37.74,,4985447.0,40.2428,38.4969,38.9243,37.1827,36.1522,40.27,642,16,6.7,False
6297,2024-11-11,37.72,38.14,37.65,38.03,,6534326.0,43.8807,38.4526,38.9379,37.2239,36.176,40.26,643,17,5.86,False
6298,2024-11-12,37.9,38.17,37.68,37.79,,3815016.0,41.6224,38.3899,38.9389,37.2642,36.1972,40.25,644,18,6.51,False
6299,2024-11-13,37.87,38.03,37.44,37.77,,6174734.0,41.431,38.3312,38.9316,37.2991,36.2194,40.25,645,19,6.57,False
6300,2024-11-14,37.86,38.02,37.71,37.75,,4663566.0,41.2269,38.2763,38.9332,37.3386,36.2427,40.24,646,20,6.6,False
6301,2024-11-15,37.74,38.81,37.74,38.73,,9038601.0,53.4518,38.3199,38.9587,37.3882,36.2699,40.23,647,21,3.87,False
6302,2024-11-18,39.05,39.39,38.73,39.23,,7261070.0,58.1827,38.4066,38.9837,37.4437,36.3028,40.22,648,22,2.52,False
6303,2024-11-19,39.07,39.22,38.7,39.1,,6070149.0,56.5576,38.4726,38.9998,37.4987,36.3385,40.21,649,23,2.84,False
6304,2024-11-20,39.2,39.24,38.26,38.73,,5551069.0,52.0975,38.4972,39.0036,37.5507,36.3709,40.21,650,24,3.82,False
6305,2024-11-21,38.72,39.36,38.5,39.31,,7606376.0,57.7254,38.5746,39.0081,37.6086,36.4054,40.2,651,25,2.26,False
6306,2024-11-22,39.36,39.56,38.68,38.71,,4038976.0,51.0444,38.5875,38.9933,37.6586,36.4385,40.19,652,26,3.82,False
6307,2024-11-25,38.95,39.27,38.69,39.13,,7013676.0,54.9729,38.6391,38.9829,37.7169,36.4732,40.18,653,27,2.68,False
6308,2024-11-26,39.18,39.58,39.16,39.49,,5591719.0,58.0782,38.7202,38.9843,37.7795,36.5073,40.18,654,28,1.75,False
6309,2024-11-27,39.41,39.88,39.37,39.51,,4226957.0,58.2505,38.7954,38.9998,37.8404,36.5423,40.17,655,29,1.67,False
6310,2024-11-29,39.5,39.69,39.34,39.56,,2407408.0,58.7073,38.8682,39.0204,37.8993,36.5779,40.16,656,30,1.52,False
6311,2024-12-02,39.48,39.54,38.29,38.37,,5682470.0,45.8488,38.8208,38.998,37.9401,36.604,40.15,657,31,4.64,False
6312,2024-12-03,38.39,38.73,38.12,38.14,,6606460.0,43.8497,38.7559,38.9685,37.9795,36.6288,40.15,658,32,5.27,False
6313,2024-12-04,38.07,38.2,37.53,37.85,,4176595.0,41.3987,38.6697,38.9412,38.0149,36.6529,40.14,659,33,6.05,False
6314,2024-12-05,37.94,38.24,37.81,37.98,,4712514.0,42.9385,38.604,38.9165,38.0499,36.6707,40.13,660,34,5.66,False
6315,2024-12-06,37.9,38.04,37.73,37.85,,6946421.0,41.7569,38.5322,38.8903,38.0748,36.6886,40.12,661,35,6.0,False
6316,2024-12-09,37.79,37.97,37.41,37.44,,6064817.0,38.1878,38.4281,38.8472,38.0974,36.7041,40.12,662,36,7.16,False
6317,2024-12-10,37.53,37.53,36.91,37.32,,5332601.0,37.186,38.3226,38.7983,38.1199,36.7213,40.11,663,37,7.48,False
6318,2024-12-11,37.32,37.39,36.59,36.76,,6684933.0,32.8543,38.1738,38.7339,38.1357,36.733,40.1,664,38,9.09,False
6319,2024-12-12,37.0,37.11,36.67,36.83,,7086632.0,33.891,38.0458,38.6674,38.1558,36.7469,40.09,665,39,8.85,False
6320,2024-12-13,36.67,37.05,36.58,36.87,,7873455.0,34.5131,37.9338,38.605,38.1705,36.7609,40.09,666,40,8.73,False
6321,2024-12-16,36.89,36.96,36.2,36.22,,5540661.0,29.6327,37.7706,38.5407,38.1786,36.7715,40.08,667,41,10.66,False
6322,2024-12-17,36.09,36.63,35.94,36.52,,7372917.0,34.2537,37.6515,38.4957,38.1871,36.7802,40.07,668,42,9.72,False
6323,2024-12-18,36.5,36.77,36.41,36.56,,9095749.0,34.8679,37.5475,38.45,38.1947,36.7887,40.06,669,43,9.57,False
6324,2024-12-19,36.62,37.73,36.49,37.19,,14686156.0,43.7763,37.5135,38.4171,38.2053,36.7985,40.06,670,44,7.72,False
6325,2024-12-20,37.09,37.26,36.55,37.02,,20813959.0,42.1029,37.4665,38.3874,38.2144,36.8066,40.05,671,45,8.18,False
6326,2024-12-23,36.99,37.38,36.8,37.33,,6073317.0,46.1457,37.4535,38.3546,38.2164,36.8157,40.04,672,46,7.26,False
6327,2024-12-24,37.33,37.55,37.19,37.52,,1853407.0,48.5185,37.4598,38.3218,38.2152,36.8246,40.03,673,47,6.69,False
6328,2024-12-26,37.36,37.53,37.28,37.45,,4142917.0,47.6849,37.4589,38.2753,38.2256,36.834,40.03,674,48,6.89,False
6329,2024-12-27,37.21,37.63,37.12,37.43,,3669381.0,47.4342,37.4561,38.2204,38.235,36.8434,40.02,675,49,6.92,False
6330,2024-12-30,37.45,37.72,37.06,37.63,,4145110.0,50.2515,37.4727,38.1734,38.244,36.8559,40.01,676,50,6.32,False
