index,time,open,high,low,close,Volume,volume,rsi,ema20,ma50,ma100,ma200,trendline,duration_from_date1,duration_from_date2,distance,breakthrough
6307,2024-11-25,300.16,307.01,299.11,303.65,,2415851.0,72.4363,287.0064,275.2221,282.794,269.5379,307.01,93,0,1.11,False
6308,2024-11-26,301.57,302.51,298.14,301.49,,1669324.0,68.9569,288.3859,275.3343,282.8824,269.8476,306.97,94,1,1.82,False
6309,2024-11-27,302.25,303.28,300.09,301.9,,919462.0,69.2574,289.673,275.4382,283.0026,270.1988,306.93,95,2,1.67,False
6310,2024-11-29,301.55,303.26,300.39,301.18,,665504.0,68.0124,290.7692,275.4836,283.1103,270.5443,306.89,96,3,1.9,False
6311,2024-12-02,300.11,300.54,292.38,295.23,,1578745.0,58.5919,291.1942,276.3204,283.0964,270.8615,306.85,97,4,3.94,False
6312,2024-12-03,293.05,293.05,281.31,281.46,,2629007.0,43.5553,290.2672,276.7993,282.9499,271.1047,306.81,98,5,9.01,False
6313,2024-12-04,280.33,284.49,278.64,282.04,,1840131.0,44.2015,289.4834,277.1237,282.7498,271.3411,306.77,99,6,8.77,False
6314,2024-12-05,282.79,284.38,277.85,278.05,,1512440.0,40.7294,288.3943,277.4351,282.4256,271.5485,306.73,100,7,10.31,False
6315,2024-12-06,280.01,281.06,276.39,279.3,,2079315.0,42.2641,287.5283,277.7207,282.1445,271.7486,306.69,101,8,9.81,False
6316,2024-12-09,280.89,282.82,279.0,279.53,,1365829.0,42.5565,286.7665,277.9866,281.9035,271.9534,306.65,102,9,9.7,False
6317,2024-12-10,279.81,280.96,277.51,279.32,,902869.0,42.3446,286.0573,278.1263,281.6634,272.1685,306.61,103,10,9.77,False
6318,2024-12-11,279.7,282.2,278.76,281.16,,1207003.0,44.9318,285.5909,278.3848,281.4306,272.3915,306.57,104,11,9.04,False
6319,2024-12-12,281.51,284.5,279.37,283.69,,1084894.0,48.3631,285.4099,278.7462,281.2888,272.6125,306.53,105,12,8.05,False
6320,2024-12-13,283.33,284.11,281.85,283.42,,964658.0,48.0192,285.2204,279.1988,281.1692,272.8097,306.49,106,13,8.14,False
6321,2024-12-16,283.38,286.28,282.76,283.44,,1587310.0,48.0487,285.0508,279.6764,281.0468,273.0186,306.45,107,14,8.12,False
6322,2024-12-17,281.0,282.44,274.75,277.43,,2426691.0,40.6006,284.325,280.0406,280.8489,273.1966,306.41,108,15,10.45,False
6323,2024-12-18,277.72,281.31,272.85,273.16,,1907526.0,36.2957,283.2617,280.3015,280.6174,273.3437,306.37,109,16,12.16,False
6324,2024-12-19,274.52,278.48,273.19,275.88,,4203477.0,40.6152,282.5587,280.5523,280.3967,273.5059,306.33,110,17,11.04,False
6325,2024-12-20,294.0,295.24,270.9,275.73,,8126797.0,40.4523,281.9083,280.8074,280.1609,273.6584,306.29,111,18,11.08,False
6326,2024-12-23,275.0,275.11,265.09,269.01,,3500725.0,33.8938,280.6799,280.9264,279.9017,273.7837,306.25,112,19,13.84,False
6327,2024-12-24,269.0,272.53,267.6,271.84,,1013074.0,38.4216,279.838,281.0405,279.7256,273.8984,306.21,113,20,12.64,False
6328,2024-12-26,270.35,280.3,270.3,278.66,,1777485.0,47.7156,279.7258,281.3214,279.7088,274.0397,306.17,114,21,9.87,False
6329,2024-12-27,277.33,281.6,276.54,280.36,,1553177.0,49.7515,279.7862,281.5193,279.6829,274.1846,306.12,115,22,9.19,False
6330,2024-12-30,276.81,282.41,275.5,280.55,,1587522.0,49.9859,279.859,281.6721,279.7342,274.3289,306.08,116,23,9.1,False
