index,time,open,high,low,close,Volume,volume,rsi,ema20,ma50,ma100,ma200,trendline,duration_from_date1,duration_from_date2,distance,breakthrough
3788,2024-12-09,99.71,100.4,96.2,97.04,,4260813.0,62.2595,93.9198,86.3906,78.3648,70.9695,100.4,17,0,3.46,False
3789,2024-12-10,96.52,98.37,96.06,97.13,,3915618.0,62.4335,94.2255,86.7822,78.7514,71.1131,100.39,18,1,3.36,False
3790,2024-12-11,98.0,98.68,97.03,98.04,,3417447.0,64.2292,94.5888,87.2132,79.1473,71.2536,100.38,19,2,2.39,False
3791,2024-12-12,98.04,98.9,97.25,98.6,,2859805.0,65.3276,94.9708,87.6334,79.5539,71.399,100.37,20,3,1.8,False
3792,2024-12-13,98.29,99.19,96.86,97.95,,3166115.0,62.9129,95.2545,88.0528,79.967,71.5432,100.36,21,4,2.46,False
3793,2024-12-16,98.21,98.5,97.03,98.16,,3822362.0,63.3838,95.5312,88.4558,80.3755,71.6818,100.34,22,5,2.22,False
3794,2024-12-17,98.16,99.37,97.01,97.62,,4009767.0,61.2308,95.7302,88.8586,80.7817,71.813,100.33,23,6,2.78,False
3795,2024-12-18,98.05,98.56,92.83,93.36,,5751007.0,47.5181,95.5044,89.1702,81.1414,71.9346,100.32,24,7,7.46,False
3796,2024-12-19,95.94,96.86,94.23,94.85,,4583508.0,51.6008,95.4421,89.4606,81.5149,72.0522,100.31,25,8,5.76,False
3797,2024-12-20,93.72,97.83,93.36,97.19,,13324435.0,57.2283,95.6086,89.7549,81.9064,72.1728,100.3,26,9,3.2,False
3798,2024-12-23,96.92,97.07,95.34,96.42,,3107902.0,54.9636,95.6859,90.0259,82.2985,72.2982,100.29,27,10,4.01,False
3799,2024-12-24,96.65,97.83,96.32,97.81,,1764854.0,58.1808,95.8882,90.3255,82.7115,72.4299,100.28,28,11,2.53,False
3800,2024-12-26,97.16,97.6,96.73,97.29,,1661958.0,56.5532,96.0217,90.6185,83.1306,72.5597,100.27,29,12,3.06,False
3801,2024-12-27,96.51,96.51,94.8,96.08,,2774949.0,52.8484,96.0272,90.8977,83.5333,72.6892,100.25,30,13,4.34,False
3802,2024-12-30,94.88,95.73,94.0,95.13,,2128262.0,50.0747,95.9418,91.1831,83.7852,72.8246,100.24,31,14,5.37,False
