index,time,open,high,low,close,Volume,volume,rsi,ema20,ma50,ma100,ma200,trendline,duration_from_date1,duration_from_date2,distance,breakthrough
2114,2024-11-25,78.92,80.08,78.53,79.6,,3570592.0,68.2888,75.707,75.8985,74.0057,76.6352,80.08,171,0,0.6,False
2115,2024-11-26,79.25,79.34,78.4,78.88,,2588806.0,64.1479,76.0093,75.983,74.0607,76.6157,80.04,172,1,1.47,False
2116,2024-11-27,79.03,79.67,78.9,79.32,,1754270.0,65.5238,76.3246,76.0567,74.129,76.6013,80.0,173,2,0.86,False
2117,2024-11-29,79.39,79.8,79.23,79.33,,1234827.0,65.5561,76.6108,76.0991,74.1872,76.5818,79.97,174,3,0.81,False
2118,2024-12-02,79.39,79.42,78.34,78.96,,1971568.0,63.191,76.8345,76.153,74.2289,76.5553,79.93,175,4,1.23,False
2119,2024-12-03,78.88,78.96,77.74,78.57,,2067355.0,60.7048,76.9998,76.2023,74.2603,76.5283,79.89,176,5,1.68,False
2120,2024-12-04,78.54,79.08,78.25,78.83,,1247476.0,61.7843,77.1741,76.2351,74.2879,76.5054,79.85,177,6,1.29,False
2121,2024-12-05,78.92,79.2,78.59,79.14,,1745461.0,63.0863,77.3613,76.296,74.2917,76.4808,79.82,178,7,0.86,False
2122,2024-12-06,79.48,79.73,78.53,78.89,,2957986.0,61.2733,77.5069,76.3038,74.3035,76.4482,79.78,179,8,1.13,False
2123,2024-12-09,78.53,79.28,78.39,78.45,,2452359.0,58.108,77.5967,76.2904,74.3187,76.4112,79.74,180,9,1.64,False
2124,2024-12-10,78.38,78.86,77.15,78.32,,1399364.0,57.1683,77.6656,76.2798,74.3476,76.3741,79.7,181,10,1.76,False
2125,2024-12-11,78.86,78.89,77.9,78.28,,1373023.0,56.8636,77.7241,76.295,74.3658,76.3362,79.66,182,11,1.76,False
2126,2024-12-12,78.2,78.53,76.54,76.83,,2221812.0,47.0698,77.639,76.2801,74.3689,76.2903,79.63,183,12,3.64,False
2127,2024-12-13,76.8,76.96,76.06,76.86,,1976361.0,47.2722,77.5648,76.2841,74.4349,76.2503,79.59,184,13,3.55,False
2128,2024-12-16,76.9,77.34,76.48,76.85,,2047344.0,47.2074,77.4967,76.2844,74.505,76.2077,79.55,185,14,3.51,False
2129,2024-12-17,76.44,77.23,75.49,75.73,,2959053.0,40.5111,77.3285,76.2742,74.5539,76.1637,79.51,186,15,4.99,False
2130,2024-12-18,75.82,76.2,73.63,73.66,,3766665.0,31.5917,76.9791,76.2201,74.579,76.1127,79.48,187,16,7.9,False
2131,2024-12-19,73.86,74.44,72.73,73.24,,3072212.0,30.1416,76.623,76.15,74.6009,76.0591,79.44,188,17,8.47,False
2132,2024-12-20,72.91,74.54,72.91,74.45,,8665731.0,38.85,76.416,76.0958,74.6284,76.0076,79.4,189,18,6.65,False
2133,2024-12-23,73.9,74.78,73.58,74.46,,2996883.0,38.9177,76.2297,76.0262,74.6699,75.956,79.36,190,19,6.58,False
2134,2024-12-24,74.43,75.12,74.25,75.0,,654960.0,42.6161,76.1126,75.9588,74.7369,75.908,79.33,191,20,5.77,False
2135,2024-12-26,74.71,75.9,74.53,75.8,,1971488.0,47.671,76.0828,75.9303,74.8199,75.8574,79.29,192,21,4.6,False
2136,2024-12-27,75.5,76.13,75.19,75.65,,2350118.0,46.8378,76.0416,75.9003,74.9005,75.8097,79.25,193,22,4.76,False
2137,2024-12-30,74.85,75.24,74.05,75.04,,1703122.0,43.5079,75.9462,75.8572,74.9822,75.7573,79.21,194,23,5.56,False
