index,time,open,high,low,close,Volume,volume,rsi,ema20,ma50,ma100,ma200,trendline,duration_from_date1,duration_from_date2,distance,breakthrough
6317,2024-12-10,31.13,31.26,29.25,29.82,,5373562.0,48.7352,30.2468,28.767,27.2239,24.9375,31.26,4,0,4.83,False
6318,2024-12-11,30.04,30.08,29.55,29.92,,3732359.0,49.8385,30.2156,28.8239,27.2701,24.9815,31.15,5,1,4.11,False
6319,2024-12-12,29.72,30.2,29.6,30.02,,3227541.0,50.9747,30.197,28.8866,27.3198,25.0261,31.03,6,2,3.36,False
6320,2024-12-13,29.95,30.1,29.7,29.86,,3618969.0,49.0599,30.1649,28.9467,27.3687,25.0695,30.92,7,3,3.55,False
6321,2024-12-16,29.72,29.98,29.44,29.73,,4336154.0,47.4986,30.1235,28.9938,27.4161,25.1105,30.81,8,4,3.63,False
6322,2024-12-17,29.62,29.81,29.3,29.38,,3538488.0,43.4862,30.0527,29.038,27.4514,25.1505,30.69,9,5,4.46,False
6323,2024-12-18,29.5,29.5,27.71,27.73,,4769089.0,30.434,29.8315,29.0467,27.4705,25.1847,30.58,10,6,10.28,False
6324,2024-12-19,27.9,28.06,27.42,27.45,,4770495.0,28.8515,29.6047,29.0462,27.4896,25.2161,30.47,11,7,11.0,False
6325,2024-12-20,27.4,28.14,27.27,27.83,,13749882.0,33.8768,29.4357,29.0512,27.5104,25.2473,30.36,12,8,9.09,False
6326,2024-12-23,27.81,27.93,27.58,27.69,,3015294.0,32.9533,29.2694,29.0523,27.5372,25.277,30.25,13,9,9.25,False
6327,2024-12-24,27.77,27.89,27.69,27.85,,1372363.0,35.1298,29.1342,29.0515,27.5664,25.3084,30.14,14,10,8.22,False
6328,2024-12-26,27.71,27.91,27.68,27.86,,1425064.0,35.2712,29.0129,29.0489,27.601,25.3384,30.03,15,11,7.79,False
6329,2024-12-27,27.65,27.88,27.41,27.65,,1965080.0,33.6139,28.8831,29.0409,27.6355,25.3677,29.92,16,12,8.21,False
6330,2024-12-30,27.46,27.52,27.04,27.38,,1851082.0,31.5605,28.7399,29.0297,27.6689,25.3982,29.81,17,13,8.88,False
