index,time,open,high,low,close,Volume,volume,rsi,ema20,ma50,ma100,ma200,trendline,duration_from_date1,duration_from_date2,distance,breakthrough
6285,2024-10-24,115.0,116.74,109.27,109.39,,1242633.0,56.8571,108.1725,104.8586,95.239,99.6938,116.74,170,0,6.72,False
6286,2024-10-25,109.74,109.74,104.15,105.15,,1135956.0,44.694,107.8846,105.0467,95.4766,99.6215,116.66,171,1,10.95,False
6287,2024-10-28,105.84,107.47,105.22,105.48,,921400.0,45.6682,107.6556,105.2229,95.7003,99.5538,116.58,172,2,10.52,False
6288,2024-10-29,105.6,107.76,105.6,106.93,,586094.0,49.8484,107.5865,105.4031,95.9614,99.4919,116.5,173,3,8.95,False
6289,2024-10-30,106.93,108.07,106.59,107.0,,427804.0,50.0482,107.5306,105.6021,96.2223,99.4313,116.42,174,4,8.8,False
6290,2024-10-31,106.21,107.27,105.59,105.6,,441845.0,46.0929,107.3468,105.7679,96.4663,99.3638,116.34,175,5,10.17,False
6291,2024-11-01,105.32,106.49,103.73,104.02,,580778.0,42.0536,107.0299,105.8737,96.7044,99.2847,116.27,176,6,11.78,False
6292,2024-11-04,104.29,105.1,103.14,103.49,,470063.0,40.7632,106.6928,105.9313,96.9324,99.1975,116.19,177,7,12.27,False
6293,2024-11-05,103.38,104.55,102.02,104.38,,383657.0,43.8776,106.4725,105.98,97.1832,99.1104,116.11,178,8,11.24,False
6294,2024-11-06,109.92,112.58,109.92,111.0,,815105.0,60.5091,106.9037,106.1668,97.5183,99.0585,116.03,179,9,4.53,False
6295,2024-11-07,110.6,111.41,107.5,108.6,,769371.0,54.2342,107.0653,106.2727,97.8093,98.9958,115.95,180,10,6.77,False
6296,2024-11-08,109.5,110.35,108.64,109.2,,482521.0,55.4773,107.2686,106.357,98.1014,98.9288,115.87,181,11,6.11,False
6297,2024-11-11,110.82,112.9,108.94,109.03,,786518.0,55.0213,107.4363,106.4413,98.3703,98.8597,115.79,182,12,6.2,False
6298,2024-11-12,108.71,112.94,108.71,110.35,,719906.0,57.9139,107.7138,106.5495,98.6475,98.801,115.71,183,13,4.86,False
6299,2024-11-13,109.99,111.34,108.75,110.07,,506091.0,57.0754,107.9382,106.6446,98.9157,98.7341,115.64,184,14,5.06,False
6300,2024-11-14,110.7,110.83,108.16,109.01,,416899.0,53.8942,108.0403,106.7379,99.175,98.6696,115.56,185,15,6.01,False
6301,2024-11-15,109.54,110.26,108.03,109.2,,451458.0,54.3849,108.1507,106.8757,99.4392,98.6197,115.48,186,16,5.75,False
6302,2024-11-18,112.88,113.16,109.5,109.75,,523458.0,55.85,108.3031,107.0082,99.7186,98.5686,115.4,187,17,5.15,False
6303,2024-11-19,108.13,109.77,107.83,109.32,,424326.0,54.3795,108.3999,107.155,99.9932,98.5183,115.32,188,18,5.49,False
6304,2024-11-20,109.72,110.33,107.89,108.76,,340077.0,52.4429,108.4342,107.3079,100.2568,98.4606,115.24,189,19,5.96,False
6305,2024-11-21,109.62,109.79,108.21,108.99,,553500.0,53.1804,108.4871,107.4467,100.5202,98.3977,115.16,190,20,5.66,False
6306,2024-11-22,108.56,111.84,108.56,110.48,,582189.0,57.7513,108.6769,107.585,100.8049,98.3299,115.09,191,21,4.17,False
6307,2024-11-25,111.85,112.12,110.65,111.38,,543096.0,60.2741,108.9344,107.6934,101.1057,98.2617,115.01,192,22,3.26,False
6308,2024-11-26,111.12,112.25,109.82,111.43,,388019.0,60.4155,109.172,107.8031,101.4126,98.1919,114.93,193,23,3.14,False
6309,2024-11-27,111.5,112.31,110.97,111.7,,364323.0,61.2184,109.4128,107.9089,101.7124,98.1276,114.85,194,24,2.82,False
6310,2024-11-29,111.97,112.41,110.65,111.24,,311572.0,59.022,109.5868,107.9936,101.9953,98.0617,114.77,195,25,3.17,False
6311,2024-12-02,111.68,111.92,109.38,110.04,,609521.0,53.6176,109.63,108.0739,102.2453,97.9874,114.7,196,26,4.23,False
6312,2024-12-03,110.6,110.72,108.51,109.49,,576718.0,51.2991,109.6166,108.1148,102.4818,97.9119,114.62,197,27,4.69,False
6313,2024-12-04,108.74,109.89,100.27,106.05,,1773104.0,39.728,109.277,108.0782,102.6761,97.8175,114.54,198,28,8.01,False
6314,2024-12-05,108.49,108.49,105.3,106.61,,949962.0,42.0207,109.023,108.0471,102.8591,97.7222,114.46,199,29,7.36,False
6315,2024-12-06,106.63,106.63,102.99,104.76,,858981.0,37.0118,108.617,107.9552,103.0194,97.6139,114.39,200,30,9.19,False
6316,2024-12-09,104.2,105.87,103.0,104.26,,1096420.0,35.7707,108.202,107.9571,103.182,97.5054,114.31,201,31,9.64,False
6317,2024-12-10,104.26,104.34,100.62,103.65,,787202.0,34.2613,107.7685,107.9167,103.3379,97.3928,114.23,202,32,10.21,False
6318,2024-12-11,104.35,105.43,102.44,105.07,,716965.0,40.5501,107.5115,107.9486,103.5008,97.2819,114.15,203,33,8.64,False
6319,2024-12-12,105.79,107.18,104.24,104.51,,608396.0,38.967,107.2256,107.9395,103.6523,97.1671,114.07,204,34,9.15,False
6320,2024-12-13,104.54,105.83,103.7,105.42,,697102.0,42.8703,107.0537,107.9556,103.8257,97.0643,114.0,205,35,8.14,False
6321,2024-12-16,105.11,107.57,104.58,106.78,,904413.0,48.202,107.0276,107.9608,104.0047,96.9719,113.92,206,36,6.69,False
6322,2024-12-17,105.6,107.24,105.24,105.78,,931674.0,44.885,106.9088,108.0066,104.1576,96.874,113.84,207,37,7.62,False
6323,2024-12-18,105.54,106.43,103.88,104.43,,1225842.0,40.8028,106.6727,108.012,104.2833,96.7692,113.77,208,38,8.94,False
6324,2024-12-19,104.85,106.64,104.06,105.91,,1106983.0,46.5428,106.6001,107.9862,104.3999,96.663,113.69,209,39,7.35,False
6325,2024-12-20,106.0,110.24,105.46,109.39,,2626118.0,57.0809,106.8658,108.0454,104.5685,96.5786,113.61,210,40,3.86,False
6326,2024-12-23,108.85,109.66,108.2,109.58,,709813.0,57.5727,107.1243,108.0814,104.7369,96.513,113.53,211,41,3.6,False
6327,2024-12-24,109.33,110.92,108.64,110.69,,251776.0,60.4255,107.4639,108.1196,104.9367,96.4515,113.46,212,42,2.5,False
6328,2024-12-26,110.03,111.17,109.04,110.85,,348378.0,60.8343,107.7864,108.1206,105.1609,96.3886,113.38,213,43,2.28,False
6329,2024-12-27,109.93,110.5,108.42,109.5,,355971.0,55.6141,107.9496,108.0932,105.3681,96.3451,113.3,214,44,3.47,False
6330,2024-12-30,108.32,111.06,107.25,109.95,,657781.0,56.9405,108.1401,108.1112,105.5815,96.3191,113.23,215,45,2.98,False
