index,time,open,high,low,close,Volume,volume,rsi,ema20,ma50,ma100,ma200,trendline,duration_from_date1,duration_from_date2,distance,breakthrough
3527,2024-11-25,59.03,61.1,58.77,60.07,,25347318.0,73.0103,55.2947,50.8951,48.4116,45.9173,61.1,726,0,1.71,False
3528,2024-11-26,57.52,58.19,54.61,54.67,,25817330.0,50.856,55.2349,51.0401,48.495,45.9962,61.09,727,1,11.74,False
3529,2024-11-27,55.08,55.94,55.03,55.38,,11386763.0,52.8769,55.2483,51.1766,48.5883,46.0835,61.09,728,2,10.31,False
3530,2024-11-29,56.3,56.86,55.47,55.47,,8064728.0,53.14,55.269,51.3157,48.6799,46.171,61.08,729,3,10.11,False
3531,2024-12-02,55.38,55.5,54.57,54.92,,10602602.0,51.2569,55.2354,51.4386,48.7521,46.2526,61.08,730,4,11.22,False
3532,2024-12-03,54.98,55.09,53.36,53.54,,14234798.0,46.7777,55.0739,51.5508,48.7997,46.3288,61.07,731,5,14.06,False
3533,2024-12-04,53.5,53.71,52.64,53.24,,13225674.0,45.8399,54.8993,51.6563,48.8415,46.4019,61.06,732,6,14.69,False
3534,2024-12-05,53.49,53.79,52.89,53.27,,10017884.0,45.9566,54.7442,51.8092,48.8788,46.4729,61.06,733,7,14.62,False
3535,2024-12-06,53.71,53.9,53.01,53.41,,8625892.0,46.5355,54.6171,51.9633,48.9163,46.5452,61.05,734,8,14.3,False
3536,2024-12-09,54.0,54.46,52.66,52.71,,7959628.0,43.9925,54.4355,52.0899,48.9493,46.6127,61.05,735,9,15.82,False
3537,2024-12-10,53.77,53.77,52.34,52.74,,7721990.0,44.1334,54.274,52.2499,48.996,46.6795,61.04,736,10,15.74,False
3538,2024-12-11,53.25,53.45,51.3,52.04,,12609062.0,41.5093,54.0612,52.3952,49.0232,46.7408,61.04,737,11,17.29,False
3539,2024-12-12,52.4,52.69,51.94,52.3,,9454864.0,42.8681,53.8935,52.5468,49.0846,46.8013,61.03,738,12,16.69,False
3540,2024-12-13,52.25,52.82,51.9,52.53,,8849316.0,44.1051,53.7636,52.6998,49.1472,46.8605,61.02,739,13,16.16,False
3541,2024-12-16,52.05,52.62,51.28,52.24,,11688379.0,42.8454,53.6185,52.833,49.2304,46.9183,61.02,740,14,16.81,False
3542,2024-12-17,51.59,51.93,51.13,51.15,,11201602.0,38.4055,53.3834,52.9385,49.3028,46.9709,61.01,741,15,19.28,False
3543,2024-12-18,51.26,51.86,49.96,49.99,,13564953.0,34.3285,53.0603,53.0202,49.3633,47.0191,61.01,742,16,22.04,False
3544,2024-12-19,50.62,51.34,50.29,50.34,,11214221.0,36.5182,52.8012,53.0705,49.4265,47.0715,61.0,743,17,21.18,False
3545,2024-12-20,50.09,52.14,50.07,51.81,,23917849.0,44.8376,52.7068,53.155,49.5035,47.1353,60.99,744,18,17.72,False
3546,2024-12-23,51.49,52.59,51.36,52.56,,7553113.0,48.5429,52.6928,53.251,49.5975,47.202,60.99,745,19,16.04,False
3547,2024-12-24,52.7,53.63,52.52,53.51,,4541139.0,52.862,52.7706,53.3508,49.7229,47.2734,60.98,746,20,13.96,False
3548,2024-12-26,53.37,54.38,53.14,54.18,,6073502.0,55.687,52.9049,53.4795,49.8671,47.3497,60.98,747,21,12.55,False
3549,2024-12-27,53.81,54.86,53.76,54.28,,5884436.0,56.1097,53.0358,53.5871,50.0057,47.4213,60.97,748,22,12.32,False
3550,2024-12-30,53.74,54.09,52.93,53.66,,7246775.0,52.7494,53.0953,53.6749,50.1378,47.4941,60.96,749,23,13.6,False
