index,time,open,high,low,close,Volume,volume,rsi,ema20,ma50,ma100,ma200,trendline,duration_from_date1,duration_from_date2,distance,breakthrough
5825,2024-03-13,131.92,139.12,131.92,132.8,,4167601.0,57.2853,130.4605,130.9999,122.9749,117.6146,139.12,725,0,4.76,False
5826,2024-03-14,132.55,132.72,129.47,131.07,,2874844.0,51.5479,130.5182,131.1006,123.1737,117.7778,139.04,726,1,6.08,False
5827,2024-03-15,129.67,130.99,128.56,128.96,,1849512.0,45.5808,130.3699,131.192,123.3641,117.9345,138.95,727,2,7.75,False
5828,2024-03-18,129.0,130.19,128.35,129.63,,1996996.0,47.6436,130.2991,131.2905,123.5845,118.1017,138.87,728,3,7.13,False
5829,2024-03-19,129.51,131.2,128.78,130.38,,3440414.0,49.9606,130.3069,131.3731,123.7855,118.267,138.79,729,4,6.45,False
5830,2024-03-20,130.45,132.69,130.06,132.15,,1635947.0,54.9852,130.4823,131.3785,124.0624,118.4334,138.71,730,5,4.96,False
5831,2024-03-21,132.64,134.57,132.22,133.64,,2280873.0,58.7447,130.7829,131.448,124.3665,118.6186,138.62,731,6,3.73,False
5832,2024-03-22,133.76,133.94,130.97,131.2,,2066915.0,51.1935,130.8221,131.4304,124.6618,118.7782,138.54,732,7,5.59,False
5833,2024-03-25,131.02,132.25,130.24,131.72,,3931455.0,52.607,130.9078,131.4486,124.9524,118.9351,138.46,733,8,5.12,False
5834,2024-03-26,132.52,135.4,132.17,133.24,,4621407.0,56.5215,131.13,131.5314,125.2342,119.1047,138.38,734,9,3.86,False
5835,2024-03-27,133.9,134.37,127.39,130.84,,3161140.0,49.5501,131.1022,131.5932,125.4643,119.2661,138.3,735,10,5.7,False
5836,2024-03-28,131.46,132.94,131.15,132.71,,2350090.0,54.2918,131.2557,131.7096,125.6836,119.4339,138.21,736,11,4.14,False
5837,2024-04-01,132.61,132.68,129.16,129.23,,1343957.0,45.7011,131.0627,131.7686,125.8508,119.5847,138.13,737,12,6.89,False
5838,2024-04-02,127.84,128.3,126.88,127.45,,1700003.0,42.0471,130.7189,131.7516,126.0271,119.7226,138.05,738,13,8.32,False
5839,2024-04-03,127.51,128.02,126.1,126.2,,1694431.0,39.6443,130.2886,131.6458,126.2031,119.8505,137.97,739,14,9.33,False
5840,2024-04-04,127.64,127.77,124.45,125.11,,1108659.0,37.6229,129.7953,131.535,126.3675,119.9791,137.88,740,15,10.21,False
5841,2024-04-05,125.0,125.85,123.92,125.03,,1431356.0,37.4733,129.3414,131.4586,126.5571,120.1055,137.8,741,16,10.21,False
5842,2024-04-08,125.98,128.07,125.24,127.15,,1772977.0,43.9013,129.133,131.3976,126.7487,120.2494,137.72,742,17,8.31,False
5843,2024-04-09,127.88,128.43,126.76,127.25,,1178516.0,44.19,128.954,131.2887,126.9461,120.394,137.64,743,18,8.17,False
5844,2024-04-10,124.68,125.8,123.84,124.13,,1172604.0,37.6215,128.4942,131.0878,127.0811,120.5268,137.56,744,19,10.82,False
5845,2024-04-11,124.36,124.4,122.13,123.66,,1595385.0,36.7438,128.0337,130.8665,127.1856,120.6687,137.48,745,20,11.18,False
5846,2024-04-12,122.62,123.62,122.01,122.86,,1183652.0,35.2371,127.5414,130.6831,127.3083,120.8097,137.39,746,21,11.83,False
5847,2024-04-15,125.29,125.6,121.86,122.3,,1528023.0,34.1622,127.0421,130.4471,127.4231,120.9423,137.31,747,22,12.27,False
5848,2024-04-16,122.37,123.93,121.88,122.56,,1583140.0,35.1342,126.6149,130.1926,127.5273,121.0764,137.23,748,23,11.97,False
5849,2024-04-17,123.62,123.62,121.67,122.08,,1530566.0,34.1323,126.1831,129.9368,127.6399,121.2006,137.15,749,24,12.34,False
5850,2024-04-18,122.39,123.24,121.09,121.32,,863384.0,32.5298,125.7195,129.6702,127.7415,121.3029,137.07,750,25,12.98,False
5851,2024-04-19,121.41,122.24,120.68,121.24,,1065055.0,32.3598,125.2925,129.3793,127.8398,121.3921,136.99,751,26,12.99,False
5852,2024-04-22,122.13,124.18,120.99,123.35,,1027061.0,41.1741,125.1077,129.1382,127.9488,121.4893,136.9,752,27,10.99,False
5853,2024-04-23,124.36,126.14,123.92,125.97,,1218955.0,49.89,125.19,128.962,128.0661,121.5967,136.82,753,28,8.61,False
5854,2024-04-24,125.23,126.76,124.65,126.57,,1581352.0,51.6437,125.3213,128.763,128.1809,121.7052,136.74,754,29,8.04,False
5855,2024-04-25,125.03,126.16,122.49,123.75,,1196501.0,43.8258,125.1715,128.5409,128.2667,121.7893,136.66,755,30,10.43,False
5856,2024-04-26,123.76,125.53,123.23,123.69,,1593668.0,43.6753,125.0303,128.26,128.3188,121.8704,136.58,756,31,10.42,False
5857,2024-04-29,123.96,125.17,123.61,123.8,,3096180.0,44.0545,124.9129,128.0042,128.3717,121.9349,136.5,757,32,10.26,False
5858,2024-04-30,123.36,123.77,121.68,121.9,,2621578.0,39.1293,124.6261,127.7825,128.4252,121.9918,136.42,758,33,11.91,False
5859,2024-05-01,121.24,121.26,107.75,108.29,,9060685.0,20.9898,123.0702,127.3556,128.3266,121.979,136.34,759,34,25.9,False
5860,2024-05-02,110.4,112.1,107.39,109.76,,3993511.0,25.0302,121.8023,126.9253,128.2386,121.9668,136.25,760,35,24.13,False
5861,2024-05-03,111.21,111.78,109.06,110.58,,3191218.0,27.2762,120.7338,126.5117,128.1559,121.9627,136.17,761,36,23.14,False
5862,2024-05-06,110.85,111.25,109.58,110.3,,2163554.0,26.9825,119.7405,126.0796,128.0452,121.961,136.09,762,37,23.38,False
5863,2024-05-07,110.94,110.99,109.52,110.07,,2284886.0,26.717,118.8191,125.6382,127.9251,121.966,136.01,763,38,23.57,False
5864,2024-05-08,109.52,110.56,108.66,110.27,,2810784.0,27.3903,118.0053,125.2029,127.7494,121.9621,135.93,764,39,23.27,False
5865,2024-05-09,110.39,111.52,110.29,110.78,,1726921.0,29.0942,117.3172,124.8406,127.6115,121.9654,135.85,765,40,22.63,False
5866,2024-05-10,111.22,111.37,108.39,108.46,,2167751.0,26.0712,116.4734,124.439,127.4258,121.9582,135.77,766,41,25.18,False
5867,2024-05-13,109.36,110.32,108.37,108.61,,1989905.0,26.5977,115.7242,124.0326,127.2494,121.9686,135.69,767,42,24.93,False
5868,2024-05-14,109.22,110.32,108.34,109.41,,1453573.0,29.5168,115.1229,123.6728,127.0708,121.9782,135.61,768,43,23.95,False
5869,2024-05-15,109.55,109.97,107.44,108.05,,3456618.0,27.5231,114.4493,123.2803,126.9179,121.9743,135.53,769,44,25.43,False
5870,2024-05-16,108.04,109.28,107.69,108.5,,2564891.0,29.2144,113.8824,122.908,126.7505,121.9208,135.45,770,45,24.84,False
5871,2024-05-17,109.04,109.21,107.65,108.39,,1614698.0,29.036,113.3591,122.5174,126.5768,121.8608,135.37,771,46,24.89,False
5872,2024-05-20,108.34,108.36,106.39,106.62,,1616130.0,26.2438,112.7173,122.0805,126.3912,121.7935,135.29,772,47,26.89,False
5873,2024-05-21,105.98,107.03,105.03,106.6,,2348350.0,26.2133,112.1348,121.6306,126.1946,121.7212,135.21,773,48,26.84,False
5874,2024-05-22,106.33,106.7,105.13,105.52,,1831148.0,24.5393,111.5046,121.1026,125.9818,121.6437,135.12,774,49,28.05,False
5875,2024-05-23,105.45,105.65,102.23,102.51,,2751777.0,20.601,110.648,120.4968,125.7483,121.5424,135.04,775,50,31.73,False
5876,2024-05-24,102.27,103.73,101.9,102.03,,2870647.0,20.0519,109.8275,119.9161,125.5083,121.4404,134.96,776,51,32.27,False
5877,2024-05-28,102.07,102.4,100.46,100.75,,2205172.0,18.616,108.9632,119.3519,125.272,121.3137,134.88,777,52,33.88,False
5878,2024-05-29,99.55,100.25,98.71,99.78,,3078380.0,17.5858,108.0885,118.755,125.0227,121.1866,134.8,778,53,35.1,False
5879,2024-05-30,100.11,100.82,99.38,99.86,,4607101.0,17.9848,107.3047,118.1445,124.7588,121.0651,134.72,779,54,34.91,False
5880,2024-05-31,100.24,101.18,98.5,101.13,,3273387.0,24.3002,106.7166,117.5241,124.4513,120.9609,134.64,780,55,33.14,False
5881,2024-06-03,100.67,101.38,98.2,98.38,,2198386.0,20.6029,105.9226,116.819,124.1335,120.8426,134.56,781,56,36.78,False
5882,2024-06-04,97.99,98.25,96.76,96.85,,2323467.0,18.8827,105.0585,116.1321,123.7812,120.71,134.48,782,57,38.85,False
5883,2024-06-05,97.1,98.05,96.37,97.81,,2552732.0,23.2305,104.3685,115.4539,123.4512,120.5867,134.4,783,58,37.41,False
5884,2024-06-06,97.82,98.97,96.93,97.07,,2484283.0,22.238,103.6732,114.7304,123.1309,120.4618,134.32,784,59,38.37,False
5885,2024-06-07,96.81,98.42,96.13,97.02,,2705765.0,22.17,103.0395,114.0541,122.8236,120.3376,134.24,785,60,38.36,False
5886,2024-06-10,96.46,96.77,95.17,96.64,,3011353.0,21.6287,102.4302,113.3326,122.5211,120.2124,134.16,786,61,38.82,False
5887,2024-06-11,96.51,96.53,95.57,96.0,,1488679.0,20.6977,101.8174,112.6679,122.2183,120.0941,134.08,787,62,39.67,False
5888,2024-06-12,96.91,97.14,94.7,94.76,,2475938.0,19.0162,101.1457,112.0142,121.8829,119.9672,134.0,788,63,41.41,False
5889,2024-06-13,94.82,94.82,92.49,92.98,,2309371.0,16.8731,100.3678,111.3497,121.4978,119.8137,133.93,789,64,44.04,False
5890,2024-06-14,92.27,93.78,92.04,93.75,,2543227.0,21.0264,99.7377,110.7226,121.1288,119.6662,133.85,790,65,42.77,False
5891,2024-06-17,93.16,93.91,91.56,93.47,,2845741.0,20.6269,99.1411,110.0915,120.775,119.506,133.77,791,66,43.12,False
5892,2024-06-18,93.58,93.83,91.19,91.8,,2614438.0,18.3717,98.442,109.3844,120.391,119.3398,133.69,792,67,45.63,False
5893,2024-06-20,91.69,94.61,91.6,93.95,,3462200.0,29.1045,98.0144,108.7184,120.0035,119.1712,133.61,793,68,42.21,False
5894,2024-06-21,94.1,95.57,93.14,94.61,,4749018.0,32.0447,97.69,108.128,119.6079,119.0199,133.53,794,69,41.14,False
5895,2024-06-24,94.61,97.16,94.61,96.61,,2867455.0,40.181,97.587,107.587,119.2268,118.8744,133.45,795,70,38.13,False
5896,2024-06-25,96.57,96.57,94.77,95.23,,1835663.0,36.8915,97.3621,107.0342,118.8586,118.7255,133.37,796,71,40.05,False
5897,2024-06-26,94.61,95.21,94.01,94.74,,2203514.0,35.7794,97.1122,106.483,118.465,118.5778,133.29,797,72,40.69,False
5898,2024-06-27,94.52,94.69,93.36,94.4,,1210555.0,34.9913,96.8538,105.9199,118.0562,118.4323,133.21,798,73,41.11,False
5899,2024-06-28,94.81,96.6,94.12,96.27,,3439182.0,42.5298,96.7983,105.4037,117.6702,118.2961,133.13,799,74,38.29,False
5900,2024-07-01,96.57,96.61,94.65,95.26,,1959620.0,39.8311,96.6514,104.8825,117.2764,118.1515,133.05,800,75,39.67,False
5901,2024-07-02,95.44,96.67,95.31,96.66,,1294753.0,45.0244,96.6521,104.3909,116.8851,118.0132,132.97,801,76,37.56,False
5902,2024-07-03,98.04,98.19,95.76,96.16,,1283347.0,43.5877,96.6054,103.8471,116.4926,117.8791,132.89,802,77,38.2,False
5903,2024-07-05,95.92,96.19,95.01,95.79,,1345504.0,42.5067,96.528,103.2435,116.1028,117.7483,132.81,803,78,38.65,False
5904,2024-07-08,95.72,96.26,94.38,95.1,,1609735.0,40.4623,96.3916,102.6141,115.6885,117.6158,132.74,804,79,39.58,False
5905,2024-07-09,94.96,96.09,94.4,95.36,,2507302.0,41.6285,96.2938,102.0464,115.2937,117.4859,132.66,805,80,39.11,False
5906,2024-07-10,94.66,95.23,93.31,94.4,,1955966.0,38.6961,96.1134,101.4606,114.8603,117.3658,132.58,806,81,40.44,False
5907,2024-07-11,95.2,97.58,94.44,96.41,,2617453.0,47.0596,96.1417,100.9129,114.4585,117.2585,132.5,807,82,37.43,False
5908,2024-07-12,97.2,98.09,96.49,97.02,,3246210.0,49.3086,96.2251,100.4152,114.0988,117.1523,132.42,808,83,36.49,False
5909,2024-07-15,97.57,99.56,97.22,99.06,,2182511.0,56.0639,96.4949,100.2306,113.7931,117.067,132.34,809,84,33.6,False
5910,2024-07-16,99.35,102.78,99.31,102.65,,2790257.0,64.9275,97.0814,100.0885,113.5069,117.0103,132.26,810,85,28.85,False
5911,2024-07-17,101.86,104.7,101.85,103.06,,2493326.0,65.772,97.6508,99.938,113.2249,116.9515,132.18,811,86,28.26,False
5912,2024-07-18,102.57,103.89,100.66,100.71,,1746202.0,57.2293,97.9423,99.7462,112.9129,116.8844,132.11,812,87,31.18,False
5913,2024-07-19,101.02,101.4,98.96,100.19,,1921818.0,55.5183,98.1567,99.5487,112.5935,116.8121,132.03,813,88,31.78,False
5914,2024-07-22,100.9,101.09,98.49,99.9,,2353162.0,54.5389,98.3231,99.3413,112.2721,116.7585,131.95,814,89,32.08,False
5915,2024-07-23,100.61,100.73,98.81,99.47,,1843956.0,53.011,98.432,99.1151,111.9778,116.6972,131.87,815,90,32.57,False
5916,2024-07-24,99.04,100.07,97.76,97.94,,1868199.0,47.9776,98.3855,98.9048,111.6719,116.6226,131.79,816,91,34.56,False
5917,2024-07-25,98.57,100.75,98.25,98.3,,1335364.0,49.1998,98.3775,98.6987,111.3656,116.5468,131.71,817,92,33.99,False
5918,2024-07-26,98.97,101.21,98.6,100.74,,1778747.0,56.6622,98.6026,98.5253,111.0991,116.4877,131.64,818,93,30.67,False
5919,2024-07-29,100.85,101.76,99.89,101.12,,1136901.0,57.7001,98.8423,98.3867,110.8335,116.4235,131.56,819,94,30.1,False
5920,2024-07-30,101.71,102.5,100.76,101.37,,998763.0,58.4059,99.0829,98.2441,110.576,116.3607,131.48,820,95,29.7,False
5921,2024-07-31,101.27,102.19,99.66,101.19,,1712498.0,57.66,99.2834,98.1001,110.3088,116.3028,131.4,821,96,29.85,False
5922,2024-08-01,101.46,101.93,97.35,97.68,,1879400.0,45.4382,99.1312,97.9214,110.0009,116.2322,131.32,822,97,34.44,False
5923,2024-08-02,96.07,96.35,93.57,95.2,,1957736.0,39.0994,98.7563,97.6933,109.6619,116.1384,131.24,823,98,37.86,False
5924,2024-08-05,92.59,94.24,91.7,92.25,,2537630.0,33.1947,98.1366,97.4279,109.2652,116.025,131.17,824,99,42.19,False
5925,2024-08-06,92.21,94.57,91.6,92.61,,2961150.0,34.4905,97.61,97.2299,108.8633,115.9191,131.09,825,100,41.55,False
5926,2024-08-07,97.14,101.43,96.39,99.02,,3811951.0,52.3104,97.7441,97.1696,108.5428,115.8583,131.01,826,101,32.31,False
5927,2024-08-08,99.97,104.07,99.54,103.6,,3671843.0,60.5625,98.3017,97.2265,108.2892,115.8267,130.93,827,102,26.38,False
5928,2024-08-09,103.53,103.97,101.5,101.61,,2125447.0,56.0234,98.6165,97.2631,108.009,115.7967,130.86,828,103,28.79,False
5929,2024-08-12,101.62,102.38,99.75,99.98,,2054695.0,52.5656,98.7467,97.2656,107.705,115.7453,130.78,829,104,30.81,False
5930,2024-08-13,100.6,103.85,100.11,103.3,,2528929.0,58.2368,99.1803,97.309,107.4166,115.7395,130.7,830,105,26.52,False
5931,2024-08-14,103.7,104.93,103.39,104.61,,2174274.0,60.2648,99.6978,97.4337,107.1263,115.7464,130.62,831,106,24.86,False
5932,2024-08-15,106.25,108.8,106.25,108.3,,2986517.0,65.3447,100.5168,97.6626,106.8973,115.7796,130.54,832,107,20.54,False
5933,2024-08-16,107.63,109.2,107.49,108.35,,2093390.0,65.4091,101.2625,97.8733,106.6636,115.808,130.47,833,108,20.42,False
5934,2024-08-19,108.89,109.83,108.69,109.41,,1254999.0,66.8288,102.0387,98.1202,106.4253,115.8297,130.39,834,109,19.18,False
5935,2024-08-20,109.4,109.46,107.89,108.17,,1251741.0,63.5475,102.6224,98.3431,106.1986,115.8314,130.31,835,110,20.47,False
5936,2024-08-21,108.9,109.05,107.52,108.86,,1503894.0,64.5959,103.2169,98.5876,105.9601,115.8219,130.23,836,111,19.63,False
5937,2024-08-22,109.06,110.57,108.63,108.75,,1110029.0,64.2547,103.7434,98.8426,105.7553,115.803,130.16,837,112,19.69,False
5938,2024-08-23,109.33,110.06,108.73,110.0,,1036573.0,66.2691,104.3393,99.1473,105.5807,115.8039,130.08,838,113,18.25,False
5939,2024-08-26,110.66,111.62,109.55,109.91,,979991.0,65.9831,104.8698,99.4859,105.4178,115.8105,130.0,839,114,18.28,False
5940,2024-08-27,109.53,110.16,109.01,109.49,,897798.0,64.5822,105.31,99.8007,105.2617,115.8146,129.92,840,115,18.66,False
5941,2024-08-28,109.28,109.71,107.16,107.92,,1574745.0,59.4672,105.5585,100.0896,105.0906,115.8238,129.85,841,116,20.32,False
5942,2024-08-29,108.76,111.34,108.16,110.39,,1465465.0,64.2529,106.0184,100.4614,104.9229,115.8358,129.77,842,117,17.56,False
5943,2024-08-30,110.67,110.96,109.76,110.52,,2013645.0,64.4896,106.4469,100.7927,104.7555,115.8508,129.69,843,118,17.35,False
5944,2024-09-03,109.59,110.73,108.52,109.1,,1262757.0,59.8297,106.6999,101.0826,104.6053,115.8432,129.62,844,119,18.81,False
5945,2024-09-04,108.98,110.86,108.7,109.55,,1206451.0,60.7965,106.9715,101.3415,104.4642,115.8249,129.54,845,120,18.25,False
5946,2024-09-05,110.16,110.16,107.79,108.48,,1299019.0,57.2362,107.1149,101.6065,104.3204,115.8144,129.46,846,121,19.34,False
5947,2024-09-06,108.26,109.78,107.2,107.47,,2122864.0,54.0485,107.1488,101.8611,104.1721,115.7976,129.38,847,122,20.39,False
5948,2024-09-09,108.27,110.61,107.88,109.51,,1857111.0,59.0354,107.3738,102.1634,104.0416,115.7845,129.31,848,123,18.08,False
5949,2024-09-10,109.65,109.66,107.18,108.87,,1869609.0,56.9572,107.5168,102.4155,103.9096,115.7747,129.23,849,124,18.7,False
5950,2024-09-11,107.81,109.12,105.5,108.84,,1345631.0,56.8561,107.6432,102.6873,103.7849,115.7632,129.15,850,125,18.66,False
5951,2024-09-12,109.1,109.51,106.71,108.86,,1206633.0,56.911,107.7596,102.9314,103.6612,115.7505,129.08,851,126,18.57,False
5952,2024-09-13,109.3,110.99,109.3,110.2,,1192168.0,60.5331,107.9919,103.2121,103.5296,115.7392,129.0,852,127,17.06,False
5953,2024-09-16,110.6,111.29,109.5,110.81,,984407.0,62.0986,108.26,103.5124,103.378,115.722,128.92,853,128,16.34,False
5954,2024-09-17,111.93,112.63,110.76,111.83,,1255348.0,64.6253,108.5996,103.847,103.2305,115.7057,128.85,854,129,15.22,False
5955,2024-09-18,111.73,112.95,110.93,111.02,,1058218.0,61.1396,108.8298,104.16,103.1032,115.685,128.77,855,130,15.99,False
5956,2024-09-19,113.24,113.8,111.23,112.72,,2046507.0,65.3844,109.2006,104.5265,102.9936,115.6562,128.69,856,131,14.17,False
5957,2024-09-20,112.05,112.05,109.62,110.45,,2684939.0,56.5195,109.3194,104.8073,102.8601,115.6159,128.62,857,132,16.45,False
5958,2024-09-23,111.0,112.63,110.35,110.74,,2112324.0,57.3123,109.4545,105.0817,102.7484,115.5868,128.54,858,133,16.07,False
5959,2024-09-24,110.97,117.7,102.28,103.58,,9982772.0,38.5819,108.8953,105.1722,102.7014,115.514,128.47,859,134,24.03,False
5960,2024-09-25,100.54,100.78,95.8,96.85,,8009288.0,28.9798,107.748,105.0561,102.5723,115.4054,128.39,860,135,32.57,False
5961,2024-09-26,97.59,98.14,96.2,97.46,,4561128.0,30.6593,106.7678,104.944,102.441,115.2985,128.31,861,136,31.65,False
5962,2024-09-27,98.43,101.3,97.64,100.8,,2796684.0,39.1674,106.1994,104.9458,102.346,115.1956,128.24,862,137,27.22,False
5963,2024-09-30,100.0,102.35,100.0,102.2,,2831925.0,42.351,105.8182,104.9858,102.2673,115.0962,128.16,863,138,25.4,False
5964,2024-10-01,100.93,101.66,99.67,100.2,,2609565.0,39.1953,105.2832,104.9918,102.1665,114.958,128.08,864,139,27.82,False
5965,2024-10-02,99.8,99.8,96.36,97.45,,3378048.0,35.2877,104.5368,104.9514,102.0332,114.8224,128.01,865,140,31.36,False
5966,2024-10-03,97.11,98.41,97.04,97.98,,1502792.0,36.5949,103.9119,104.952,101.9284,114.6771,127.93,866,141,30.57,False
5967,2024-10-04,99.12,99.27,97.32,98.43,,1963689.0,37.7699,103.3903,104.9547,101.8267,114.5381,127.86,867,142,29.9,False
5968,2024-10-07,98.5,98.77,96.06,97.36,,2217112.0,36.0794,102.8157,104.887,101.7061,114.3885,127.78,868,143,31.24,False
