index,time,open,high,low,close,Volume,volume,rsi,ema20,ma50,ma100,ma200,trendline,duration_from_date1,duration_from_date2,distance,breakthrough
6161,2024-04-29,160.38,162.25,159.88,161.41,,1855248.0,71.4125,154.5951,149.826,145.0615,146.5834,162.25,131,0,0.52,False
6162,2024-04-30,161.41,161.41,155.71,155.83,,1671057.0,54.9113,154.7128,150.0138,145.2586,146.6992,162.23,132,1,4.11,False
6163,2024-05-01,155.18,157.28,153.23,155.12,,4859068.0,53.2206,154.7514,150.2218,145.4693,146.8151,162.21,133,2,4.57,False
6164,2024-05-02,156.37,158.62,156.0,156.89,,5170489.0,56.7831,154.9551,150.4294,145.7376,146.9293,162.19,134,3,3.38,False
6165,2024-05-03,156.41,157.25,153.24,157.19,,6029703.0,57.3691,155.1676,150.6204,145.9864,147.042,162.17,135,4,3.17,False
6166,2024-05-06,158.31,159.74,157.28,157.72,,3501520.0,58.4609,155.4108,150.8326,146.2239,147.1423,162.15,136,5,2.81,False
6167,2024-05-07,158.31,158.46,156.78,156.82,,2463996.0,55.8644,155.5451,151.01,146.4662,147.2289,162.13,137,6,3.39,False
6168,2024-05-08,156.08,156.67,154.91,156.0,,2402897.0,53.5292,155.5883,151.2625,146.6813,147.2945,162.1,138,7,3.91,False
6169,2024-05-09,156.27,158.31,156.08,158.27,,1841386.0,58.6634,155.8432,151.5587,146.8564,147.3631,162.08,139,8,2.41,False
6170,2024-05-10,159.27,159.27,157.14,158.71,,1378557.0,59.6078,156.1163,151.857,147.0167,147.4326,162.06,140,9,2.11,False
6171,2024-05-13,159.42,159.52,156.67,157.93,,2475479.0,57.1397,156.2889,152.0915,147.1583,147.4968,162.04,141,10,2.6,False
6172,2024-05-14,157.97,158.94,156.31,156.81,,1781442.0,53.7139,156.3386,152.3545,147.2753,147.5499,162.02,142,11,3.32,False
6173,2024-05-15,156.39,156.43,153.22,155.07,,2428702.0,48.8056,156.2177,152.5679,147.3878,147.5811,162.0,143,12,4.47,False
6174,2024-05-16,155.07,155.52,153.82,154.66,,2205742.0,47.7119,156.0697,152.8391,147.4925,147.6108,161.98,144,13,4.73,False
6175,2024-05-17,155.37,156.65,154.38,156.44,,2278408.0,52.7213,156.1054,153.12,147.611,147.66,161.96,145,14,3.53,False
6176,2024-05-20,157.09,157.22,153.78,154.19,,1738918.0,46.6277,155.9228,153.345,147.6865,147.6857,161.94,146,15,5.03,False
6177,2024-05-21,153.66,154.46,152.64,152.98,,2205236.0,43.716,155.6427,153.5048,147.7504,147.7005,161.92,147,16,5.84,False
6178,2024-05-22,152.53,152.53,148.84,149.74,,2860890.0,37.0224,155.0801,153.6062,147.8197,147.7044,161.9,148,17,8.12,False
6179,2024-05-23,150.47,150.76,148.22,148.7,,2253450.0,35.1661,154.4722,153.6407,147.8844,147.6954,161.88,149,18,8.86,False
6180,2024-05-24,149.63,150.63,149.12,149.8,,1652913.0,38.6671,154.0268,153.6637,147.954,147.6773,161.85,150,19,8.04,False
6181,2024-05-28,151.39,151.39,148.32,150.45,,4071919.0,40.717,153.686,153.6873,148.0001,147.6616,161.83,151,20,7.56,False
6182,2024-05-29,150.17,150.17,147.26,147.31,,1949377.0,34.7156,153.0789,153.6611,148.0353,147.6248,161.81,152,21,9.84,False
6183,2024-05-30,147.14,149.38,147.14,148.63,,2616638.0,38.7919,152.655,153.6259,148.0904,147.597,161.79,153,22,8.85,False
6184,2024-05-31,149.22,152.74,149.22,152.48,,2762066.0,48.8513,152.638,153.7203,148.1958,147.5964,161.77,154,23,6.09,False
6185,2024-06-03,151.26,152.17,143.47,147.69,,2563733.0,40.035,152.1666,153.7187,148.2898,147.5856,161.75,155,24,9.52,False
6186,2024-06-04,145.81,146.9,144.12,146.48,,1631256.0,38.1653,151.625,153.6873,148.384,147.5613,161.73,156,25,10.41,False
6187,2024-06-05,146.35,147.29,145.2,145.47,,1638231.0,36.6252,151.039,153.601,148.4595,147.5256,161.71,157,26,11.16,False
6188,2024-06-06,145.01,146.43,144.28,146.42,,1216861.0,39.1154,150.5992,153.5689,148.525,147.504,161.69,158,27,10.43,False
6189,2024-06-07,145.98,147.83,145.36,145.99,,1166008.0,38.3712,150.1598,153.5094,148.6205,147.4883,161.67,159,28,10.74,False
6190,2024-06-10,146.05,147.9,146.02,146.25,,2498356.0,39.1365,149.7878,153.4138,148.7206,147.4799,161.65,160,29,10.53,False
6191,2024-06-11,145.34,146.62,144.39,146.44,,1314451.0,39.7039,149.469,153.2796,148.8323,147.4763,161.63,161,30,10.37,False
