index,time,open,high,low,close,Volume,volume,rsi,ema20,ma50,ma100,ma200,trendline,duration_from_date1,duration_from_date2,distance,breakthrough
6308,2024-11-26,38.92,39.29,38.62,38.78,,12112424.0,64.1701,37.0834,36.2583,35.467,32.9598,39.29,1,0,1.32,False
6309,2024-11-27,36.26,37.19,33.26,34.37,,27423793.0,38.8478,36.8252,36.2609,35.4623,32.9955,39.12,2,1,13.82,False
6310,2024-11-29,33.97,35.58,33.97,35.14,,8300944.0,43.0453,36.6643,36.273,35.4589,33.033,38.95,3,2,10.84,False
6311,2024-12-02,35.45,36.3,34.93,36.15,,11320889.0,48.1249,36.615,36.3065,35.4653,33.0733,38.78,4,3,7.28,False
6312,2024-12-03,36.07,36.61,35.59,36.48,,7311620.0,49.7342,36.6026,36.3398,35.4689,33.1175,38.62,5,4,5.87,False
6313,2024-12-04,36.58,36.62,35.66,36.06,,8736016.0,47.718,36.5507,36.3501,35.4622,33.1593,38.45,6,5,6.63,False
6314,2024-12-05,36.28,36.32,35.73,35.87,,8251449.0,46.8149,36.4859,36.3525,35.4472,33.2011,38.29,7,6,6.75,False
6315,2024-12-06,36.15,36.3,35.6,35.9,,6583550.0,46.9855,36.43,36.3396,35.4313,33.2406,38.12,8,7,6.18,False
6316,2024-12-09,35.98,36.5,35.82,36.15,,6308444.0,48.469,36.4031,36.3602,35.4251,33.2797,37.96,9,8,5.01,False
6317,2024-12-10,35.85,35.96,34.61,34.65,,8015777.0,41.0054,36.2361,36.3418,35.4062,33.3137,37.79,10,9,9.06,False
6318,2024-12-11,34.85,34.9,34.35,34.55,,8183462.0,40.5573,36.0755,36.3434,35.3778,33.347,37.63,11,10,8.91,False
6319,2024-12-12,34.47,35.14,34.26,34.98,,5143653.0,43.4268,35.9712,36.3452,35.3567,33.3829,37.47,12,11,7.12,False
6320,2024-12-13,35.06,35.08,34.34,34.55,,5101544.0,41.2807,35.8358,36.3301,35.3302,33.4186,37.31,13,12,7.99,False
6321,2024-12-16,34.4,34.78,34.05,34.19,,8182425.0,39.5199,35.6791,36.3001,35.3155,33.4473,37.15,14,13,8.66,False
6322,2024-12-17,33.52,34.36,33.33,33.84,,8290814.0,37.8304,35.5039,36.2647,35.2965,33.476,36.99,15,14,9.31,False
6323,2024-12-18,33.98,34.07,32.44,32.49,,10393079.0,32.1255,35.2169,36.2005,35.266,33.4975,36.83,16,15,13.36,False
6324,2024-12-19,32.57,33.14,32.27,32.46,,7615740.0,32.01,34.9543,36.1241,35.2413,33.5136,36.67,17,16,12.97,False
6325,2024-12-20,32.29,33.19,32.14,32.94,,17752861.0,35.9769,34.7625,36.054,35.2157,33.5305,36.51,18,17,10.84,False
6326,2024-12-23,32.84,33.26,32.65,33.23,,5241816.0,38.3185,34.6165,35.9846,35.2021,33.5479,36.35,19,18,9.39,False
6327,2024-12-24,33.33,33.47,33.17,33.44,,2128103.0,40.029,34.5045,35.9108,35.2048,33.5659,36.2,20,19,8.25,False
6328,2024-12-26,33.34,33.65,33.27,33.43,,3062800.0,39.9721,34.4022,35.8461,35.217,33.5841,36.04,21,20,7.81,False
6329,2024-12-27,33.29,33.39,32.97,33.28,,4423616.0,39.0757,34.2953,35.7743,35.228,33.6005,35.88,22,21,7.81,False
6330,2024-12-30,32.84,32.87,32.2,32.63,,4243009.0,35.3738,34.1367,35.6816,35.2393,33.6142,35.73,23,22,9.5,False
