index,time,open,high,low,close,Volume,volume,rsi,ema20,ma50,ma100,ma200,trendline,duration_from_date1,duration_from_date2,distance,breakthrough
5913,2023-05-03,263.85,264.75,261.62,262.36,,1104642.0,75.8683,252.6172,240.8182,230.246,222.6639,264.75,2,0,0.91,False
5914,2023-05-04,262.78,263.11,261.02,262.77,,887169.0,76.2737,253.5839,241.4838,230.575,222.9578,264.67,3,1,0.72,False
5915,2023-05-05,261.64,263.67,261.27,263.43,,727978.0,76.9431,254.5214,242.1508,230.9539,223.2584,264.59,4,2,0.44,False
5916,2023-05-08,261.75,263.82,260.24,262.89,,589530.0,75.0914,255.3186,242.8349,231.3034,223.5539,264.51,5,3,0.62,False
5917,2023-05-09,263.73,263.96,261.77,262.23,,902972.0,72.7677,255.977,243.502,231.6745,223.846,264.43,6,4,0.84,False
5918,2023-05-10,261.67,262.48,260.44,262.27,,776548.0,72.8202,256.5763,244.187,232.049,224.1339,264.35,7,5,0.79,False
5919,2023-05-11,262.82,263.16,260.45,262.9,,652730.0,73.7206,257.1787,244.9167,232.4476,224.4195,264.27,8,6,0.52,False
5920,2023-05-12,263.23,263.71,261.4,262.71,,644390.0,72.9322,257.7055,245.609,232.8362,224.7031,264.19,9,7,0.56,False
5921,2023-05-15,262.71,262.71,258.43,258.77,,677956.0,58.9461,257.8067,246.2225,233.1864,224.9385,264.11,10,8,2.06,False
5922,2023-05-16,258.27,258.83,255.08,257.59,,906399.0,55.5228,257.7862,246.7841,233.5366,225.1506,264.03,11,9,2.5,False
5923,2023-05-17,257.97,257.97,253.42,255.94,,1167353.0,51.0336,257.61,247.3419,233.8576,225.3458,263.95,12,10,3.13,False
5924,2023-05-18,255.11,256.45,253.81,256.3,,1010939.0,51.9431,257.4849,247.8948,234.1827,225.5458,263.87,13,11,2.95,False
5925,2023-05-19,256.51,256.69,253.98,255.53,,1261120.0,49.8149,257.2985,248.4393,234.491,225.7468,263.79,14,12,3.23,False
5926,2023-05-22,255.49,256.41,249.73,252.49,,1274803.0,42.4214,256.8407,248.9399,234.7704,225.9462,263.71,15,13,4.44,False
5927,2023-05-23,252.14,252.69,248.98,252.05,,1369691.0,41.4568,256.3845,249.3775,235.0727,226.1346,263.63,16,14,4.59,False
5928,2023-05-24,252.19,253.47,250.47,252.1,,940387.0,41.6122,255.9764,249.7887,235.3718,226.3269,263.55,17,15,4.54,False
5929,2023-05-25,252.49,252.97,248.59,250.09,,1673805.0,37.1705,255.4159,250.1134,235.6668,226.4999,263.47,18,16,5.35,False
5930,2023-05-26,249.82,251.14,246.4,247.54,,1142384.0,32.4264,254.6654,250.376,235.9805,226.6688,263.39,19,17,6.4,False
5931,2023-05-30,245.6,247.87,244.93,246.24,,1414245.0,30.3119,253.863,250.648,236.3161,226.8373,263.31,20,18,6.93,False
5932,2023-05-31,247.47,249.7,246.05,249.44,,1630723.0,40.6011,253.4416,250.9574,236.6854,227.019,263.23,21,19,5.53,False
5933,2023-06-01,250.09,250.96,248.28,249.4,,1139027.0,40.5237,253.0566,251.2918,237.03,227.179,263.16,22,20,5.52,False
5934,2023-06-02,247.68,251.3,247.68,250.6,,991895.0,44.1093,252.8227,251.6589,237.3889,227.3431,263.08,23,21,4.98,False
5935,2023-06-05,250.51,251.58,247.14,249.23,,1100888.0,41.0597,252.4802,251.9748,237.74,227.5015,263.0,24,22,5.53,False
5936,2023-06-06,250.24,250.87,244.02,245.2,,955064.0,33.7062,251.7871,252.1359,238.0336,227.6341,262.92,25,23,7.23,False
5937,2023-06-07,243.0,245.82,241.67,243.19,,1268695.0,30.7481,250.9688,252.1988,238.33,227.7446,262.84,26,24,8.08,False
5938,2023-06-08,243.21,245.1,242.04,245.04,,794499.0,36.2805,250.404,252.2602,238.6217,227.8727,262.76,27,25,7.23,False
5939,2023-06-09,243.86,246.79,243.45,245.71,,691123.0,38.2184,249.9571,252.3408,238.9245,227.9988,262.68,28,26,6.91,False
5940,2023-06-12,246.09,246.4,243.09,245.11,,913914.0,37.1241,249.4951,252.3961,239.3107,228.1179,262.6,29,27,7.14,False
5941,2023-06-13,244.18,247.64,243.3,247.55,,1179073.0,44.0765,249.3095,252.4788,239.7274,228.2493,262.52,30,28,6.05,False
5942,2023-06-14,247.52,250.92,246.29,250.29,,871429.0,50.6882,249.4031,252.5638,240.1869,228.4167,262.44,31,29,4.85,False
5943,2023-06-15,250.92,251.43,249.24,250.55,,943866.0,51.2739,249.5126,252.6366,240.6249,228.5891,262.36,32,30,4.71,False
5944,2023-06-16,251.65,252.89,249.99,250.42,,1577162.0,50.9361,249.5988,252.6806,241.0307,228.7688,262.28,33,31,4.74,False
5945,2023-06-20,251.03,251.94,247.86,248.25,,957053.0,45.7014,249.4701,252.6728,241.4081,228.945,262.2,34,32,5.62,False
5946,2023-06-21,248.55,249.66,246.57,248.66,,952086.0,46.8213,249.3929,252.6948,241.7989,229.1095,262.12,35,33,5.41,False
5947,2023-06-22,250.23,250.7,248.54,250.02,,740818.0,50.4551,249.453,252.7365,242.2153,229.2974,262.04,36,34,4.81,False
5948,2023-06-23,250.97,250.97,247.64,248.85,,3652236.0,47.4548,249.3958,252.7649,242.5778,229.4857,261.97,37,35,5.27,False
