index,time,open,high,low,close,Volume,volume,rsi,ema20,ma50,ma100,ma200,trendline,duration_from_date1,duration_from_date2,distance,breakthrough
2252,2024-12-06,470.11,471.53,459.64,461.97,,429505.0,55.9987,456.2789,447.5491,415.4665,401.3812,471.53,21,0,2.07,False
2253,2024-12-09,461.12,461.12,446.7,452.22,,345440.0,49.1822,455.8924,448.0484,416.3226,401.8358,471.13,22,1,4.18,False
2254,2024-12-10,450.97,453.88,446.12,448.59,,329466.0,46.8935,455.1969,448.4778,417.128,402.2535,470.73,23,2,4.94,False
2255,2024-12-11,455.95,460.69,449.63,457.0,,365012.0,52.418,455.3686,449.0964,417.9278,402.7235,470.34,24,3,2.92,False
2256,2024-12-12,457.0,457.92,451.76,455.34,,299313.0,51.284,455.3659,449.6737,418.7075,403.1628,469.94,25,4,3.21,False
2257,2024-12-13,457.38,459.94,451.76,453.62,,233620.0,50.0751,455.1996,450.2524,419.695,403.5447,469.54,26,5,3.51,False
2258,2024-12-16,451.95,456.56,449.61,455.82,,339265.0,51.6452,455.2587,450.799,420.7186,403.9173,469.15,27,6,2.92,False
2259,2024-12-17,451.72,451.85,437.42,439.53,,561240.0,41.2907,453.7607,450.8461,421.4647,404.1937,468.75,28,7,6.65,False
2260,2024-12-18,442.04,444.86,425.3,425.42,,419054.0,34.7851,451.0616,450.5576,422.0716,404.4347,468.35,29,8,10.09,False
2261,2024-12-19,432.01,432.01,420.88,424.55,,493283.0,34.425,448.5367,450.0861,422.5415,404.6353,467.96,30,9,10.22,False
2262,2024-12-20,421.32,431.88,418.81,426.8,,821461.0,36.2629,446.4665,449.7784,422.8763,404.8222,467.56,31,10,9.55,False
2263,2024-12-23,426.49,427.81,422.76,425.9,,203799.0,35.8303,444.5078,449.1912,423.36,405.0037,467.17,32,11,9.69,False
2264,2024-12-24,426.3,433.13,426.3,432.04,,168146.0,41.0013,443.3204,448.6483,424.0401,405.2442,466.77,33,12,8.04,False
2265,2024-12-26,430.6,433.79,429.23,430.46,,313521.0,40.1057,442.0956,448.2555,424.7219,405.4297,466.38,34,13,8.34,False
2266,2024-12-27,426.78,430.09,421.67,423.11,,280292.0,36.1498,440.2875,447.6625,425.364,405.5656,465.99,35,14,10.13,False
2267,2024-12-30,417.79,421.22,412.69,419.19,,194028.0,34.2116,438.2782,446.9223,425.9867,405.6704,465.59,36,15,11.07,False
