index,time,open,high,low,close,Volume,volume,rsi,ema20,ma50,ma100,ma200,trendline,duration_from_date1,duration_from_date2,distance,breakthrough
4798,2024-12-11,158.22,159.35,157.16,157.72,,3249218.0,49.7253,157.4964,159.6975,158.0124,146.7214,159.35,29,0,1.03,False
4799,2024-12-12,158.07,158.45,155.88,156.1,,2007067.0,44.5257,157.363,159.6104,158.0961,146.8161,159.08,30,1,1.91,False
4800,2024-12-13,156.24,156.95,154.98,155.13,,2411606.0,41.7292,157.1502,159.4572,158.1806,146.9081,158.8,31,2,2.37,False
4801,2024-12-16,155.53,155.78,154.36,154.58,,2331526.0,40.188,156.9054,159.3031,158.2446,146.9967,158.53,32,3,2.56,False
4802,2024-12-17,154.11,154.29,152.58,152.79,,3634078.0,35.5701,156.5135,159.1773,158.271,147.0787,158.26,33,4,3.58,False
4803,2024-12-18,152.99,154.39,149.53,149.6,,4571962.0,29.1431,155.855,158.9369,158.264,147.1382,157.99,34,5,5.61,False
4804,2024-12-19,150.0,151.17,148.06,148.29,,4870545.0,26.9866,155.1346,158.6773,158.2425,147.191,157.71,35,6,6.35,False
4805,2024-12-20,148.35,151.34,148.0,150.31,,6446830.0,34.9765,154.6751,158.4798,158.2386,147.2568,157.44,36,7,4.74,False
4806,2024-12-23,149.39,150.42,148.77,150.16,,2853782.0,34.673,154.2451,158.2411,158.2387,147.3228,157.17,37,8,4.67,False
4807,2024-12-24,150.16,150.57,149.6,150.46,,1084636.0,35.8713,153.8846,157.9722,158.2533,147.3986,156.9,38,9,4.28,False
4808,2024-12-26,149.2,151.37,149.2,151.02,,1168102.0,38.1518,153.6118,157.6986,158.2842,147.4772,156.63,39,10,3.71,False
4809,2024-12-27,149.88,151.35,149.53,150.32,,1212355.0,36.4089,153.2983,157.412,158.2908,147.5498,156.36,40,11,4.02,False
4810,2024-12-30,149.16,149.95,148.35,149.37,,2444147.0,34.13,152.9241,157.1128,158.2818,147.6255,156.09,41,12,4.5,False
