index,time,open,high,low,close,Volume,volume,rsi,ema20,ma50,ma100,ma200,trendline,duration_from_date1,duration_from_date2,distance,breakthrough
5474,2021-08-04,696.12,706.51,694.97,698.48,,358424.0,67.5046,674.8778,627.8768,572.8552,526.4839,706.51,4,0,1.15,False
5475,2021-08-05,698.87,706.14,692.84,705.76,,265759.0,69.812,677.8189,630.8882,574.7852,527.9164,706.4,5,1,0.09,False
5476,2021-08-06,695.69,698.9,673.09,685.2,,388863.0,57.4133,678.5219,633.4456,576.568,529.2419,706.29,6,2,3.08,False
5477,2021-08-09,685.2,688.77,680.29,686.41,,240501.0,57.8873,679.2731,636.093,578.3831,530.5753,706.18,7,3,2.88,False
5478,2021-08-10,688.14,688.14,669.26,671.53,,349749.0,50.4503,678.5357,638.3614,580.2537,531.815,706.07,8,4,5.14,False
5479,2021-08-11,672.64,676.29,657.12,665.32,,342696.0,47.6963,677.2771,640.656,582.0581,532.9933,705.96,9,5,6.11,False
5480,2021-08-12,663.05,676.89,663.05,675.67,,266403.0,52.3637,677.124,643.2182,583.9011,534.2269,705.85,10,6,4.47,False
5481,2021-08-13,671.46,678.0,665.75,672.1,,215934.0,50.6837,676.6455,645.6542,585.7455,535.3716,705.74,11,7,5.01,False
5482,2021-08-16,673.77,676.34,668.09,675.48,,334797.0,52.2459,676.5345,647.9966,587.7706,536.6345,705.63,12,8,4.46,False
5483,2021-08-17,669.84,679.74,668.21,678.12,,264850.0,53.4853,676.6855,650.352,589.8307,537.8161,705.52,13,9,4.04,False
5484,2021-08-18,677.02,684.31,676.61,676.94,,267684.0,52.8253,676.7098,652.6646,591.7979,539.0767,705.41,14,10,4.21,False
5485,2021-08-19,674.88,690.0,673.1,681.71,,397900.0,55.2301,677.186,654.9656,593.8232,540.33,705.3,15,11,3.46,False
5486,2021-08-20,681.71,685.23,672.52,682.14,,378529.0,55.4506,677.6578,656.9978,595.8851,541.5202,705.19,16,12,3.38,False
5487,2021-08-23,683.15,683.15,669.31,671.11,,472156.0,48.8106,677.0342,658.7306,597.7031,542.529,705.08,17,13,5.06,False
5488,2021-08-24,671.72,673.54,667.25,672.54,,398372.0,49.6524,676.6062,660.3342,599.5649,543.5518,704.97,18,14,4.82,False
5489,2021-08-25,675.42,678.4,665.94,676.42,,357868.0,51.9606,676.5884,662.0174,601.416,544.5434,704.86,19,15,4.2,False
5490,2021-08-26,676.93,681.91,670.03,673.36,,292563.0,50.0132,676.281,663.6142,603.2206,545.728,704.75,20,16,4.66,False
5491,2021-08-27,673.9,681.25,667.55,668.27,,316304.0,46.8666,675.518,664.8956,605.0106,546.8632,704.64,21,17,5.44,False
5492,2021-08-30,667.27,690.11,666.92,686.97,,410331.0,57.4565,676.6087,666.614,606.8837,548.0227,704.53,22,18,2.56,False
5493,2021-08-31,689.06,689.06,667.32,673.76,,557515.0,49.8917,676.3374,667.9566,608.5925,549.1454,704.42,23,19,4.55,False
5494,2021-09-01,671.64,678.42,659.27,676.9,,394867.0,51.5254,676.391,669.2618,610.2972,550.2617,704.31,24,20,4.05,False
5495,2021-09-02,677.38,687.69,676.97,685.44,,331862.0,55.7511,677.2528,670.653,611.9822,551.4121,704.2,25,21,2.74,False
5496,2021-09-03,682.1,692.16,680.19,688.33,,294334.0,57.1135,678.3077,672.121,613.7239,552.5745,704.09,26,22,2.29,False
5497,2021-09-07,684.04,686.2,667.08,681.67,,459040.0,53.059,678.628,673.3416,615.256,553.7625,703.99,27,23,3.27,False
5498,2021-09-08,681.84,695.18,677.5,687.7,,344927.0,56.0979,679.492,674.4576,616.783,554.9151,703.88,28,24,2.35,False
5499,2021-09-09,690.03,692.32,675.66,676.57,,340300.0,49.702,679.2137,675.2474,618.2629,555.9765,703.77,29,25,4.02,False
5500,2021-09-10,679.86,686.13,675.53,681.61,,293774.0,52.3513,679.4419,676.2486,619.7563,557.0856,703.66,30,26,3.23,False
5501,2021-09-13,687.03,687.03,646.47,655.05,,514386.0,40.3037,677.1189,676.5706,620.896,558.1267,703.55,31,27,7.4,False
5502,2021-09-14,663.22,669.54,659.48,661.39,,401895.0,43.638,675.6209,676.8344,622.0473,559.2012,703.44,32,28,6.36,False
5503,2021-09-15,660.62,668.92,658.95,661.65,,663074.0,43.7767,674.2903,676.8876,623.0728,560.2383,703.33,33,29,6.3,False
5504,2021-09-16,664.45,666.16,651.49,663.45,,670988.0,44.7896,673.2579,676.8504,624.1231,561.2507,703.22,34,30,5.99,False
5505,2021-09-17,661.45,664.8,655.11,661.71,,967580.0,43.9651,672.1581,676.8858,625.1648,562.2199,703.11,35,31,6.26,False
5506,2021-09-20,657.1,668.69,651.54,659.78,,725184.0,43.0191,670.9792,676.7408,626.1845,563.2059,703.0,36,32,6.55,False
5507,2021-09-21,663.95,668.51,659.3,666.87,,739149.0,47.489,670.5879,676.8874,627.3269,564.2399,702.89,37,33,5.4,False
5508,2021-09-22,670.2,672.43,660.04,671.47,,320147.0,50.2177,670.6719,677.0652,628.5517,565.3115,702.78,38,34,4.66,False
5509,2021-09-23,674.99,689.95,670.66,682.58,,369926.0,56.145,671.806,677.5198,629.8787,566.4276,702.67,39,35,2.94,False
5510,2021-09-24,678.74,684.21,671.34,679.64,,255680.0,54.3024,672.5521,677.9642,631.4063,567.5223,702.56,40,36,3.37,False
5511,2021-09-27,672.97,674.45,640.21,650.02,,558866.0,40.0441,670.4062,677.6094,632.6073,568.523,702.45,41,37,8.07,False
5512,2021-09-28,644.4,644.79,621.65,626.85,,555410.0,32.7909,666.258,676.7584,633.544,569.3859,702.34,42,38,12.04,False
5513,2021-09-29,631.38,637.44,627.51,629.55,,281302.0,34.2847,662.762,675.9616,634.3969,570.2525,702.23,43,39,11.54,False
5514,2021-09-30,633.72,638.15,620.86,621.9,,381544.0,32.1073,658.8704,674.9894,635.3633,571.0712,702.13,44,40,12.9,False
5515,2021-10-01,623.15,626.08,608.37,623.98,,439070.0,33.3468,655.5475,673.8084,636.3212,571.8663,702.02,45,41,12.51,False
5516,2021-10-04,619.28,621.62,597.69,614.19,,472877.0,30.5223,651.6087,672.2174,637.34,572.5993,701.91,46,42,14.28,False
5517,2021-10-05,617.66,625.77,614.09,614.8,,467187.0,30.9149,648.1031,670.8,638.3073,573.2843,701.8,47,43,14.15,False
