index,time,open,high,low,close,Volume,volume,rsi,ema20,ma50,ma100,ma200,trendline,duration_from_date1,duration_from_date2,distance,breakthrough
6294,2024-11-06,234.39,238.22,233.2,234.9,,917470.0,76.2949,213.9668,207.9425,203.5945,213.7261,238.22,158,0,1.41,False
6295,2024-11-07,235.22,235.31,228.56,228.9,,608671.0,66.9099,215.389,208.4701,203.8938,213.8521,238.18,159,1,4.05,False
6296,2024-11-08,228.68,230.98,227.5,228.51,,488681.0,66.3387,216.6386,208.9501,204.1688,213.9659,238.15,160,2,4.22,False
6297,2024-11-11,229.68,231.52,227.84,229.34,,369265.0,66.9847,217.8483,209.4207,204.4439,214.0769,238.11,161,3,3.82,False
6298,2024-11-12,228.26,228.98,226.6,227.97,,377474.0,64.775,218.8123,209.9355,204.71,214.1663,238.08,162,4,4.43,False
6299,2024-11-13,227.14,231.52,226.86,231.0,,780643.0,67.341,219.973,210.5607,204.9885,214.2633,238.04,163,5,3.05,False
6300,2024-11-14,230.64,232.62,229.19,229.39,,596344.0,64.6463,220.8699,211.2259,205.2957,214.363,238.0,164,6,3.75,False
6301,2024-11-15,229.43,231.32,227.66,227.83,,1896161.0,62.055,221.5327,211.8924,205.5959,214.4119,237.97,165,7,4.45,False
6302,2024-11-18,226.2,228.78,226.2,226.66,,659599.0,60.109,222.021,212.495,205.8742,214.4523,237.93,166,8,4.97,False
6303,2024-11-19,224.33,225.98,222.78,223.61,,685046.0,55.2454,222.1724,213.0291,206.1116,214.4898,237.9,167,9,6.39,False
6304,2024-11-20,224.18,224.18,219.95,223.11,,465205.0,54.4673,222.2617,213.5615,206.3968,214.5215,237.86,168,10,6.61,False
6305,2024-11-21,223.35,228.3,223.15,227.45,,507138.0,59.7643,222.7558,214.1612,206.7201,214.5574,237.82,169,11,4.56,False
6306,2024-11-22,228.44,233.08,228.31,232.5,,409966.0,64.8836,223.6838,214.8286,207.1066,214.6017,237.79,170,12,2.28,False
6307,2024-11-25,234.23,237.38,233.69,236.06,,726612.0,67.9768,224.8625,215.5094,207.5332,214.652,237.75,171,13,0.72,False
6308,2024-11-26,235.27,235.65,231.05,232.02,,482298.0,61.3703,225.5442,216.0693,207.9099,214.6882,237.72,172,14,2.46,False
6309,2024-11-27,232.81,233.15,229.47,231.1,,728299.0,59.9417,226.0733,216.5926,208.2814,214.7332,237.68,173,15,2.85,False
6310,2024-11-29,230.63,232.31,229.91,230.63,,268772.0,59.1837,226.5073,217.0089,208.6164,214.7623,237.64,174,16,3.04,False
6311,2024-12-02,230.94,231.9,229.16,231.81,,361356.0,60.5331,227.0123,217.4841,208.9131,214.7939,237.61,175,17,2.5,False
6312,2024-12-03,231.93,231.93,228.71,230.5,,376722.0,58.2314,227.3444,217.9078,209.1802,214.8201,237.57,176,18,3.07,False
6313,2024-12-04,229.89,230.06,226.8,227.87,,571003.0,53.808,227.3945,218.2294,209.3987,214.8188,237.54,177,19,4.24,False
6314,2024-12-05,229.53,230.33,226.06,228.45,,799040.0,54.6266,227.495,218.6312,209.582,214.8052,237.5,178,20,3.96,False
6315,2024-12-06,230.12,231.76,229.44,229.71,,477412.0,56.4328,227.706,218.9711,209.7809,214.7895,237.46,179,21,3.37,False
6316,2024-12-09,230.2,231.75,228.89,229.65,,378020.0,56.3179,227.8911,219.2784,210.0221,214.764,237.43,180,22,3.39,False
6317,2024-12-10,230.18,230.18,226.33,227.95,,286516.0,53.0218,227.8967,219.5614,210.2785,214.7349,237.39,181,23,4.14,False
6318,2024-12-11,229.21,230.28,227.53,228.17,,431583.0,53.4019,227.9228,219.888,210.5147,214.7069,237.36,182,24,4.03,False
6319,2024-12-12,227.82,228.88,224.44,224.98,,420018.0,47.4119,227.6425,220.175,210.7321,214.6598,237.32,183,25,5.48,False
6320,2024-12-13,224.11,225.61,221.29,223.0,,455777.0,44.1051,227.2003,220.4317,210.9815,214.6068,237.29,184,26,6.41,False
6321,2024-12-16,223.02,224.56,221.33,224.08,,1236141.0,46.305,226.9032,220.705,211.1981,214.5414,237.25,185,27,5.88,False
6322,2024-12-17,223.46,224.9,221.66,222.19,,898712.0,43.1075,226.4543,220.9908,211.3621,214.4758,237.21,186,28,6.76,False
6323,2024-12-18,222.6,223.0,211.62,211.65,,549298.0,30.471,225.0444,221.0691,211.4231,214.3687,237.18,187,29,12.06,False
6324,2024-12-19,212.78,215.41,210.11,210.26,,766891.0,29.2531,223.6363,221.133,211.4518,214.246,237.14,188,30,12.78,False
6325,2024-12-20,209.5,213.55,206.97,212.38,,1243751.0,33.6114,222.5643,221.2252,211.4976,214.1258,237.11,189,31,11.64,False
6326,2024-12-23,211.08,212.53,210.41,210.76,,424200.0,31.9897,221.4401,221.2106,211.6486,213.9982,237.07,190,32,12.48,False
6327,2024-12-24,210.17,212.7,210.17,212.28,,156266.0,35.1513,220.5677,221.19,211.8366,213.8759,237.03,191,33,11.66,False
6328,2024-12-26,211.88,214.36,211.29,212.98,,401775.0,36.6127,219.8451,221.2152,212.0505,213.7486,237.0,192,34,11.28,False
6329,2024-12-27,211.27,213.43,210.19,211.11,,166152.0,34.3835,219.0131,221.2254,212.2467,213.6118,236.96,193,35,12.24,False
6330,2024-12-30,209.72,209.99,206.75,208.83,,246597.0,31.8382,218.0433,221.2044,212.4355,213.4609,236.93,194,36,13.46,False
