index,time,open,high,low,close,Volume,volume,rsi,ema20,ma50,ma100,ma200,trendline,duration_from_date1,duration_from_date2,distance,breakthrough
6077,2023-12-27,49.95,50.59,49.52,50.08,,51859798.0,76.3052,45.0642,40.6284,37.7712,34.4391,50.59,683,0,1.02,False
6078,2023-12-28,50.13,50.19,49.49,49.71,,27705233.0,73.9202,45.507,40.9135,37.9219,34.551,50.57,684,1,1.73,False
6079,2023-12-29,49.63,49.89,49.1,49.58,,29288707.0,72.9905,45.8945,41.2041,38.0733,34.6602,50.56,685,2,1.98,False
6080,2024-01-02,48.54,48.72,46.82,47.16,,45905728.0,59.0052,46.0149,41.4457,38.2078,34.7487,50.54,686,3,7.17,False
6081,2024-01-03,46.47,47.17,46.17,46.42,,35858434.0,55.4995,46.0534,41.6873,38.3309,34.8354,50.53,687,4,8.85,False
6082,2024-01-04,45.1,46.53,44.63,46.24,,47797812.0,54.6602,46.0712,41.9464,38.4503,34.9243,50.51,688,5,9.23,False
6083,2024-01-05,46.4,47.19,46.01,46.26,,34197720.0,54.7421,46.0893,42.1914,38.562,35.0167,50.5,689,6,9.17,False
6084,2024-01-08,46.44,48.11,46.34,47.8,,42135127.0,60.7047,46.2522,42.5017,38.6981,35.1184,50.48,690,7,5.61,False
6085,2024-01-09,47.37,47.91,47.15,47.41,,30097005.0,58.5738,46.362,42.8102,38.8424,35.2138,50.47,691,8,6.45,False
6086,2024-01-10,47.59,47.65,46.31,46.83,,31480186.0,55.5299,46.4069,43.0479,38.9904,35.3047,50.45,692,9,7.73,False
6087,2024-01-11,46.8,47.2,46.1,47.0,,31707881.0,56.2476,46.4634,43.286,39.1384,35.3973,50.44,693,10,7.32,False
6088,2024-01-12,46.96,47.03,45.98,46.49,,27587902.0,53.4083,46.4657,43.498,39.2774,35.4868,50.42,694,11,8.45,False
6089,2024-01-16,46.35,46.59,45.76,46.43,,43720666.0,53.0754,46.4622,43.6932,39.4182,35.5652,50.41,695,12,8.57,False
6090,2024-01-17,45.79,45.79,45.04,45.44,,33488015.0,47.7348,46.365,43.8606,39.5385,35.6358,50.39,696,13,10.89,False
6091,2024-01-18,46.4,46.93,45.55,46.11,,46681348.0,51.3217,46.341,44.0327,39.6792,35.7069,50.37,697,14,9.24,False
6092,2024-01-19,46.37,48.11,45.82,47.5,,55979796.0,57.7905,46.4518,44.234,39.8272,35.7839,50.36,698,15,6.02,False
6093,2024-01-22,48.19,48.51,47.0,47.57,,45639521.0,58.0882,46.5585,44.4204,39.9724,35.8603,50.34,699,16,5.82,False
6094,2024-01-23,47.47,48.28,46.69,48.23,,37224140.0,60.9293,46.7181,44.6369,40.1173,35.9413,50.33,700,17,4.35,False
