index,time,open,high,low,close,Volume,volume,rsi,ema20,ma50,ma100,ma200,trendline,duration_from_date1,duration_from_date2,distance,breakthrough
2729,2024-03-13,259.67,261.72,255.42,255.65,,812996.0,66.1652,247.4331,229.2822,218.3237,215.6397,261.72,552,0,2.37,False
2730,2024-03-14,255.11,256.75,252.05,254.26,,755601.0,63.8073,248.0833,229.7596,218.9988,215.9138,261.68,553,1,2.92,False
2731,2024-03-15,250.58,255.07,250.58,252.71,,1139793.0,61.1888,248.5239,230.4136,219.6823,216.184,261.64,554,2,3.53,False
2732,2024-03-18,253.98,254.96,252.17,253.87,,734346.0,62.4314,249.0331,231.0894,220.3839,216.4689,261.6,555,3,3.04,False
2733,2024-03-19,253.32,256.34,251.95,254.16,,797580.0,62.7524,249.5213,231.7622,221.0586,216.7448,261.55,556,4,2.91,False
2734,2024-03-20,254.19,255.35,251.22,252.72,,1242528.0,60.0099,249.826,232.3354,221.7736,217.0016,261.51,557,5,3.48,False
2735,2024-03-21,254.13,256.29,252.31,254.56,,1122234.0,62.2785,250.2768,232.9916,222.475,217.2543,261.47,558,6,2.71,False
2736,2024-03-22,254.8,254.8,251.19,252.41,,646270.0,58.129,250.48,233.6972,223.1997,217.489,261.43,559,7,3.57,False
2737,2024-03-25,254.1,254.54,248.12,248.88,,688367.0,52.0027,250.3276,234.3958,223.9169,217.6905,261.39,560,8,5.03,False
2738,2024-03-26,249.85,250.37,247.48,247.74,,880372.0,50.164,250.0812,235.0736,224.586,217.8982,261.35,561,9,5.49,False
2739,2024-03-27,250.32,252.7,249.04,252.57,,747004.0,57.0871,250.3182,235.871,225.3116,218.1281,261.31,562,10,3.46,False
2740,2024-03-28,252.71,253.76,247.96,252.89,,771448.0,57.5083,250.5631,236.7106,225.9359,218.3331,261.26,563,11,3.31,False
2741,2024-04-01,253.33,253.84,247.6,248.87,,633298.0,50.7675,250.4019,237.4242,226.4526,218.5018,261.22,564,12,4.96,False
2742,2024-04-02,246.71,247.31,242.29,245.51,,996281.0,45.9225,249.936,238.0266,226.9237,218.6658,261.18,565,13,6.38,False
2743,2024-04-03,245.05,246.0,241.95,242.98,,878987.0,42.6238,249.2735,238.5312,227.3527,218.7968,261.14,566,14,7.47,False
2744,2024-04-04,245.08,246.04,238.31,238.53,,939787.0,37.519,248.2503,239.0312,227.7404,218.9093,261.1,567,15,9.46,False
2745,2024-04-05,239.02,241.94,238.03,241.45,,556451.0,42.3943,247.6027,239.6026,228.2358,219.0419,261.06,568,16,8.12,False
2746,2024-04-08,241.48,242.97,239.58,241.5,,495439.0,42.4771,247.0215,240.1226,228.691,219.1802,261.02,569,17,8.08,False
2747,2024-04-09,244.35,247.0,244.25,245.33,,546067.0,48.5726,246.8604,240.7074,229.2076,219.3388,260.98,570,18,6.38,False
2748,2024-04-10,239.06,241.76,236.53,239.41,,534636.0,41.2895,246.1508,241.1352,229.5969,219.4656,260.93,571,19,8.99,False
