index,time,open,high,low,close,Volume,volume,rsi,ema20,ma50,ma100,ma200,trendline,duration_from_date1,duration_from_date2,distance,breakthrough
6300,2024-11-14,552.49,555.1,532.6,537.1,,450839.0,57.6692,529.9711,517.5274,493.704,473.3138,555.1,3,0,3.35,False
6301,2024-11-15,528.61,535.92,522.47,522.86,,460026.0,47.8358,529.2938,518.311,494.4676,473.5931,553.81,4,1,5.92,False
6302,2024-11-18,520.93,526.82,518.25,520.73,,368300.0,46.557,528.4782,518.869,495.2272,473.8473,552.52,5,2,6.1,False
6303,2024-11-19,514.7,519.45,514.63,517.73,,380889.0,44.7428,527.4546,519.2322,495.9139,474.087,551.23,6,3,6.47,False
6304,2024-11-20,517.43,519.32,513.85,518.0,,482548.0,44.9507,526.5541,519.5968,496.6807,474.3685,549.94,7,4,6.17,False
6305,2024-11-21,520.19,523.7,516.44,519.24,,526040.0,45.9564,525.8576,519.8682,497.4119,474.7149,548.66,8,5,5.67,False
6306,2024-11-22,519.79,526.85,516.41,519.78,,415917.0,46.4156,525.2787,520.0526,498.1322,475.0329,547.38,9,6,5.31,False
6307,2024-11-25,522.47,525.87,518.3,518.97,,778092.0,45.7872,524.6779,520.2304,498.8018,475.3102,546.11,10,7,5.23,False
6308,2024-11-26,520.2,528.22,518.92,523.0,,545716.0,49.4536,524.5181,520.5434,499.5404,475.6703,544.83,11,8,4.17,False
6309,2024-11-27,523.68,524.66,518.78,519.23,,333793.0,46.2991,524.0145,520.7982,500.2518,476.0353,543.56,12,9,4.69,False
6310,2024-11-29,519.28,521.98,517.6,517.93,,247348.0,45.2278,523.435,520.8884,500.946,476.3756,542.3,13,10,4.71,False
6311,2024-12-02,517.86,521.73,516.17,517.0,,410293.0,44.4356,522.8221,520.9566,501.6398,476.6916,541.03,14,11,4.65,False
6312,2024-12-03,515.0,516.63,512.42,515.66,,510022.0,43.2599,522.14,520.9422,502.2426,477.0268,539.77,15,12,4.68,False
6313,2024-12-04,517.25,524.45,515.85,522.53,,538379.0,50.4922,522.1772,521.174,502.9177,477.4145,538.51,16,13,3.06,False
6314,2024-12-05,519.4,521.48,516.26,516.6,,322390.0,45.1433,521.646,521.2844,503.4227,477.7937,537.26,17,14,4.0,False
6315,2024-12-06,518.26,524.55,516.3,517.37,,341509.0,45.9441,521.2388,521.3024,503.9984,478.1132,536.0,18,15,3.6,False
6316,2024-12-09,519.27,519.27,510.16,514.44,,518181.0,43.3509,520.5913,521.4124,504.5501,478.3822,534.75,19,16,3.95,False
6317,2024-12-10,511.11,516.53,505.24,512.65,,393722.0,41.7988,519.835,521.5302,505.0911,478.6406,533.51,20,17,4.07,False
6318,2024-12-11,516.02,521.48,514.4,518.54,,263151.0,48.3517,519.7116,521.8764,505.5596,478.9281,532.26,21,18,2.65,False
6319,2024-12-12,519.29,519.96,513.74,514.13,,295657.0,44.3275,519.18,522.0134,506.0259,479.1703,531.02,22,19,3.29,False
6320,2024-12-13,514.0,519.39,506.0,508.46,,239125.0,39.747,518.1591,522.0168,506.5363,479.3848,529.79,23,20,4.2,False
6321,2024-12-16,510.88,512.87,501.28,502.58,,394198.0,35.6347,516.6754,521.7942,506.9422,479.5403,528.55,24,21,5.17,False
6322,2024-12-17,502.07,507.58,496.44,497.42,,683802.0,32.4608,514.8415,521.5464,507.2072,479.6786,527.32,25,22,6.01,False
6323,2024-12-18,499.74,501.01,481.34,481.77,,412769.0,25.1455,511.6919,520.9088,507.3165,479.7863,526.09,26,23,9.2,False
6324,2024-12-19,487.34,491.16,480.87,481.22,,459285.0,24.9328,508.7898,520.1196,507.141,479.8476,524.86,27,24,9.07,False
6325,2024-12-20,476.97,491.36,474.87,491.25,,1385359.0,35.6248,507.1193,519.5702,507.0416,479.9538,523.64,28,25,6.59,False
6326,2024-12-23,488.89,489.27,480.5,487.22,,411044.0,33.5567,505.2241,518.8902,506.9811,480.0721,522.42,29,26,7.22,False
6327,2024-12-24,488.21,492.99,485.93,489.96,,152296.0,36.2658,503.7704,518.1434,507.0878,480.1969,521.2,30,27,6.38,False
6328,2024-12-26,488.29,491.27,486.42,489.22,,194463.0,35.8408,502.3847,517.327,507.4053,480.2622,519.99,31,28,6.29,False
6329,2024-12-27,487.84,489.69,483.57,486.96,,230968.0,34.5105,500.9156,516.445,507.5442,480.3135,518.77,32,29,6.53,False
6330,2024-12-30,481.33,487.49,478.15,485.45,,317144.0,33.6129,499.4427,515.5086,507.7261,480.3961,517.57,33,30,6.62,False
