index,time,open,high,low,close,Volume,volume,rsi,ema20,ma50,ma100,ma200,trendline,duration_from_date1,duration_from_date2,distance,breakthrough
6294,2024-11-06,188.77,189.04,177.08,179.84,,1436213.0,46.1019,182.0879,178.3565,171.8249,169.3092,189.04,564,0,5.12,False
6295,2024-11-07,179.76,181.12,177.44,179.41,,720773.0,45.0867,181.8327,178.4915,171.979,169.3837,189.01,565,1,5.35,False
6296,2024-11-08,179.96,183.11,178.59,179.21,,560993.0,44.5949,181.5828,178.6597,172.1593,169.4489,188.98,566,2,5.45,False
6297,2024-11-11,178.48,179.92,175.68,176.51,,685992.0,38.4708,181.0995,178.7512,172.2761,169.4944,188.95,567,3,7.05,False
6298,2024-11-12,176.63,176.73,174.72,176.56,,547182.0,38.6382,180.6669,178.8029,172.3848,169.5402,188.92,568,4,7.0,False
6299,2024-11-13,177.14,177.14,173.42,174.4,,639687.0,34.2964,180.0704,178.8313,172.4751,169.5758,188.9,569,5,8.31,False
6300,2024-11-14,174.5,175.02,171.3,171.91,,568906.0,30.0829,179.2934,178.8273,172.5412,169.6167,188.87,570,6,9.87,False
6301,2024-11-15,172.38,172.91,170.85,172.67,,1734081.0,32.7863,178.6625,178.8985,172.6074,169.6573,188.84,571,7,9.36,False
6302,2024-11-18,171.4,172.81,171.2,171.52,,435836.0,30.8429,177.9826,178.9017,172.666,169.6972,188.81,572,8,10.08,False
6303,2024-11-19,171.26,171.69,170.18,171.09,,570729.0,30.1239,177.3265,178.8337,172.7273,169.7469,188.78,573,9,10.34,False
6304,2024-11-20,170.74,170.91,169.08,170.59,,446802.0,29.2529,176.6846,178.776,172.8086,169.7906,188.75,574,10,10.65,False
6305,2024-11-21,170.79,172.63,169.97,171.96,,445045.0,34.7507,176.2348,178.7154,172.901,169.8153,188.72,575,11,9.75,False
6306,2024-11-22,172.18,173.11,171.16,171.96,,558994.0,34.7507,175.8278,178.6443,172.9945,169.8159,188.69,576,12,9.73,False
6307,2024-11-25,172.81,172.82,170.6,171.85,,1106753.0,34.5028,175.4491,178.5511,173.0928,169.8067,188.66,577,13,9.78,False
6308,2024-11-26,172.13,172.84,171.19,172.56,,592363.0,37.5967,175.174,178.4995,173.1854,169.8021,188.64,578,14,9.32,False
6309,2024-11-27,173.4,174.49,172.6,173.42,,723614.0,41.2188,175.0066,178.4945,173.3011,169.8171,188.61,579,15,8.76,False
6310,2024-11-29,173.24,175.93,172.78,175.63,,573129.0,49.3857,175.066,178.5061,173.4589,169.8301,188.58,580,16,7.37,False
6311,2024-12-02,175.74,175.93,173.58,175.66,,807903.0,49.4878,175.1226,178.5583,173.5845,169.849,188.55,581,17,7.34,False
6312,2024-12-03,175.27,175.92,173.84,175.33,,623048.0,48.3289,175.1423,178.5788,173.6856,169.8742,188.52,582,18,7.52,False
6313,2024-12-04,174.86,175.3,171.83,172.36,,1265547.0,39.3889,174.8773,178.5627,173.7461,169.8815,188.49,583,19,9.36,False
6314,2024-12-05,172.0,175.15,171.26,173.61,,650968.0,44.0776,174.7566,178.6399,173.7955,169.8998,188.46,584,20,8.55,False
6315,2024-12-06,174.23,174.31,172.09,173.01,,574501.0,42.3828,174.5903,178.6282,173.839,169.9077,188.43,585,21,8.91,False
6316,2024-12-09,173.12,175.19,172.23,174.8,,530104.0,48.7179,174.6103,178.6154,173.9172,169.9131,188.4,586,22,7.78,False
6317,2024-12-10,175.22,178.27,172.88,177.27,,691058.0,55.9202,174.8636,178.641,174.0394,169.9385,188.38,587,23,6.27,False
6318,2024-12-11,177.4,179.02,176.0,178.85,,780146.0,59.8087,175.2432,178.6352,174.1492,169.9679,188.35,588,24,5.31,False
6319,2024-12-12,179.12,181.38,178.84,180.55,,672081.0,63.5359,175.7486,178.6664,174.2946,170.015,188.32,589,25,4.3,False
6320,2024-12-13,180.26,181.74,178.96,179.8,,530486.0,60.8546,176.1345,178.6023,174.424,170.0562,188.29,590,26,4.72,False
6321,2024-12-16,179.74,181.03,177.8,178.08,,537730.0,55.1107,176.3198,178.5324,174.5406,170.0977,188.26,591,27,5.72,False
6322,2024-12-17,177.93,179.6,177.24,177.67,,386125.0,53.8069,176.4484,178.5009,174.6248,170.1293,188.23,592,28,5.94,False
6323,2024-12-18,178.34,179.43,176.01,176.5,,1126440.0,50.1602,176.4533,178.4164,174.6989,170.1602,188.2,593,29,6.63,False
6324,2024-12-19,176.7,178.41,175.94,175.99,,777967.0,48.6135,176.4092,178.2986,174.7456,170.1796,188.17,594,30,6.92,False
6325,2024-12-20,175.46,178.4,174.96,176.74,,1030514.0,51.006,176.4407,178.2131,174.8091,170.2027,188.15,595,31,6.46,False
6326,2024-12-23,175.48,176.59,174.25,175.64,,294860.0,47.512,176.3644,178.0698,174.8855,170.216,188.12,596,32,7.11,False
6327,2024-12-24,175.41,177.47,175.04,177.05,,142747.0,52.0466,176.4297,177.9365,174.9647,170.242,188.09,597,33,6.24,False
6328,2024-12-26,176.78,177.76,175.7,177.51,,348750.0,53.4592,176.5326,177.804,175.1122,170.2786,188.06,598,34,5.94,False
6329,2024-12-27,176.74,178.0,175.37,176.88,,303199.0,51.2332,176.5657,177.6398,175.2265,170.3095,188.03,599,35,6.3,False
6330,2024-12-30,176.21,176.21,173.63,175.08,,275834.0,45.4146,176.4242,177.4334,175.3277,170.3391,188.0,600,36,7.38,False
