index,time,open,high,low,close,Volume,volume,rsi,ema20,ma50,ma100,ma200,trendline,duration_from_date1,duration_from_date2,distance,breakthrough
4130,2024-09-24,37.72,38.05,37.5,37.6,,4663490.0,70.0724,36.8338,35.2815,34.3383,32.5119,38.05,527,0,1.2,False
4131,2024-09-25,37.6,37.68,37.32,37.35,,4268221.0,64.1351,36.883,35.3793,34.3803,32.5411,38.05,528,1,1.87,False
4132,2024-09-26,37.38,37.5,37.14,37.3,,5353233.0,62.9856,36.9228,35.4678,34.4193,32.5712,38.05,529,2,2.01,False
4133,2024-09-27,37.4,37.82,37.34,37.42,,4627660.0,64.6244,36.9702,35.5574,34.4621,32.5987,38.04,530,3,1.66,False
4134,2024-09-30,37.62,37.82,37.35,37.48,,6986632.0,65.453,37.0187,35.6515,34.503,32.627,38.04,531,4,1.49,False
4135,2024-10-01,37.72,37.72,37.14,37.19,,11057506.0,58.34,37.035,35.7427,34.5421,32.651,38.04,532,5,2.29,False
4136,2024-10-02,37.16,37.19,36.78,37.02,,6426642.0,54.5945,37.0336,35.8345,34.5766,32.6792,38.04,533,6,2.76,False
4137,2024-10-03,36.85,36.92,36.55,36.64,,6025648.0,47.2865,36.9961,35.9159,34.607,32.7067,38.04,534,7,3.82,False
4138,2024-10-04,36.58,36.59,36.24,36.39,,9473617.0,43.1904,36.9384,35.9835,34.6339,32.7308,38.04,535,8,4.53,False
4139,2024-10-07,36.4,36.51,36.12,36.15,,9697533.0,39.6403,36.8633,36.0359,34.658,32.7531,38.03,536,9,5.2,False
4140,2024-10-08,36.15,36.27,35.95,36.2,,6386930.0,40.7333,36.8001,36.0808,34.6861,32.7768,38.03,537,10,5.06,False
4141,2024-10-09,36.2,36.36,36.06,36.22,,11880170.0,41.192,36.7449,36.127,34.7111,32.7995,38.03,538,11,5.0,False
4142,2024-10-10,36.28,36.54,36.06,36.51,,8529102.0,47.5331,36.7225,36.1758,34.7429,32.8222,38.03,539,12,4.16,False
4143,2024-10-11,36.6,36.65,36.19,36.38,,4923026.0,45.1812,36.6899,36.2164,34.7741,32.8431,38.03,540,13,4.54,False
4144,2024-10-14,36.4,36.72,36.35,36.65,,7226365.0,50.6434,36.6861,36.2523,34.8053,32.8651,38.02,541,14,3.74,False
